case;E2SNO (kmol/y);E2S1 (kmol/y);E2RIV (kmol/y);Etot (kmol/y);S1StorFugP (kmol/y);S1StorFugN (kmol/y);S2StorFugP (kmol/y);S2StorFugN (kmol/y);S3StorFugP (kmol/y);S3StorFugN (kmol/y);SNOStorFugP (kmol/y);SNOStorFugN (kmol/y);S1StorPreP (kmol/y);S1StorPreN (kmol/y);S2StorPreP (kmol/y);S2StorPreN (kmol/y);S3StorPreP (kmol/y);S3StorPreN (kmol/y);SNOStorPreP (kmol/y);SNOStorPreN (kmol/y);S1StorIonP (kmol/y);S1StorIonN (kmol/y);S2StorIonP (kmol/y);S2StorIonN (kmol/y);S3StorIonP (kmol/y);S3StorIonN (kmol/y);SNOStorIonP (kmol/y);SNOStorIonN (kmol/y);Fug-stora (kmol/y);Fug-storb (kmol/y);Pre-stora (kmol/y);Pre-storb (kmol/y);Ion-stora (kmol/y);Ion-storb (kmol/y);Fug-Abs (kmol/y);Fug-Sea (kmol/y);Pre-Abs (kmol/y);Pre-Sea (kmol/y);Ion-Abs (kmol/y);Ion-Sea (kmol/y);DecayS1 (kmol/y);DecayS2 (kmol/y);DecayS3 (kmol/y);DecaySNO (kmol/y);Decay (kmol/y);VolatS1 (kmol/y);VolatS2 (kmol/y);VolatS3 (kmol/y);VolatSNO (kmol/y);Volat (kmol/y);Fug-Sed (kmol/y);Pre-Sed (kmol/y);Ion-Sed (kmol/y);RGWStorPFug (kmol/y);RGWStorNFug (kmol/y);RGWStorPPre (kmol/y);RGWStorNPre (kmol/y);RGWStorPIon (kmol/y);RGWStorNIon (kmol/y);RGWS1PFug (kmol/y);RGWS1NFug (kmol/y);RGWS2PFug (kmol/y);RGWS2NFug (kmol/y);RGWS3PFug (kmol/y);RGWS3NFug (kmol/y);RGWS1PPre (kmol/y);RGWS1NPre (kmol/y);RGWS2PPre (kmol/y);RGWS2NPre (kmol/y);RGWS3PPre (kmol/y);RGWS3NPre (kmol/y);RGWS1PIon (kmol/y);RGWS1NIon (kmol/y);RGWS2PIon (kmol/y);RGWS2NIon (kmol/y);RGWS3PIon (kmol/y);RGWS3NIon (kmol/y);RGWDecay (kmol/y)
85-43-8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
96-49-1;14.585;121.6;40.546;176.72;0;-3.5513;5.61E-03;0;0.48483;0;9.27E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.6632;0;0;0;0;-5.5379;-29.785;0;0;0;0;-70.369;-33.314;-6.4649;-0.62719;-121.14;-2.004;0;0;-12.98;-17.589;-5.80E-06;0;0;4.44E-02;0;0;0;0;0;0;0;0.20963;0;0.49166;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.74626
97-78-9;0.25614;2.1511;1.7089;4.1163;0;-5.32E-04;2.22E-06;0;0;-1.35E-05;6.33E-04;0;0;-2.32E-09;9.29E-10;0;4.38E-09;0;0;-6.22E-04;0;-0.10034;7.55E-02;0;0;-0.37926;5.40E-03;0;0;-7.30E-05;0;-6.22E-04;0;-0.88306;-0.14197;-7.89E-02;-1.25E-07;-5.56E-05;-0.19182;-2.7692;-2.93E-02;-2.22E-04;-2.17E-04;-2.13E-03;-5.06E-02;-3.13E-07;0;0;-1.07E-04;-1.07E-04;-1.85E-04;-2.29E-08;0;0;-1.27E-05;2.64E-09;0;0;-0.41623;0;0;5.40E-07;0;2.44E-06;0;0;0;0;0;0;0;0;0;3.75E-02;0;0.3788;0;-7.14E-05
99-57-0;1.0633;8.8976;9.2409;19.202;0;-2.55E-03;2.72E-04;0;0;-9.71E-04;2.17E-03;0;0;0;0;0;0;0;0;-1.02E-04;0;-0.37896;0.28765;0;0;-1.3634;1.91E-02;0;0;-2.83E-03;0;-1.02E-04;0;-3.2579;-0.74326;-0.39573;0;0;-0.87052;-12.074;-0.81963;-0.10163;-0.11518;-6.21E-02;-1.8594;-2.37E-07;0;0;-7.26E-05;-7.28E-05;-1.17E-06;0;0;0;-9.10E-04;0;0;0;-1.5208;0;0;1.24E-04;0;9.41E-04;0;0;0;0;0;0;0;0;0;0.14156;0;1.4169;0;-3.78E-02
103-26-4;0.16313;1.3797;0.23317;1.776;0;-1.09E-02;1.72E-03;0;7.70E-04;0;2.15E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.15E-03;0;0;0;0;-3.11E-02;-0.11668;0;0;0;0;-1.1887;-0.18569;-1.43E-02;-5.56E-02;-1.5515;-8.23E-03;0;0;-6.16E-02;-7.15E-02;-8.14E-06;0;0;5.90E-05;0;0;0;0;0;0;0;4.40E-04;0;4.33E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;-9.35E-04
104-66-5;0.29879;2.6591;0.3953;3.3533;0;-0.19242;0;-0.60703;0;-0.66359;7.45E-03;0;0;-3.55E-07;0;-3.76E-07;0;-6.64E-07;0;-5.84E-04;0;0;0;0;0;0;0;0;0;-1.6446;0;-5.87E-04;0;0;-9.30E-02;-1.0227;-4.22E-07;-1.18E-04;0;0;-0.14037;-0.14695;-5.82E-02;-5.08E-04;-0.36496;-8.83E-02;0;0;-0.10376;-0.21373;-1.37E-02;-6.69E-08;0;0;-0.16764;0;-9.59E-07;0;0;0;0;3.44E-02;0;0.14224;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.99E-03
106-20-7;1.4408;14.52;0.56859;16.53;0;-3.54E-03;3.18E-04;0;0;-1.21E-03;5.37E-04;0;0;0;0;0;0;0;0;0;0;-0.81873;0.54103;0;0;-2.4725;6.50E-03;0;0;-5.57E-03;0;0;0;-5.5606;-4.68E-02;-3.40E-02;0;0;-0.55509;-8.9672;-0.10702;-1.11E-02;-1.42E-02;-1.05E-03;-0.14287;-1.53E-05;0;0;-1.203;-1.2147;-3.13E-03;0;0;0;-1.62E-03;0;0;0;-2.854;0;0;6.26E-07;0;5.22E-06;0;0;0;0;0;0;0;0;0;0.26701;0;2.5937;0;-4.74E-03
107-88-0;14.078;117.55;11.939;143.56;0;-0.62529;0.16092;0;6.00E-02;0;0.227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.08E-02;0;0;0;0;-1.6095;-5.8509;0;0;0;0;-103.32;-16.777;-1.2607;-7.3286;-135.37;-0.4346;0;0;-0.24114;-0.67843;-5.33E-07;0;0;4.50E-03;0;0;0;0;0;0;0;3.48E-02;0;3.49E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.43E-02
111-75-1;0.3426;2.8613;1.1067;4.3106;0;-9.57E-02;2.96E-02;0;2.60E-02;0;9.21E-03;0;0;0;0;0;0;0;0;0;0;-1.54E-06;5.14E-07;0;4.44E-07;0;1.06E-07;0;0;-9.39E-03;0;0;0;-1.10E-07;-0.17198;-1.0519;0;0;-1.55E-06;-1.76E-05;-1.3293;-1.0553;-0.32448;-4.98E-02;-3.0739;-1.49E-03;0;0;-1.96E-03;-3.45E-03;-3.85E-06;0;0;1.03E-03;0;0;0;1.91E-08;0;0;0;1.05E-02;0;3.71E-02;0;0;0;0;0;0;0;0;0;1.87E-07;0;6.46E-07;0;-4.86E-02
112-33-4;0.10206;0.85226;0.52663;1.481;0;-2.51E-02;8.00E-03;0;6.43E-03;0;2.12E-03;0;0;0;0;0;0;0;0;0;0;-4.97E-07;1.70E-07;0;1.35E-07;0;3.79E-08;0;0;-3.98E-03;0;0;0;-5.71E-08;-7.83E-02;-0.42576;0;0;-8.33E-07;-8.74E-06;-0.45473;-0.29994;-7.72E-02;-1.85E-02;-0.97292;-3.09E-08;0;0;-2.57E-06;-2.60E-06;-1.11E-08;0;0;4.65E-04;0;0;0;1.07E-08;0;0;0;2.43E-03;0;7.45E-03;0;0;0;0;0;0;0;0;0;5.30E-08;0;1.60E-07;0;-1.04E-02
112-69-6;9.4359;96.382;3.3343;109.15;0;-3.79E-02;1.33E-02;0;0;-5.03E-02;2.45E-03;0;8.94E-08;0;0;-5.34E-03;1.31E-07;0;0;-9.14E-03;0;-5.5033;3.555;0;0;-16.305;3.71E-02;0;0;-0.14037;0;-1.40E-02;0;-36.61;-0.2953;-0.36386;-5.63E-05;0;-3.6216;-58.279;-0.4916;-0.26684;-0.33723;-2.76E-03;-1.2591;-1.23E-05;0;0;-8.4232;-8.4439;-0.11428;-6.69E-04;0;0;-6.75E-02;0;0;0;-18.789;0;0;1.47E-05;0;1.32E-04;0;0;0;0;0;0;0;0;0;1.7803;0;17.191;0;-0.11291
