case;E2SNO (kmol/y);E2S1 (kmol/y);E2RIV (kmol/y);Etot (kmol/y);S1StorFugP (kmol/y);S1StorFugN (kmol/y);S2StorFugP (kmol/y);S2StorFugN (kmol/y);S3StorFugP (kmol/y);S3StorFugN (kmol/y);SNOStorFugP (kmol/y);SNOStorFugN (kmol/y);S1StorPreP (kmol/y);S1StorPreN (kmol/y);S2StorPreP (kmol/y);S2StorPreN (kmol/y);S3StorPreP (kmol/y);S3StorPreN (kmol/y);SNOStorPreP (kmol/y);SNOStorPreN (kmol/y);S1StorIonP (kmol/y);S1StorIonN (kmol/y);S2StorIonP (kmol/y);S2StorIonN (kmol/y);S3StorIonP (kmol/y);S3StorIonN (kmol/y);SNOStorIonP (kmol/y);SNOStorIonN (kmol/y);Fug-stora (kmol/y);Fug-storb (kmol/y);Pre-stora (kmol/y);Pre-storb (kmol/y);Ion-stora (kmol/y);Ion-storb (kmol/y);Fug-Abs (kmol/y);Fug-Sea (kmol/y);Pre-Abs (kmol/y);Pre-Sea (kmol/y);Ion-Abs (kmol/y);Ion-Sea (kmol/y);DecayS1 (kmol/y);DecayS2 (kmol/y);DecayS3 (kmol/y);DecaySNO (kmol/y);Decay (kmol/y);VolatS1 (kmol/y);VolatS2 (kmol/y);VolatS3 (kmol/y);VolatSNO (kmol/y);Volat (kmol/y);Fug-Sed (kmol/y);Pre-Sed (kmol/y);Ion-Sed (kmol/y);RGWStorPFug (kmol/y);RGWStorNFug (kmol/y);RGWStorPPre (kmol/y);RGWStorNPre (kmol/y);RGWStorPIon (kmol/y);RGWStorNIon (kmol/y);RGWS1PFug (kmol/y);RGWS1NFug (kmol/y);RGWS2PFug (kmol/y);RGWS2NFug (kmol/y);RGWS3PFug (kmol/y);RGWS3NFug (kmol/y);RGWS1PPre (kmol/y);RGWS1NPre (kmol/y);RGWS2PPre (kmol/y);RGWS2NPre (kmol/y);RGWS3PPre (kmol/y);RGWS3NPre (kmol/y);RGWS1PIon (kmol/y);RGWS1NIon (kmol/y);RGWS2PIon (kmol/y);RGWS2NIon (kmol/y);RGWS3PIon (kmol/y);RGWS3NIon (kmol/y);RGWDecay (kmol/y)
85-43-8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
19438-60-9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
1071-83-6;102.78;1015.5;15.111;1133.4;0;-4.92E-03;0;-2.94E-02;0;-1.55E-02;0.1302;0;0;0;0;0;0;0;0;0;0;-27.906;43.253;0;0;-232.92;1.4643;0;8.05E-02;0;0;0;0;-379.66;-0.87166;-0.24771;0;0;-24.577;-712.73;-14.538;0;0;-0.96532;-15.263;-8.41E-05;0;0;-7.77E-02;-7.78E-02;-1.78E-09;0;0;0;0;0;0;0;-170.57;0;0;1.14E-03;-2.09E-03;6.75E-04;-1.15E-02;0;0;0;0;0;0;0;0;8.5026;0;162.08;0;-4.02E-06
100-44-7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
1506-02-1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
90-80-2;1.6964;14.129;14.899;30.724;0;-9.49E-02;2.69E-02;0;1.08E-02;0;2.62E-02;0;0;0;0;0;0;0;0;0;0;-2.10E-05;6.80E-06;0;2.63E-06;0;4.47E-06;0;0;-4.60E-02;0;0;0;-9.77E-06;-1.9777;-7.0359;0;0;-2.17E-04;-1.63E-03;-12.198;-2.2943;-0.19357;-0.82999;-21.658;-2.65E-05;0;0;-3.39E-03;-3.42E-03;-4.03E-09;0;0;8.31E-04;0;0;0;2.30E-07;0;0;0;5.43E-03;0;6.09E-03;0;0;0;0;0;0;0;0;0;1.37E-06;0;1.54E-06;0;-1.25E-02
515-84-4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
6440-58-0;0.54959;4.5833;8.2653;13.398;0;-0.20129;8.32E-02;0;5.64E-02;0;1.38E-02;0;0;0;0;0;0;0;0;0;0;-7.03E-08;3.17E-08;0;2.21E-08;0;4.11E-09;0;0;-7.63E-02;0;0;0;-2.88E-08;-1.2647;-7.5056;0;0;-2.71E-07;-2.95E-06;-1.0146;-1.5184;-0.95146;-3.01E-02;-4.551;-1.64E-05;0;0;-1.37E-03;-1.39E-03;-1.82E-07;0;0;0;-4.68E-02;0;0;0;-2.11E-08;0;0;3.86E-02;0;0.22744;0;0;0;0;0;0;0;0;0;1.66E-08;0;9.48E-08;0;-0.21932
108-77-0;36.843;308.59;422.26;767.69;5.77E+06;0;0;-2.31E+05;1.40E+06;0;9.88E+06;0;0;-4.79E+08;0;-6.55E+08;0;-1.35E+09;4.49E+06;0;0;-250.94;0;-443.26;0;-68.256;987.52;0;3.89E+06;0;0;-1.28E+09;0;-4058.6;-4.98E+06;-1.42E+08;-1.05E+07;-3.72E+08;-1581.1;-53333;0;0;0;0;0;-1.22E+07;0;0;-2.81E+06;-1.61E+07;-33012;-4.76E+08;0;0;-1.91E+07;7.85E+08;0;0;-6709.3;0;0;1.88E+06;-2823.4;5.02E+07;-14501;0;0;0;0;0;0;0;0;696.19;0;19200;0;-8.16E+08
85-44-9;656.63;5528.3;1365.3;7550.3;5.11E+06;0;0;-2.89E+06;1.31E+06;0;0;-55.376;0;-2.47E+06;2.22E+07;0;4.44E+07;0;0;-1.4606;0;0;0;0;0;0;0;0;0;-4.57E+07;3.54E+07;0;0;0;-3.01E+06;-4.35E+07;-2.24E+06;-5.31E+07;0;0;0;-7.22E+07;-6.41E+07;0;0;-1.39E+07;0;0;-2.05E+06;-5.48E+07;-16442;-7.40E+07;0;0;-1.80E+07;0;-4.45E+07;0;0;0;0;1.76E+06;-48273;4.77E+07;-1.26E+06;0;0;0;0;0;0;0;0;0;0;0;0;0
541-02-6;44.23;454.96;15.106;514.29;0;-7.6406;9.05E-02;0;9.06E-04;0;7.65E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.5586;0;0;0;0;-1.289;-6.5089;0;0;0;0;-424.96;-1.8286;-6.68E-03;-0.11492;-429.53;-20.582;0;0;-44.016;-69.293;-2.50E-02;0;0;2.53E-05;0;0;0;0;0;0;0;3.30E-04;0;1.16E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;-4.94E-04
106-47-8;26.253;219.9;636.29;882.46;0;-10.662;6.6706;0;0;-32.163;0.72216;0;0;-2.26E-05;0;-3.04E-05;0;-6.28E-05;0;-6.00E-02;0;-2.71E-03;1.57E-03;0;0;-8.33E-03;1.31E-04;0;0;-88.196;0;-6.06E-02;0;-2.19E-02;-100.33;-649.36;-2.88E-05;-2.00E-03;-1.05E-02;-0.14781;-2.072;-5.5089;-6.9159;-3.89E-02;-20.907;-8.5599;0;0;-8.5366;-23.362;-3.39E-02;-3.36E-05;0;0;-36.166;0;-3.80E-04;0;-7.99E-03;0;0;3.532;0;34.876;0;0;0;0;0;0;0;0;0;8.39E-04;0;8.60E-03;0;-2.2511
80-05-7;944.96;8417.2;10422;19784;0;-289.87;129.36;0;0;-135.23;21.226;0;0;-6.05E-04;0;-3.75E-04;0;-1.90E-04;0;-2.0176;0;-3.2188;1.4735;0;0;-1.4176;0.20485;0;0;-344.83;0;-2.0194;0;-3.5453;-1565.6;-9074.9;-1.18E-03;-0.359;-9.5802;-105.5;-3883;-2823.5;-927.62;-38.45;-8659.9;-1.09E-02;0;0;-0.89899;-0.90999;-16.449;-8.15E-05;0;0;-70.109;0;-3.31E-04;0;-0.90422;0;0;48.793;0;163.99;0;0;0;0;0;0;0;0;0;1.2765;0;4.9493;0;-148.17
2243-62-1;9.3062;77.973;326.69;413.96;0;-3.6563;2.8443;0;0;-13.058;0.25852;0;0;-5.74E-07;0;-4.26E-07;0;-4.00E-07;0;-2.27E-02;0;-9.32E-04;6.74E-04;0;0;-3.38E-03;5.10E-05;0;0;-38.026;0;-2.27E-02;0;-9.47E-03;-51.116;-320.28;-9.60E-06;-3.11E-03;-5.25E-03;-7.26E-02;-0.39186;-1.09;-1.4082;-9.01E-03;-4.4146;-3.49E-03;0;0;-4.12E-02;-4.48E-02;-4.74E-03;-7.20E-07;0;0;-14.97;0;-1.97E-06;0;-3.31E-03;0;0;1.3816;0;14.053;0;0;0;0;0;0;0;0;0;3.25E-04;0;3.42E-03;0;-0.46983
120-12-7;11.278;103.67;12.791;127.74;0;-46.21;0;-33.308;0;-5.9029;4.94E-02;0;0;-3.96E-02;0;-2.19E-04;0;-4.03E-04;0;-2.13E-02;0;0;0;0;0;0;0;0;0;-86.142;0;-6.16E-02;0;0;-1.8514;-13.87;-3.35E-06;-9.66E-05;0;0;-7.6676;-2.2791;-0.22002;-1.55E-03;-10.246;-1.9383;0;0;-10.696;-15.244;-0.32758;-2.12E-05;0;0;-0.58656;0;-1.71E-04;0;0;0;0;0.33097;0;0.27268;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.74E-02
70356-09-1;0.91762;8.5136;0.94016;10.371;0;-0.1131;7.54E-02;0;1.05E-02;0;1.51E-02;0;0;-1.93E-07;0;-1.82E-07;0;-3.10E-07;0;-1.69E-03;0;-4.46E-02;3.01E-02;0;4.68E-03;0;4.32E-03;0;1.84E-04;0;0;-1.69E-03;1.57E-03;0;-0.12055;-0.56263;-7.78E-07;-2.68E-04;-2.07E-02;-0.22922;-6.9616;-1.8192;-0.19575;-0.18101;-9.4259;-4.23E-05;0;0;-2.66E-03;-2.70E-03;-9.20E-03;-6.76E-08;0;4.00E-04;0;0;-1.27E-07;2.38E-04;0;0;0;1.10E-03;0;1.20E-03;0;0;0;0;0;0;0;0;0;5.21E-03;0;7.40E-03;0;-1.56E-02
62-53-3;2086.1;17447;5910.6;25444;0;-636.23;143.48;0;159.22;0;50.06;0;0;0;0;0;0;0;0;0;0;-1.6295;0.34053;0;0.3878;0;9.26E-02;0;0;-151.43;0;0;0;-0.47606;-926.52;-5917.9;0;0;-0.97539;-13.666;-7135.9;-6093.9;-2047.1;-199.85;-17187;-407.16;0;0;-766.89;-1245;-7.01E-02;0;0;1.6401;0;0;0;3.90E-03;0;0;0;68.753;0;256.54;0;0;0;0;0;0;0;0;0;0.16473;0;0.63169;0;-327.87
122-39-4;19.661;165.19;672.19;857.06;0;-7.3776;0;-3.7596;0;-42.536;0.58459;0;0;-2.61E-05;0;-2.96E-05;0;-5.50E-05;0;-4.80E-02;0;-1.77E-06;0;-9.94E-07;0;-1.02E-05;9.19E-08;0;0;-94.229;0;-4.83E-02;0;-2.27E-05;-102.95;-631.49;-3.01E-05;-3.81E-03;-1.04E-05;-1.43E-04;-2.4752;-4.7356;-3.9883;-2.59E-02;-15.363;-5.8673;0;0;-3.89;-12.448;-0.55736;-2.22E-05;0;0;-23.311;0;-2.16E-04;0;-5.55E-06;0;0;2.6765;0;21.62;0;0;0;0;0;0;0;0;0;8.84E-07;0;7.92E-06;0;-0.99546
106-50-3;17.661;147.64;620.86;786.16;0;-6.7276;5.2376;0;0;-25.726;0.50033;0;0;-6.36E-07;0;-2.11E-07;3.49E-07;0;0;-3.37E-02;0;-0.1715;0.12418;0;0;-0.66519;9.19E-03;0;0;-74.686;0;-3.37E-02;0;-1.8593;-96.342;-598.53;-1.64E-05;-5.39E-03;-0.97949;-13.558;-7.99E-09;-2.20E-08;-2.85E-08;-1.31E-10;-8.54E-08;-7.91E-02;0;0;-0.1078;-0.18897;-2.92E-04;-1.07E-06;0;0;-29.459;1.66E-06;0;0;-0.65106;0;0;2.5968;0;26.797;0;0;0;0;0;0;0;0;0;6.08E-02;0;0.64696;0;-9.12E-09
98-82-8;4933.6;43116;6915.3;54963;0;-2264.8;0;-1003.1;0;-2801.5;1.2614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6780.9;0;0;0;0;-507.83;-3698.3;0;0;0;0;-7070.6;-7235.6;-3066.6;-0.45236;-17960;-12577;0;0;-4920.6;-26007;-10.171;0;0;0;-933.06;0;0;0;0;0;0;283.41;0;1145.8;0;0;0;0;0;0;0;0;0;0;0;0;0;-496.1
80-15-9;2240.6;18909;3747.6;24897;0;-922.29;537.99;0;0;-2630.2;67.593;0;0;-1.87E-04;0;-2.58E-04;0;-5.84E-04;0;-5.4316;0;-2.57E-02;1.60E-02;0;0;-7.30E-02;1.27E-03;0;0;-5574.3;0;-5.4263;0;-0.16509;-1126.8;-13479;-4.37E-04;-4.89E-03;-2.65E-02;-0.39873;-467.96;-1126.1;-1272.1;-8.8216;-3512.3;-679.36;0;0;-350.03;-1187.5;-10.165;-2.83E-03;0;0;-2565.4;0;-4.88E-03;0;-8.32E-02;0;0;289.95;0;2654.1;0;0;0;0;0;0;0;0;0;9.66E-03;0;8.77E-02;0;-378.46
5598-13-0;5.06E-02;0.37036;2.10E-02;0.44196;0;-5.31E-02;0;-9.05E-02;0;-3.58E-02;2.37E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.18518;0;0;0;0;-3.21E-03;-5.39E-02;0;0;0;0;-0.11262;-5.63E-02;-1.02E-02;-4.45E-04;-0.18386;-7.06E-03;0;0;-6.61E-03;-1.40E-02;-1.76E-03;0;0;0;-3.38E-03;0;0;0;0;0;0;8.10E-04;0;3.21E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.45E-04
142-90-5;20.265;204.38;6.6986;231.34;0;-4.6516;1.51E-02;0;1.31E-04;0;5.48E-03;0;0;-1.83E-02;7.98E-11;0;0;0;0;-1.63E-02;0;0;0;0;0;0;0;0;0;-4.6656;0;-3.49E-02;0;0;-0.89532;-4.453;-4.53E-06;0;0;0;-199.6;-0.17592;-2.74E-04;-3.50E-02;-200.81;-1.21E-02;0;0;-20.145;-20.429;-4.67E-02;-5.95E-06;0;1.01E-06;0;0;0;0;0;0;0;4.69E-06;0;6.64E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.76E-05
86479-06-3;1.09E-02;8.87E-02;1.01E-03;0.10063;9.96E-05;0;2.53E-04;0;0;-9.79E-03;1.58E-04;0;0;0;0;0;0;0;0;0;5.40E-04;0;1.13E-03;0;0;-1.31E-02;1.25E-04;0;0;-1.43E-02;2.41E-10;0;0;-1.91E-02;-3.90E-04;-1.76E-02;0;0;-5.95E-04;-2.62E-02;-2.52E-03;-6.11E-03;-5.69E-03;-3.97E-05;-1.66E-02;-8.16E-09;0;0;-7.16E-05;-7.16E-05;-5.79E-03;-2.41E-10;0;0;-4.74E-03;0;0;0;-7.72E-03;0;0;6.15E-06;0;8.01E-05;0;0;0;0;0;0;0;0;0;9.13E-04;0;1.28E-02;0;-1.34E-03
950-37-8;4.26E-02;0.3735;2.08E-02;0.4369;0;-1.14E-02;1.35E-02;0;0;-3.01E-02;1.17E-03;0;0;0;0;0;0;0;0;0;0;-2.72E-09;3.18E-09;0;0;-7.26E-09;1.71E-10;0;0;-4.78E-02;0;0;0;-1.18E-08;-8.28E-03;-0.2072;0;0;-1.63E-09;-4.94E-08;-2.76E-02;-5.89E-02;-6.15E-02;-4.14E-04;-0.17206;-1.02E-03;0;0;-4.59E-04;-1.49E-03;-7.12E-05;0;0;0;-2.66E-02;0;0;0;-6.35E-09;0;0;2.28E-03;0;3.72E-02;0;0;0;0;0;0;0;0;0;5.50E-10;0;9.23E-09;0;-1.29E-02
52-68-6;4.73E-02;0.42856;2.38E-02;0.49963;0;-6.42E-03;8.65E-03;0;0;-2.90E-02;4.39E-04;0;0;0;0;0;0;0;0;0;0;-6.17E-03;8.96E-03;0;0;-2.79E-02;3.81E-04;0;0;-4.60E-02;0;0;0;-4.67E-02;-5.99E-03;-0.13812;0;0;-5.16E-03;-0.14107;-1.56E-02;-3.80E-02;-4.49E-02;-2.68E-04;-0.11657;-2.45E-07;0;0;-2.76E-05;-2.78E-05;-2.40E-06;0;0;0;-2.19E-02;0;0;0;-2.46E-02;0;0;1.45E-03;0;2.63E-02;0;0;0;0;0;0;0;0;0;1.58E-03;0;2.74E-02;0;-1.03E-02
872-05-9;264.46;2538.9;158.04;2961.4;0;-60.629;1.473;0;1.47E-02;0;5.34E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-59.279;0;0;0;0;-13.521;-77.149;0;0;0;0;-1741.4;-19.988;-0.15064;-0.25551;-1775.5;-718.09;0;0;-263.6;-1035.5;-0.31781;0;0;9.70E-05;0;0;0;0;0;0;0;7.28E-03;0;5.44E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;-9.38E-03
2921-88-2;0.15953;0.75556;4.58E-02;0.96086;0;-0.31411;0;-0.14409;0;-1.20E-02;7.23E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.46896;0;0;0;0;-3.33E-03;-6.17E-02;0;0;0;0;-0.31776;-5.74E-02;-2.56E-03;-1.28E-03;-0.3833;-4.80E-03;0;0;-3.44E-02;-3.96E-02;-3.94E-03;0;0;0;-2.20E-04;0;0;0;0;0;0;1.26E-04;0;1.27E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.72E-05
2642-71-9;3.52E-02;0.31945;1.77E-02;0.37243;0;-6.67E-03;4.41E-03;0;3.14E-04;0;8.26E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.49E-04;0;0;0;0;0;-2.36E-03;-2.53E-02;0;0;0;0;-0.23117;-8.61E-02;-1.62E-02;-3.26E-03;-0.34473;-1.80E-05;0;0;-2.92E-04;-3.10E-04;-1.67E-04;0;0;0;-9.88E-05;0;0;0;0;0;0;2.75E-04;0;1.21E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.39E-03
103-90-2;0.82993;6.7746;402.2;409.8;0;-0.30752;0.35633;0;0;-1.1866;1.67E-02;0;0;0;0;0;0;0;0;0;0;-1.08E-03;1.36E-03;0;0;-4.01E-03;5.33E-05;0;0;-14.098;0;0;0;-4.86E-02;-59.366;-333.36;0;0;-0.11214;-1.2211;-4.51E-02;-0.1312;-0.17192;-1.04E-03;-1.6182;-2.53E-06;0;0;-1.22E-04;-1.25E-04;-1.70E-04;0;0;0;-2.1431;0;0;0;-8.76E-03;0;0;0.16672;0;2.0544;0;0;0;0;0;0;0;0;0;6.63E-04;0;7.82E-03;0;-8.47E-02
95-51-2;12.655;105.99;302.69;421.33;0;-5.1539;3.139;0;0;-18.333;0.34833;0;0;-8.66E-06;0;-1.11E-05;0;-2.18E-05;0;-2.66E-02;0;-1.31E-04;7.30E-05;0;0;-4.74E-04;6.30E-06;0;0;-48.413;0;-2.68E-02;0;-1.20E-03;-47.976;-313.47;-1.50E-05;-1.52E-03;-5.04E-04;-7.14E-03;0;0;0;0;0;-4.1583;0;0;-4.1223;-11.408;-2.18E-02;-1.23E-05;0;0;-19.525;0;-1.34E-04;0;-4.31E-04;0;0;1.7605;0;17.761;0;0;0;0;0;0;0;0;0;4.20E-05;0;4.40E-04;0;0
101-54-2;32.173;269.81;1108.6;1410.6;0;-0.81163;0.15946;0;4.68E-02;0;0.3877;0;0;-9.23E-07;2.86E-07;0;1.95E-06;0;0;-6.00E-02;0;-8.93E-04;1.73E-04;0;5.27E-05;0;2.94E-04;0;0;-1.9536;0;-5.99E-02;0;-2.40E-03;-140.64;-395.13;-3.97E-05;-1.28E-02;-5.02E-02;-0.38373;-249.57;-29.506;-1.6491;-19.957;-872.22;-5.34E-03;0;0;-7.21E-02;-7.78E-02;-2.21E-03;-2.56E-06;0;3.75E-03;0;6.22E-06;0;3.89E-06;0;0;0;4.42E-02;0;3.35E-02;0;0;0;0;0;0;0;0;0;4.88E-05;0;3.81E-05;0;-9.15E-02
111-88-6;4.0136;36.576;4.434;45.026;0;-2.1186;0;-1.2379;0;-0.38616;9.40E-04;0;0;0;0;0;0;0;0;0;0;-2.37E-03;0;-1.39E-03;0;-4.26E-04;8.35E-07;0;0;-3.7536;0;0;0;-4.05E-03;-0.32817;-2.1224;0;0;-2.09E-04;-2.60E-03;-19.198;-4.9373;-0.50319;-5.58E-04;-24.753;-7.2819;0;0;-4.0033;-14.048;-1.08E-02;0;0;0;-4.81E-02;0;0;0;-6.23E-05;0;0;4.58E-02;0;4.22E-02;0;0;0;0;0;0;0;0;0;4.59E-04;0;5.36E-04;0;-4.08E-02
2135-17-3;0.34466;2.8916;6.2373;9.4736;0;-0.13263;7.00E-02;0;1.34E-02;0;7.89E-03;0;0;-2.70E-07;0;-3.95E-07;0;-8.48E-07;0;-7.55E-04;0;-7.89E-07;4.54E-07;0;1.20E-07;0;4.28E-08;0;0;-0.11374;0;-7.60E-04;0;-6.57E-07;-0.96026;-5.7903;-4.15E-07;-3.00E-05;-3.22E-06;-3.61E-05;-0.48443;-0.83186;-0.62566;-1.26E-02;-2.6082;0;0;0;0;0;-1.71E-04;-4.23E-07;0;0;-6.76E-02;0;-5.82E-06;0;-4.71E-07;0;0;2.95E-02;0;0.19829;0;0;0;0;0;0;0;0;0;2.00E-07;0;1.31E-06;0;-0.16029
13121-70-5;4.99E-03;2.03E-02;1.26E-03;2.65E-02;0;-1.92E-02;0;-2.65E-03;0;-5.65E-05;2.09E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.19E-02;0;0;0;0;-5.41E-05;-1.35E-03;0;0;0;0;-2.82E-03;-1.85E-04;-2.40E-06;-9.89E-06;-3.04E-03;-6.13E-09;0;0;-6.49E-05;-6.49E-05;-1.45E-04;0;0;0;-1.67E-07;0;0;0;0;0;0;7.70E-08;0;1.36E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.20E-08
1897-45-6;0.29276;3.4;0.18463;3.8773;0;-3.01E-02;0;-1.48E-04;0;-1.0008;1.14E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.4321;0;0;0;0;-0.10268;-2.2334;0;0;0;0;0;0;0;0;0;-8.29E-02;0;0;-1.35E-02;-0.10088;-8.07E-03;0;0;0;-0.36223;0;0;0;0;0;0;2.18E-02;0;0.34043;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41859-67-0;3.76E-03;4.00E-02;1.0134;1.0572;0;-7.08E-06;3.01E-07;0;0;-1.39E-06;6.70E-06;0;0;-8.94E-10;0;-7.66E-10;0;-9.74E-10;0;-3.66E-06;0;-1.88E-03;2.13E-03;0;0;-7.81E-03;5.96E-05;0;0;-7.79E-05;0;-3.67E-06;0;-4.26E-02;-8.80E-02;-2.48E-02;-3.27E-09;-9.77E-07;-7.41E-02;-0.82519;-1.07E-04;-4.55E-06;-4.40E-06;-5.98E-06;-2.34E-03;0;0;0;0;0;-3.00E-05;-4.41E-10;0;0;-1.83E-06;0;-2.85E-09;0;-1.22E-02;0;0;1.27E-07;0;9.27E-07;0;0;0;0;0;0;0;0;0;9.55E-04;0;1.12E-02;0;-2.09E-06
10311-84-9;3.09E-02;0.28014;1.56E-02;0.32659;0;-4.66E-04;4.68E-04;0;2.15E-05;0;6.14E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.60E-04;0;0;0;0;0;-1.72E-03;-1.03E-02;0;0;0;0;-0.29689;-6.84E-03;-1.20E-04;-7.06E-03;-0.31488;-1.11E-05;0;0;-2.52E-04;-2.63E-04;-5.11E-05;0;0;1.73E-07;0;0;0;0;0;0;0;1.99E-06;0;1.06E-06;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.47E-06
56-38-2;4.18E-02;0.3788;2.10E-02;0.44163;0;-1.08E-02;0;-7.26E-02;0;-9.83E-02;1.09E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.20146;0;0;0;0;-5.64E-03;-0.12935;0;0;0;0;-3.36E-02;-3.78E-02;-1.72E-02;-1.33E-04;-9.35E-02;-8.17E-03;0;0;-1.40E-03;-9.80E-03;-1.88E-03;0;0;0;-2.10E-02;0;0;0;0;0;0;2.15E-03;0;2.10E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.14E-03
3689-24-5;3.78E-02;0.3423;1.90E-02;0.39906;0;-5.21E-03;3.53E-03;0;1.35E-04;0;8.58E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.48E-04;0;0;0;0;0;-2.33E-03;-2.05E-02;0;0;0;0;-0.2879;-6.61E-02;-7.97E-03;-3.08E-03;-0.3703;-2.34E-03;0;0;-3.52E-03;-5.92E-03;-1.62E-04;0;0;0;-3.68E-05;0;0;0;0;0;0;1.48E-04;0;4.26E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.38E-04
84-65-1;3.5146;30.846;46.123;80.486;0;-1.2961;0;-2.3119;0;-8.9402;0.10477;0;0;-2.86E-06;0;-2.96E-06;0;-5.01E-06;0;-7.78E-03;0;0;0;0;0;0;0;0;0;-17.632;0;-7.79E-03;0;0;-7.5123;-51.509;-5.91E-06;-1.51E-03;0;0;-0.52636;-0.88086;-0.61603;-4.26E-03;-2.406;-0.93482;0;0;-0.26139;-1.29;-0.1267;-1.19E-06;0;0;-3.884;0;-1.37E-05;0;0;0;0;0.50233;0;3.5173;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.13622
41083-11-8;4.41E-03;1.79E-02;1.12E-03;2.34E-02;0;-1.67E-02;0;-2.79E-03;0;-7.22E-05;1.27E-04;0;0;0;0;0;0;0;0;0;0;-5.06E-08;0;-5.96E-09;0;-2.21E-10;3.19E-10;0;0;-1.95E-02;0;0;0;-5.47E-08;-4.92E-05;-1.24E-03;0;0;-2.35E-10;-3.59E-09;-2.28E-03;-1.80E-04;-2.82E-06;-8.05E-06;-2.49E-03;0;0;0;0;0;-1.27E-04;0;0;0;-1.88E-07;0;0;0;-4.74E-13;0;0;9.80E-08;0;2.05E-08;0;0;0;0;0;0;0;0;0;1.92E-11;0;4.58E-12;0;-1.13E-08
