case,Etot (kmol/y),Fug-stora (kmol/y),Fug-storb (kmol/y),Pre-stora (kmol/y),Pre-storb (kmol/y),Ion-stora (kmol/y),Ion-storb (kmol/y),Fug-Abs (kmol/y),Fug-Sea (kmol/y),Pre-Abs (kmol/y),Pre-Sea (kmol/y),Ion-Abs (kmol/y),Ion-Sea (kmol/y),Decay (kmol/y),Volat (kmol/y),Fug-Sed (kmol/y),Pre-Sed (kmol/y),Ion-Sed (kmol/y),
"100986-85-4", 0.40083E-01,  0.0000    ,-0.39373E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.10214E-02,-0.40853E-02,-0.11055E-01,  0.0000    ,  0.0000    ,-0.17353E-02,-0.21706E-01,-0.82388E-04,  0.0000    ,-0.26593E-08,  0.0000    ,  0.0000    ,
"138402-11-6",  2.6591    ,  0.0000    ,-0.12422E-01,  0.0000    ,-0.26853E-04,  0.0000    ,-0.86577E-01,-0.22735    ,-0.34425    ,-0.29658E-07,-0.81560E-05,-0.14810    , -1.7812    ,-0.57007E-01,  0.0000    ,-0.21361E-02,-0.54005E-08,  0.0000    ,
"298-46-4",  18.536    ,  0.0000    ,-0.14624    ,  0.0000    ,-0.65435E-04,  0.0000    ,-0.42422    , -1.8156    , -4.1064    ,-0.56490E-07,-0.13227E-04,-0.95408    , -10.948    ,-0.14047    ,-0.50634E-04,-0.18074E-03,-0.12808E-07,  0.0000    ,
"50-78-2",  12.111    ,  0.0000    ,-0.83961E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.94738    ,-0.83883    ,-0.44831    ,  0.0000    ,  0.0000    ,-0.70701    , -8.8342    ,-0.33430    ,-0.15891E-03,-0.17788E-05,  0.0000    ,  0.0000    ,
"56-75-7", 0.25853E-01,  0.0000    ,-0.19671E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.51776E-05,-0.36116E-02,-0.19272E-01,  0.0000    ,  0.0000    ,-0.52933E-04,-0.55900E-03,-0.21543E-02,  0.0000    ,-0.27617E-07,  0.0000    ,  0.0000    ,
"59-67-6", 0.50830    ,  0.0000    ,-0.39898E-04,  0.0000    ,  0.0000    ,  0.0000    ,-0.32067E-01,-0.37559E-01,-0.20315E-01,  0.0000    ,  0.0000    ,-0.30731E-01,-0.38012    ,-0.74645E-02,-0.28556E-05,-0.11657E-07,  0.0000    ,  0.0000    ,
"723-46-6",  6.3279    ,  0.0000    ,-0.52028E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.23082    ,-0.52050    ,-0.19922    ,  0.0000    ,  0.0000    ,-0.42136    , -4.9366    ,-0.19331E-01,  0.0000    ,-0.28267E-06,  0.0000    ,  0.0000    ,
"84057-84-1",  4.3538    ,  0.0000    ,-0.15954    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.12058E-02,-0.63012    , -3.5388    ,  0.0000    ,  0.0000    ,-0.17329E-02,-0.22850E-01,  0.0000    ,-0.47126E-04,-0.34053E-04,  0.0000    ,  0.0000    ,
"76824-35-6", 0.22201E-01,  0.0000    ,-0.36983E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.97553E-04,-0.29563E-02,-0.14576E-01,  0.0000    ,  0.0000    ,-0.24973E-03,-0.32137E-02,-0.73838E-03,  0.0000    ,-0.55661E-09,  0.0000    ,  0.0000    ,
"68-35-9", 0.28486E-01,  0.0000    ,-0.95104E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.25853E-08,-0.41342E-02,-0.23233E-01,  0.0000    ,  0.0000    ,-0.39525E-08,-0.51921E-07,-0.16851E-03,-0.23656E-06,-0.37339E-08,  0.0000    ,  0.0000    ,
"94-36-0", 0.16055    ,  0.0000    ,-0.10124E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.69411E-02,-0.33344E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.11280    ,-0.64411E-02,-0.14438E-04,  0.0000    ,  0.0000    ,
"101200-48-0", 0.98246E-02, 0.16998E-05,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.10107E-02,-0.16150E-05,-0.16988E-05,  0.0000    ,  0.0000    ,-0.17583E-03,-0.85443E-02,-0.10140E-03,-0.20090E-05,-0.30192E-09,  0.0000    ,  0.0000    ,
"104206-82-8",  58.986    , 0.96720E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -21.070    ,-0.36058E-01,-0.86938E-02,  0.0000    ,  0.0000    , -1.3788    , -36.074    ,-0.41983    ,-0.20093E-03,-0.12553E-06,  0.0000    ,  0.0000    ,
"112410-23-8", 0.85816    ,  0.0000    ,-0.40410E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.56137E-02,-0.46910E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.76431    ,-0.12249E-04,-0.86259E-03,  0.0000    ,  0.0000    ,
"119168-77-3", 0.40900    ,  0.0000    ,-0.42963E-02,  0.0000    ,  0.0000    ,  0.0000    ,-0.13251    ,-0.49383E-03,-0.82401E-02,  0.0000    ,  0.0000    ,-0.88192E-02,-0.24712    ,-0.64414E-02,-0.46528E-04,-0.10301E-02,  0.0000    ,  0.0000    ,
"123312-89-0", 0.62718    , 0.26665E-03,  0.0000    ,  0.0000    ,  0.0000    , 0.45625E-07,  0.0000    ,-0.39768E-02,-0.32830E-01,  0.0000    ,  0.0000    ,-0.49763E-06,-0.80183E-05,-0.59057    ,-0.21335E-05,-0.19991E-06,  0.0000    ,  0.0000    ,
"131983-72-7",  37.106    ,  0.0000    , -16.230    ,  0.0000    ,  0.0000    ,  0.0000    , -2.0604    ,-0.45735    , -13.283    ,  0.0000    ,  0.0000    ,-0.62948E-01, -1.7229    , -3.1534    ,  0.0000    ,-0.13500    ,  0.0000    ,  0.0000    ,
"137-26-8",  37.462    ,  0.0000    , -2.2135    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.64728    , -14.010    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -18.890    , -1.6960    ,-0.38603E-02,  0.0000    ,  0.0000    ,
"149961-52-4",  24.802    , 0.13770E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.11008E-05,  0.0000    ,-0.40495E-01,-0.53614    ,  0.0000    ,  0.0000    ,-0.16260E-06,-0.25907E-05, -24.218    ,-0.31497E-02,-0.14755E-01,  0.0000    ,  0.0000    ,
"16672-87-0", 0.25220E-01, 0.19650E-05,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.25942E-02,-0.19235E-04,-0.67488E-06,  0.0000    ,  0.0000    ,-0.45166E-03,-0.22149E-01,-0.42962E-05,-0.19559E-05,-0.84205E-11,  0.0000    ,  0.0000    ,
"1861-40-1",  36.589    ,  0.0000    , -30.699    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.45833E-01,-0.42529    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -2.0208    , -3.3763    ,-0.21923E-01,  0.0000    ,  0.0000    ,
"19937-59-8",  5.3444    ,  0.0000    ,-0.28836    ,  0.0000    ,  0.0000    ,  0.0000    , -1.0494    ,-0.20436E-01,-0.62433    ,  0.0000    ,  0.0000    ,-0.67759E-01, -2.4121    ,-0.87994    ,-0.16724E-02,-0.15499E-03,  0.0000    ,  0.0000    ,
"2310-17-0",  1.0491    ,  0.0000    ,-0.71150    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.73386E-02,-0.94234E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.21639    ,-0.15624E-01,-0.40369E-02,  0.0000    ,  0.0000    ,
"2540-82-1",  1.4999    ,  0.0000    ,-0.17475E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.20917E-01,-0.47594    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.98429    ,-0.11760E-02,-0.51496E-04,  0.0000    ,  0.0000    ,
"29973-13-5",  1.3003    ,  0.0000    ,-0.11039    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.69619E-05,-0.22076E-01,-0.54481    ,  0.0000    ,  0.0000    ,-0.14582E-05,-0.38853E-04,-0.62102    ,-0.16087E-02,-0.26240E-03,  0.0000    ,  0.0000    ,
"33629-47-9",  41.538    ,  0.0000    , -38.461    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.78266E-01,-0.78279    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -2.1482    ,-0.67729E-01,  0.0000    ,  0.0000    ,
"39515-41-8", 0.19656    ,  0.0000    ,-0.68080E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.12734E-02,-0.76979E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.11729    ,-0.19281E-02,-0.28868E-03,  0.0000    ,  0.0000    ,
"51218-45-2",  14.544    ,  0.0000    ,-0.79570    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.10019    , -3.9885    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -9.5565    ,-0.80205E-01,-0.22598E-01,  0.0000    ,  0.0000    ,
"55335-06-3",  1.5092    , 0.43459E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.31153    ,-0.14019E-02,-0.48766E-02,  0.0000    ,  0.0000    ,-0.55693E-01, -1.1356    ,  0.0000    ,-0.49491E-03,-0.13451E-06,  0.0000    ,  0.0000    ,
"5915-41-3",  431.63    ,  0.0000    , -7.8827    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.86998E-05, -3.1426    , -78.676    ,  0.0000    ,  0.0000    ,-0.33386E-05,-0.98434E-04, -341.12    ,-0.46117    ,-0.33329    ,  0.0000    ,  0.0000    ,
"668-34-8",  1.1294    ,  0.0000    ,-0.52005    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.12913E-02,-0.10178E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.53565    ,-0.60836E-01,-0.13949E-02,  0.0000    ,  0.0000    ,
"71626-11-4",  7.3172    ,  0.0000    ,-0.37751    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.21470E-01,-0.47440    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -6.4308    ,-0.22431E-02,-0.10580E-01,  0.0000    ,  0.0000    ,
"76674-21-0",  39.141    ,  0.0000    , -3.4642    ,  0.0000    ,  0.0000    ,  0.0000    , -10.712    ,-0.22178    , -5.9469    ,  0.0000    ,  0.0000    ,-0.65004    , -18.138    ,  0.0000    ,-0.56728E-03,-0.56297E-02,  0.0000    ,  0.0000    ,
"82560-54-1", 0.71361    ,  0.0000    ,-0.18197    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.49100E-01,-0.72435E-02,-0.14030    ,  0.0000    ,  0.0000    ,-0.13055E-02,-0.34642E-01,-0.29340    ,-0.67367E-04,-0.55551E-02,  0.0000    ,  0.0000    ,
"86-50-0",  1.2160    ,  0.0000    ,-0.33695    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.24256E-01,-0.61091    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.24091    ,-0.11015E-02,-0.18557E-02,  0.0000    ,  0.0000    ,
"950-37-8",  1.3107    ,  0.0000    ,-0.14331    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.35519E-07,-0.24841E-01,-0.62162    ,  0.0000    ,  0.0000    ,-0.48838E-08,-0.14805E-06,-0.51620    ,-0.44642E-02,-0.21362E-03,  0.0000    ,  0.0000    ,
"10605-21-7",  2.8303    ,  0.0000    ,-0.17453    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.44409    ,-0.18813E-01,-0.53888    ,  0.0000    ,  0.0000    ,-0.39763E-01, -1.4955    ,-0.11600    ,-0.25605E-02,-0.63705E-04,  0.0000    ,  0.0000    ,
"10453-86-8", 0.20294    ,  0.0000    ,-0.49067E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.11637E-02,-0.52279E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.19068    ,-0.52246E-02,-0.12414E-03,  0.0000    ,  0.0000    ,
"132-66-1",  7.3097    , 0.63126E-04,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -2.5892    ,-0.41602E-02,-0.27045E-03,  0.0000    ,  0.0000    ,-0.10564    , -4.5369    ,-0.73648E-01,-0.16407E-03,-0.71475E-05,  0.0000    ,  0.0000    ,
"3689-24-5",  1.1972    , 0.44324E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.70011E-02,-0.61442E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -1.1109    ,-0.17769E-01,-0.48694E-03,  0.0000    ,  0.0000    ,
"15299-99-7",  40.318    , 0.46929E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.76359E-01,-0.65575    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -39.582    ,-0.25176E-01,-0.31481E-02,  0.0000    ,  0.0000    ,
"49866-87-7",  13.283    ,  0.0000    ,-0.92427E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.12915    , -3.2674    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -9.2244    ,-0.56916    ,-0.64335E-04,  0.0000    ,  0.0000    ,
"67564-91-4",  26.365    ,  0.0000    , -9.9570    ,  0.0000    ,  0.0000    ,  0.0000    , -5.3668    ,-0.26667    , -5.0366    ,  0.0000    ,  0.0000    ,-0.10447    , -2.6595    , -2.0206    ,-0.55722E-01,-0.89649    ,  0.0000    ,  0.0000    ,
"95617-09-7",  5.8459    , 0.96937E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -1.9916    ,-0.32800E-02,-0.28068E-03,  0.0000    ,  0.0000    ,-0.99287E-01, -3.5933    ,-0.16295    ,-0.76233E-03,-0.57341E-05,  0.0000    ,  0.0000    ,
"100-01-6",  131.63    ,  0.0000    , -12.869    ,  0.0000    ,-0.63597E-02,  0.0000    ,-0.30977E-05, -16.285    , -102.35    ,-0.30812E-05,-0.10309E-02,-0.16797E-05,-0.23237E-04,  0.0000    ,-0.11437    ,-0.17453E-02,-0.17169E-06,  0.0000    ,
"100-61-8",  110.43    ,  0.0000    , -24.350    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.59374E-01, -5.6876    , -61.428    ,  0.0000    ,  0.0000    ,-0.86043E-02,-0.14626    , -7.0191    , -11.715    ,-0.77670E-02,  0.0000    ,  0.0000    ,
"102-71-6",  26619.    ,  0.0000    , -2216.7    ,  0.0000    ,-0.49246    ,  0.0000    ,-0.53593E-03, -3271.8    , -20428.    ,-0.50913E-05,-0.13488E-02,-0.37112E-03,-0.46786E-02, -700.09    ,-0.11988    ,-0.12212E-02,-0.58620E-06,  0.0000    ,
"104-76-7",  21836.    ,  0.0000    , -408.99    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -410.98    , -3213.2    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -15198.    , -2600.7    , -3.5596    ,  0.0000    ,  0.0000    ,
"105-99-7",  10.619    ,  0.0000    ,-0.46581E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.10747    ,-0.56270    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -9.4787    ,-0.42227    ,-0.12816E-02,  0.0000    ,  0.0000    ,
"106-50-3",  2358.5    ,  0.0000    , -224.06    ,  0.0000    ,-0.10118    ,  0.0000    , -5.5780    , -289.03    , -1795.6    ,-0.49107E-04,-0.16166E-01, -2.9385    , -40.674    ,-0.25614E-06,-0.56693    ,-0.87744E-03,-0.32045E-05,  0.0000    ,
"108-67-8",  47.667    ,  0.0000    , -15.831    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.45161    , -3.6491    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -3.4077    , -24.312    ,-0.15459E-01,  0.0000    ,  0.0000    ,
"110-65-6",  31417.    ,  0.0000    , -160.28    ,  0.0000    , -1.5977    ,  0.0000    ,-0.65076E-03, -2880.6    , -17122.    ,-0.87106E-03,-0.24043    ,-0.60519E-02,-0.67303E-01, -11216.    , -37.967    ,-0.11939E-02,-0.14514E-03,  0.0000    ,
"111-46-6",  22141.    ,  0.0000    , -27.083    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.62164E-05, -532.38    , -2408.4    ,  0.0000    ,  0.0000    ,-0.40070E-04,-0.31748E-03, -19164.    , -8.9258    ,-0.70560E-04,  0.0000    ,  0.0000    ,
"112-02-7",  60.546    ,  0.0000    ,-0.15293    ,  0.0000    ,-0.89175E-02,  0.0000    ,  0.0000    , -3.4833    , -19.413    ,-0.31473E-05,-0.15761E-03,  0.0000    ,  0.0000    , -37.477    ,-0.35622E-02,-0.57582E-02,-0.73691E-05,  0.0000    ,
"112-50-5",  103.97    ,  0.0000    ,-0.24883    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.31451E-07, -5.1500    , -28.059    ,  0.0000    ,  0.0000    ,-0.27144E-06,-0.32053E-05, -70.491    ,-0.22806E-01,-0.77681E-05,  0.0000    ,  0.0000    ,
"119-64-2",  89.015    ,  0.0000    , -25.292    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.77645    , -6.0531    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -24.870    , -31.984    ,-0.40671E-01,  0.0000    ,  0.0000    ,
"121-32-4",  23.719    ,  0.0000    ,-0.24838E-01,  0.0000    ,  0.0000    ,  0.0000    ,-0.58916E-01,-0.58113    , -2.1996    ,  0.0000    ,  0.0000    ,-0.41477    , -5.8909    , -14.543    ,-0.54730E-02,-0.14139E-03,  0.0000    ,  0.0000    ,
"123-31-9",  702.13    ,  0.0000    ,-0.98355    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.40203E-02, -18.413    , -84.950    ,  0.0000    ,  0.0000    ,-0.42675E-01,-0.39589    , -597.14    ,-0.19562    ,-0.19350E-03,  0.0000    ,  0.0000    ,
"126-73-8",  97.419    ,  0.0000    , -20.926    ,  0.0000    ,-0.35882E-07,  0.0000    ,  0.0000    , -2.3838    , -24.148    ,-0.91615E-06,-0.26311E-03,  0.0000    ,  0.0000    , -45.619    , -4.0638    ,-0.27744    ,-0.11885E-06,  0.0000    ,
"13674-84-5",  185.06    ,  0.0000    ,-0.35441    ,  0.0000    ,-0.38767E-01,  0.0000    ,  0.0000    , -4.3577    , -28.858    ,-0.22105E-04,-0.64096E-02,  0.0000    ,  0.0000    , -150.48    ,-0.95504    ,-0.13390E-01,-0.29423E-05,  0.0000    ,
"141-98-0",  3.2434    ,  0.0000    ,-0.82623    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.49085E-04,-0.15190    , -1.8443    ,  0.0000    ,  0.0000    ,-0.71742E-05,-0.10873E-03,-0.15918    ,-0.26128    ,-0.29183E-03,  0.0000    ,  0.0000    ,
"149-30-4",  93.943    ,  0.0000    , -2.1658    ,  0.0000    ,-0.11660E-01,  0.0000    , -16.000    , -4.3009    , -9.6867    ,-0.72630E-05,-0.20392E-02, -4.0856    , -56.913    ,-0.48672    ,-0.28739    ,-0.36376E-02,-0.10939E-05,  0.0000    ,
"2156-97-0",  36.240    ,  0.0000    ,-0.80454    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.15833    ,-0.85201    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -31.118    , -3.2981    ,-0.85021E-02,  0.0000    ,  0.0000    ,
"26159-31-9",  30.909    ,  0.0000    ,-0.30905E-02,  0.0000    ,-0.17092E-02,  0.0000    , -3.1285    , -2.0036    , -1.1180    ,-0.28579E-06,-0.14716E-03, -1.7823    , -22.863    ,-0.62969E-02,-0.33091E-03,-0.20118E-03,-0.56519E-07,  0.0000    ,
"298-06-6",  8.6429    ,  0.0000    ,-0.80293E-03,  0.0000    ,  0.0000    ,  0.0000    ,-0.86825    ,-0.47575    ,-0.29531    ,  0.0000    ,  0.0000    ,-0.42511    , -6.0651    ,-0.38632E-02,-0.50916    ,-0.12018E-04,  0.0000    ,  0.0000    ,
"4180-23-8",  25.997    ,  0.0000    ,-0.92312    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.38001    , -3.4269    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -14.538    , -6.7227    ,-0.50752E-02,  0.0000    ,  0.0000    ,
"51-03-6",  16.664    , 0.20518E-01,  0.0000    ,  0.0000    ,-0.28725E-02,  0.0000    ,  0.0000    ,-0.20084    , -1.0922    ,-0.82292E-06,-0.33457E-03,  0.0000    ,  0.0000    , -15.378    ,-0.62430E-02,-0.48678E-02,-0.92810E-07,  0.0000    ,
"554-00-7",  106.64    ,  0.0000    , -11.303    ,  0.0000    ,-0.52585E-02,  0.0000    ,-0.28654E-04, -12.882    , -80.476    ,-0.38128E-05,-0.93365E-03,-0.13129E-04,-0.18200E-03,  0.0000    , -1.9371    ,-0.30007E-01,-0.90816E-06,  0.0000    ,
"5989-27-5",  512.05    ,  0.0000    , -11.236    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -2.3307    , -13.694    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -357.38    , -127.36    ,-0.23552E-01,  0.0000    ,  0.0000    ,
"623-03-0",  42.142    ,  0.0000    , -8.5734    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -1.4314    , -16.868    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -4.9180    , -10.341    ,-0.86606E-02,  0.0000    ,  0.0000    ,
"6485-40-1",  28.661    ,  0.0000    ,-0.62850    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.51285    , -4.1932    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -18.698    , -4.6219    ,-0.17968E-02,  0.0000    ,  0.0000    ,
"70969-58-3",  15.880    ,  0.0000    ,-0.10985    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.16083    , -1.0133    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -13.836    ,-0.75160    ,-0.74327E-02,  0.0000    ,  0.0000    ,
"7747-35-5",  17.593    ,  0.0000    ,-0.58688E-01,  0.0000    ,  0.0000    ,  0.0000    ,-0.22615E-02,-0.79046    , -5.8653    ,  0.0000    ,  0.0000    ,-0.90224E-02,-0.13635    , -10.717    ,-0.13386E-01,-0.19562E-04,  0.0000    ,  0.0000    ,
"78-11-5",  35.108    ,  0.0000    ,-0.29010    ,  0.0000    ,-0.54053E-02,  0.0000    ,  0.0000    , -1.3584    , -9.5338    ,-0.67094E-06,-0.34197E-03,  0.0000    ,  0.0000    , -23.893    ,-0.61416E-02,-0.23320E-01,-0.14142E-06,  0.0000    ,
"791-28-6",  3.9478    ,  0.0000    ,-0.70983    ,  0.0000    ,-0.35884E-03,  0.0000    ,  0.0000    ,-0.39543    , -2.6560    ,-0.46740E-07,-0.17418E-04,  0.0000    ,  0.0000    ,-0.18092    ,-0.55563E-03,-0.47882E-02,-0.12981E-07,  0.0000    ,
"81-19-6",  2.5747    ,  0.0000    ,-0.23877    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.24652E-01,-0.17806    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -1.7140    ,-0.41776    ,-0.14071E-02,  0.0000    ,  0.0000    ,
"85-41-6",  486.48    ,  0.0000    , -1.4368    ,  0.0000    ,-0.27899E-01,  0.0000    ,-0.32922E-01, -34.694    , -196.09    ,-0.17056E-04,-0.56375E-02,-0.52328    , -5.7025    , -247.31    ,-0.65440    ,-0.12432E-02,-0.18865E-05,  0.0000    ,
"88-18-6",  9.9239    ,  0.0000    , -4.2679    ,  0.0000    ,-0.97746E-03,  0.0000    ,-0.38935E-02,-0.37732    , -4.6278    ,-0.21864E-06,-0.71008E-04,-0.28468E-03,-0.43418E-02,  0.0000    ,-0.61632    ,-0.26365E-01,-0.32574E-07,  0.0000    ,
"89-83-8",  170.29    ,  0.0000    , -35.486    ,  0.0000    ,-0.30076E-01,  0.0000    ,-0.32406E-01, -5.7612    , -67.636    ,-0.21752E-04,-0.43260E-02,-0.41635E-02,-0.63279E-01, -51.854    , -9.1296    ,-0.29281    ,-0.88391E-05,  0.0000    ,
"91-20-3",  8210.2    ,  0.0000    , -2281.1    ,  0.0000    , -1.2017    ,  0.0000    ,  0.0000    , -119.21    , -1191.2    ,-0.16091E-04,  0.0000    ,  0.0000    ,  0.0000    , -1111.2    , -3502.1    , -3.6399    ,-0.11164E-04,  0.0000    ,
"94-96-2",  30.862    ,  0.0000    ,-0.70332E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.78502    , -5.5757    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -23.828    ,-0.60199    ,-0.18821E-03,  0.0000    ,  0.0000    ,
"95-74-9",  580.89    ,  0.0000    , -83.682    ,  0.0000    ,-0.65715E-01,  0.0000    ,-0.20658E-01, -53.552    , -391.90    ,-0.39420E-04,-0.44699E-02,-0.60905E-02,-0.90384E-01, -27.643    , -23.853    ,-0.95777E-01,-0.29310E-04,  0.0000    ,
"96-45-7",  112.97    ,  0.0000    , -4.1686    ,  0.0000    ,  0.0000    ,  0.0000    , -6.3607    , -9.7570    , -36.130    ,  0.0000    ,  0.0000    , -4.1455    , -51.239    , -1.0885    ,-0.78971E-01,-0.82270E-05,  0.0000    ,  0.0000    ,
"98-17-9",  15.597    ,  0.0000    , -4.0362    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.37657    ,-0.62988    , -7.4640    ,  0.0000    ,  0.0000    ,-0.45254E-01,-0.69556    ,-0.62458    , -1.7146    ,-0.10452E-01,  0.0000    ,  0.0000    ,
"99-54-7",  252.33    ,  0.0000    , -83.286    ,  0.0000    ,-0.49363E-01,  0.0000    ,  0.0000    , -8.8373    , -106.92    ,-0.14815E-04,-0.74801E-03,  0.0000    ,  0.0000    , -7.7550    , -45.137    ,-0.33509    ,-0.43996E-04,  0.0000    ,
"60-12-8",  60.864    ,  0.0000    ,-0.10507    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -1.3496    , -8.5604    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -49.851    ,-0.99781    ,-0.30048E-03,  0.0000    ,  0.0000    ,
"78-63-7",  130.45    ,  0.0000    , -46.112    ,  0.0000    ,-0.61923E-01,  0.0000    ,  0.0000    ,-0.59327    , -3.5655    ,-0.27858E-05,-0.47494E-05,  0.0000    ,  0.0000    , -67.906    , -12.125    ,-0.87787E-01,-0.21785E-04,  0.0000    ,
"80-07-9",  277.70    ,  0.0000    , -161.71    ,  0.0000    ,-0.49442E-01,  0.0000    ,  0.0000    , -9.7747    , -99.223    ,-0.35692E-04,-0.96253E-02,  0.0000    ,  0.0000    ,  0.0000    , -5.6433    , -1.2963    ,-0.59394E-05,  0.0000    ,
"85-42-7",  370.60    ,  0.0000    , -48.935    ,  0.0000    ,-0.57687E-01,  0.0000    ,  0.0000    , -15.522    , -179.26    ,-0.32054E-04,-0.22515E-02,  0.0000    ,  0.0000    , -97.658    , -29.160    ,-0.11005E-02,-0.30124E-04,  0.0000    ,
"89-04-3",  22.527    , 0.64645E-01,  0.0000    ,  0.0000    , -23.419    ,  0.0000    ,  0.0000    ,-0.61655E-01, -1.1945    ,-0.41706    , -67.537    ,  0.0000    ,  0.0000    , -30.189    ,  0.0000    ,-0.11895E-01,-0.14586    ,  0.0000    ,
