case,Etot (kmol/y),Fug-stora (kmol/y),Fug-storb (kmol/y),Pre-stora (kmol/y),Pre-storb (kmol/y),Ion-stora (kmol/y),Ion-storb (kmol/y),Fug-Abs (kmol/y),Fug-Sea (kmol/y),Pre-Abs (kmol/y),Pre-Sea (kmol/y),Ion-Abs (kmol/y),Ion-Sea (kmol/y),Decay (kmol/y),Volat (kmol/y),Fug-Sed (kmol/y),Pre-Sed (kmol/y),Ion-Sed (kmol/y),
"57018-04-9",  5.1382    ,  0.0000    , -3.0013    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.30990E-01,-0.36777    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -1.2977    ,-0.42548    ,-0.14964E-01,  0.0000    ,  0.0000    ,
"640-15-3",  1.5664    ,  0.0000    ,-0.49799    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.27447E-01,-0.68722    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.29066    ,-0.59412E-01,-0.36122E-02,  0.0000    ,  0.0000    ,
"69377-81-7",  1.5177    ,  0.0000    ,-0.30978E-05,  0.0000    ,  0.0000    ,  0.0000    ,-0.31325    ,-0.14096E-02,-0.48997E-02,  0.0000    ,  0.0000    ,-0.56012E-01, -1.1421    ,  0.0000    ,-0.15947E-05,-0.17692E-07,  0.0000    ,  0.0000    ,
"74051-80-2", 0.18204    , 0.12462E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.20257E-01,-0.39491E-04,-0.61061E-04,  0.0000    ,  0.0000    ,-0.32457E-02,-0.15806    ,-0.35744E-03,-0.13554E-03,-0.21872E-05,  0.0000    ,  0.0000    ,
"80-33-1", 0.12345E-01,  0.0000    ,-0.78760E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.83363E-04,-0.39188E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.33659E-03,-0.12998E-03,  0.0000    ,  0.0000    ,
"84087-01-4",  6.4639    , 0.40338E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -2.0994    ,-0.47682E-02,-0.10861E-02,  0.0000    ,  0.0000    ,-0.14805    , -4.1966    ,-0.16120E-01,-0.40983E-03,-0.13115E-05,  0.0000    ,  0.0000    ,
"93-65-2",  97.505    , 0.10453E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -33.743    ,-0.73584E-01,-0.17500E-01,  0.0000    ,  0.0000    , -2.0204    , -61.628    ,-0.10245E-01,-0.19400E-01,-0.29051E-04,  0.0000    ,  0.0000    ,
"99-30-9",  7.4502    ,  0.0000    , -2.9937    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.13333    , -4.1768    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.13617    ,-0.10051E-01,  0.0000    ,  0.0000    ,
"87674-68-8",  8.9290    , 0.40971E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.58488E-01, -2.3923    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -6.4530    ,-0.61898E-01,-0.24180E-02,  0.0000    ,  0.0000    ,
"94-82-6",  77.131    ,  0.0000    ,-0.15946E-01,  0.0000    ,  0.0000    ,  0.0000    , -27.314    ,-0.63143E-01,-0.50719E-01,  0.0000    ,  0.0000    , -1.6204    , -47.399    ,-0.67077    ,-0.59987E-02,-0.48256E-03,  0.0000    ,  0.0000    ,
"1967-16-4",  8.8017    , 0.10757E-01,  0.0000    ,  0.0000    ,  0.0000    , 0.42026E-07,  0.0000    ,-0.16770E-01,-0.16514    ,  0.0000    ,  0.0000    ,-0.42205E-07,-0.63067E-06, -8.5525    ,-0.77013E-01,-0.48341E-03,  0.0000    ,  0.0000    ,
"13171-21-6",  1.2876    , 0.26527E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.10115E-01,-0.15738    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -1.1226    ,-0.65858E-04,-0.48053E-05,  0.0000    ,  0.0000    ,
"29091-05-2",  38.070    ,  0.0000    ,-0.10142    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.69163E-01,-0.61804    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -35.974    , -1.2946    ,-0.11091E-01,  0.0000    ,  0.0000    ,
"62850-32-2",  5.5060    , 0.61061E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.85294E-02,-0.10214    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -5.3744    ,-0.26422E-01,-0.34212E-03,  0.0000    ,  0.0000    ,
"79241-46-6",  1.0930    , 0.12127E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.55006E-09,-0.59478E-02,-0.30436E-01,  0.0000    ,  0.0000    ,-0.10974E-08,-0.12229E-07, -1.0562    ,-0.13497E-02,-0.14696E-03,  0.0000    ,  0.0000    ,
"161050-58-4", 0.82090    , 0.13998E-02,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.48567E-02,-0.29551E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.78777    ,  0.0000    ,-0.63012E-04,  0.0000    ,  0.0000    ,
"100-47-0",  81.401    ,  0.0000    , -1.6959    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -1.6074    , -11.846    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -55.293    , -10.965    ,-0.47963E-03,  0.0000    ,  0.0000    ,
"101-20-2",  3.3557    ,  0.0000    , -2.1945    ,  0.0000    ,-0.36189E-03,  0.0000    ,-0.33403E-05,-0.17028    ,-0.97510    ,-0.41934E-06,-0.61228E-04,-0.15189E-06,-0.16206E-05,  0.0000    ,-0.59374E-03,-0.14805E-01,-0.14068E-06,  0.0000    ,
"103-74-2",  280.59    ,  0.0000    , -15.658    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.74936E-01, -32.941    , -203.92    ,  0.0000    ,  0.0000    ,-0.85668E-01,-0.98030    , -26.865    ,-0.54676E-01,-0.23201E-03,  0.0000    ,  0.0000    ,
"105-60-2", 0.18305E+06,  0.0000    , -1196.5    ,  0.0000    , -21.472    ,  0.0000    , -1589.7    , -11347.    , -45305.    ,-0.11244E-01, -1.0710    , -4659.5    , -58073.    , -60529.    , -336.02    ,-0.44620E-01,-0.12372E-01,  0.0000    ,
"106-46-7",  1536.0    ,  0.0000    , -499.46    , 0.33548E-04,  0.0000    ,  0.0000    ,  0.0000    , -16.698    , -145.45    ,-0.28104E-08,-0.50442E-06,  0.0000    ,  0.0000    , -40.150    , -833.85    ,-0.37071    ,-0.21983E-07,  0.0000    ,
"108-39-4",  905.66    ,  0.0000    , -1.0944    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.71262E-02, -9.7141    , -42.594    ,  0.0000    ,  0.0000    ,-0.27950E-01,-0.25139    , -836.28    , -15.650    ,-0.28729E-02,  0.0000    ,  0.0000    ,
"109-52-4",  425.75    ,  0.0000    ,-0.11532    ,  0.0000    ,-0.68528E-01,  0.0000    , -109.76    , -2.7012    , -1.8327    ,-0.11355E-04,-0.21225E-02, -13.670    , -230.07    , -66.145    , -1.4456    ,-0.23299E-04,-0.25270E-05,  0.0000    ,
"111-30-8",  345.66    ,  0.0000    ,-0.90952E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -2.9709    , -10.787    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -330.37    , -1.4307    ,-0.95583E-05,  0.0000    ,  0.0000    ,
