,2012/12/31_Cbulk,2013/12/31_Cbulk,
   9000284,    0.56203E-10,    0.24768E-09,
   9000286,    0.39213E-09,    0.13368E-08,
   9000812,    0.19947E-09,    0.11966E-09,
   9000815,    0.86961E-09,    0.63349E-09,
   9000851,    0.17411E-09,    0.94353E-09,
   9000852,    0.58138E-10,    0.33177E-09,
   9000854,    0.67290E-10,    0.18300E-09,
   9000976,    0.25712E-10,    0.83419E-10,
   9001235,    0.79288E-11,    0.28889E-10,
   9500211,    0.81801E-11,    0.14871E-10,
   9500217,    0.13750E-10,    0.19897E-10,
   9500233,    0.70186E-10,    0.12290E-09,
   9500236,    0.85497E-11,    0.30101E-10,
   9500239,    0.42758E-09,    0.13467E-08,
   9500242,    0.21385E-09,    0.81274E-09,
   9500243,    0.59377E-09,    0.48990E-09,
   9500245,    0.48594E-10,    0.83540E-10,
   9500247,    0.20781E-09,    0.31682E-09,
   9500248,    0.66693E-10,    0.35090E-09,
   9500256,    0.19946E-10,    0.56966E-10,
   9500266,    0.10531E-08,    0.91440E-09,
   9500267,    0.10505E-11,    0.37767E-11,
   9500268,    0.80741E-10,    0.19091E-09,
   9500269,    0.13675E-10,    0.42484E-10,
   9500272,    0.82519E-11,    0.21587E-10,
   9500273,    0.13375E-10,    0.10386E-10,
   9500274,    0.50249E-11,    0.35060E-11,
   9500275,    0.28333E-12,    0.70906E-12,
   9500278,    0.16111E-09,    0.76416E-09,
   9500279,    0.18909E-10,    0.49013E-10,
   9500280,    0.28283E-10,    0.69187E-10,
   9500281,    0.18570E-09,    0.63105E-09,
   9500282,    0.69673E-10,    0.20396E-09,
   9500285,    0.44144E-10,    0.17691E-09,
   9500291,    0.55480E-10,    0.20455E-09,
   9500296,    0.20557E-10,    0.10791E-09,
   9500320,    0.33081E-10,    0.11986E-09,
   9500414,    0.10389E-10,    0.33123E-10,
   9500416,    0.26494E-08,    0.11997E-07,
   9500417,    0.11003E-09,    0.43836E-09,
   9500426,    0.45477E-11,    0.67487E-11,
   9500853,    0.84461E-11,    0.18198E-10,
   9502855,    0.28537E-09,    0.43622E-09,
   9502868,    0.22857E-10,    0.51378E-10,
   9502870,    0.30931E-10,    0.43480E-10,
   9502877,    0.40000E-10,    0.58795E-10,
   9502914,    0.69270E-10,    0.11659E-09,
   9502917,    0.48094E-10,    0.53619E-10,
   9502933,    0.44009E-10,    0.37719E-10,
   9502953,    0.56992E-10,    0.88173E-10,
