,2012/12/31_Cdis,2013/12/31_Cdis,
   9000284,    0.50125E-10,    0.22876E-09,
   9000286,    0.29956E-09,    0.11485E-08,
   9000812,    0.18165E-09,    0.10963E-09,
   9000815,    0.75511E-09,    0.56320E-09,
   9000851,    0.15230E-09,    0.83715E-09,
   9000852,    0.50781E-10,    0.29255E-09,
   9000854,    0.62516E-10,    0.17298E-09,
   9000976,    0.23500E-10,    0.77758E-10,
   9001235,    0.55895E-11,    0.20732E-10,
   9500211,    0.75159E-11,    0.13576E-10,
   9500217,    0.12007E-10,    0.17223E-10,
   9500233,    0.64156E-10,    0.11136E-09,
   9500236,    0.77746E-11,    0.27680E-10,
   9500239,    0.39549E-09,    0.12586E-08,
   9500242,    0.19195E-09,    0.73930E-09,
   9500243,    0.56664E-09,    0.46724E-09,
   9500245,    0.43745E-10,    0.76771E-10,
   9500247,    0.17775E-09,    0.26791E-09,
   9500248,    0.58339E-10,    0.32396E-09,
   9500256,    0.16244E-10,    0.47231E-10,
   9500266,    0.86917E-09,    0.76052E-09,
   9500267,    0.93760E-12,    0.33933E-11,
   9500268,    0.57263E-10,    0.10440E-09,
   9500269,    0.12246E-10,    0.38798E-10,
   9500272,    0.57674E-11,    0.15227E-10,
   9500273,    0.10945E-10,    0.85230E-11,
   9500274,    0.43362E-11,    0.30408E-11,
   9500275,    0.25446E-12,    0.57809E-12,
   9500278,    0.12946E-09,    0.64270E-09,
   9500279,    0.17228E-10,    0.45463E-10,
   9500280,    0.24633E-10,    0.61586E-10,
   9500281,    0.16513E-09,    0.58257E-09,
   9500282,    0.53667E-10,    0.16518E-09,
   9500285,    0.39283E-10,    0.16166E-09,
   9500291,    0.48815E-10,    0.18745E-09,
   9500296,    0.17691E-10,    0.99479E-10,
   9500320,    0.28377E-10,    0.83250E-10,
   9500414,    0.96201E-11,    0.30908E-10,
   9500416,    0.21620E-08,    0.68341E-08,
   9500417,    0.94293E-10,    0.38803E-09,
   9500426,    0.12533E-11,    0.18191E-11,
   9500853,    0.79734E-11,    0.17421E-10,
   9502855,    0.23316E-09,    0.35532E-09,
   9502868,    0.20891E-10,    0.46314E-10,
   9502870,    0.25310E-10,    0.36121E-10,
   9502877,    0.34671E-10,    0.51653E-10,
   9502914,    0.51382E-10,    0.87898E-10,
   9502917,    0.43649E-10,    0.48259E-10,
   9502933,    0.36046E-10,    0.30764E-10,
   9502953,    0.44791E-10,    0.67927E-10,
   9502955,    0.92279E-11,    0.23507E-10,
   9502957,    0.11251E-09,    0.19376E-09,
   9502959,    0.25525E-10,    0.41540E-10,
   9502967,    0.22058E-10,    0.37387E-10,
   9502978,    0.43076E-10,    0.29267E-10,
   9503015,    0.28856E-10,    0.55243E-10,
   9503019,    0.21529E-10,    0.33658E-10,
   9503057,    0.27021E-10,    0.53687E-10,
   9503075,    0.12702E-09,    0.21462E-09,
   9503077,    0.13530E-10,    0.26849E-10,
   9503079,    0.37802E-10,    0.62572E-10,
   9503128,    0.19895E-09,    0.29914E-09,
   9503130,    0.39607E-10,    0.46098E-10,
   9503140,    0.42374E-10,    0.86209E-10,
   9503145,    0.14408E-10,    0.24247E-10,
   9503172,    0.10926E-10,    0.28331E-10,
   9503183,    0.17474E-09,    0.31955E-09,
   9503196,    0.15742E-10,    0.37753E-10,
   9503259,    0.14947E-10,    0.21443E-10,
   9503261,    0.59020E-10,    0.10305E-09,
   9503269,    0.26591E-10,    0.42908E-10,
   9503339,    0.12360E-09,    0.18181E-09,
   9503391,    0.31106E-09,    0.12736E-08,
   9503410,    0.17301E-09,    0.28941E-09,
   9503419,    0.87721E-09,    0.86184E-09,
   9503423,    0.23402E-09,    0.69860E-09,
   9503432,    0.24556E-09,    0.44805E-09,
   9503433,    0.95627E-09,    0.12322E-08,
   9503435,    0.28795E-09,    0.10280E-08,
   9503515,    0.56941E-09,    0.67229E-09,
   9503560,    0.33955E-10,    0.59846E-10,
   9503713,    0.29380E-09,    0.97158E-09,
   9503733,    0.18601E-09,    0.25238E-09,
   9503756,    0.45673E-10,    0.94306E-10,
   9503807,    0.30918E-10,    0.68522E-10,
   9503839,    0.13571E-10,    0.35776E-10,
   9503971,    0.48220E-10,    0.89511E-10,
   9504120,    0.18565E-11,    0.73536E-11,
   9504157,    0.65166E-10,    0.17161E-09,
   9504158,    0.21529E-10,    0.38944E-10,
   9504193,    0.29915E-10,    0.71800E-10,
   9504221,    0.21861E-10,    0.49848E-10,
   9504289,    0.16683E-10,    0.15331E-10,
   9504332,    0.11423E-10,    0.82215E-11,
   9504367,    0.45011E-10,    0.37480E-10,
   9504375,    0.25420E-10,    0.22615E-10,
   9504406,    0.35298E-10,    0.53788E-10,
   9504414,    0.12166E-10,    0.10532E-10,
   9504466,    0.16586E-10,    0.13223E-10,
   9504496,    0.30881E-10,    0.49446E-10,
   9504525,    0.21602E-10,    0.19306E-10,
   9504549,    0.68427E-11,    0.95363E-11,
   9504559,    0.24266E-10,    0.38774E-10,
   9504570,    0.12994E-10,    0.13658E-10,
   9504633,    0.35201E-10,    0.49337E-10,
   9504663,    0.29013E-10,    0.17953E-10,
   9504683,    0.13866E-10,    0.14985E-10,
   9504703,    0.17951E-10,    0.41935E-10,
   9507390,    0.22932E-09,    0.34567E-09,
   9508545,    0.61483E-09,    0.94609E-09,
   9508684,    0.76330E-09,    0.12150E-08,
   9516947,    0.60560E-09,    0.59442E-09,
   9516981,    0.53819E-10,    0.10619E-09,
   9517001,    0.11367E-09,    0.21234E-09,
   9517019,    0.55033E-10,    0.10786E-09,
   9517023,    0.13295E-09,    0.13831E-09,
   9517037,    0.89540E-10,    0.89215E-10,
   9517056,    0.10254E-08,    0.88970E-09,
   9517064,    0.13960E-09,    0.23362E-09,
   9517071,    0.36482E-10,    0.87942E-10,
   9517106,    0.25589E-10,    0.68282E-10,
   9517115,    0.17408E-09,    0.30414E-09,
   9517146,    0.47071E-09,    0.73945E-09,
   9517150,    0.37532E-10,    0.72729E-10,
   9517159,    0.10948E-09,    0.11100E-09,
   9517169,    0.88762E-10,    0.14199E-09,
   9517171,    0.64301E-10,    0.80761E-10,
   9517176,    0.82584E-10,    0.16755E-09,
   9517190,    0.18304E-09,    0.31087E-09,
   9517216,    0.27011E-09,    0.64804E-09,
   9517224,    0.59634E-10,    0.12764E-09,
   9517231,    0.79843E-10,    0.31052E-09,
   9517232,    0.84490E-10,    0.15236E-09,
   9517236,    0.28091E-10,    0.65186E-10,
   9517249,    0.93638E-10,    0.18560E-09,
   9517251,    0.15096E-09,    0.18929E-09,
   9517269,    0.47217E-10,    0.77397E-10,
   9517303,    0.19130E-09,    0.25097E-09,
   9517306,    0.10170E-09,    0.26872E-09,
   9517335,    0.11961E-09,    0.18104E-09,
   9517353,    0.68294E-10,    0.15166E-09,
   9517376,    0.47856E-10,    0.10236E-09,
   9517377,    0.83115E-10,    0.32886E-09,
   9517380,    0.30149E-10,    0.54427E-10,
   9517383,    0.43516E-10,    0.92831E-10,
   9517388,    0.15847E-09,    0.16302E-09,
   9517411,    0.37004E-10,    0.79249E-10,
   9517415,    0.10730E-09,    0.17983E-09,
   9517422,    0.26361E-08,    0.39952E-08,
   9517432,    0.30524E-10,    0.57867E-10,
   9517435,    0.11534E-09,    0.33194E-09,
   9517446,    0.57380E-10,    0.85928E-10,
   9517457,    0.20634E-09,    0.24701E-09,
   9517459,    0.39148E-09,    0.70507E-09,
   9517460,    0.70375E-09,    0.38621E-08,
   9517471,    0.77168E-09,    0.39002E-08,
   9517477,    0.14287E-09,    0.15677E-09,
   9517481,    0.23926E-09,    0.17148E-08,
   9517496,    0.10901E-09,    0.16234E-09,
   9517498,    0.46049E-08,    0.54108E-08,
   9517510,    0.19170E-08,    0.58872E-08,
   9517518,    0.16432E-09,    0.25718E-09,
   9517522,    0.58128E-08,    0.63636E-08,
   9517525,    0.83723E-10,    0.35000E-09,
   9517526,    0.47479E-10,    0.11206E-09,
   9517543,    0.26202E-09,    0.79046E-09,
   9517548,    0.11196E-09,    0.34285E-09,
   9517551,    0.16807E-08,    0.33771E-08,
   9517556,    0.19007E-09,    0.20593E-09,
   9517587,    0.27122E-09,    0.20092E-08,
   9517601,    0.30913E-08,    0.65508E-08,
   9517610,    0.12646E-09,    0.49706E-09,
   9517614,    0.22822E-09,    0.20020E-09,
   9517616,    0.61230E-10,    0.99190E-10,
   9517624,    0.21597E-09,    0.37448E-09,
   9517627,    0.92714E-08,    0.92868E-08,
   9517661,    0.28707E-08,    0.60927E-08,
   9517673,    0.48410E-10,    0.19087E-09,
   9517677,    0.19536E-08,    0.52525E-08,
   9517681,    0.37964E-10,    0.89668E-10,
   9517682,    0.24864E-08,    0.51759E-08,
   9517683,    0.72726E-10,    0.20737E-09,
   9517710,    0.19587E-08,    0.48428E-08,
   9517712,    0.23593E-10,    0.74621E-10,
   9517715,    0.24515E-09,    0.34188E-09,
   9517724,    0.18038E-09,    0.56060E-09,
   9517726,    0.44145E-09,    0.16229E-08,
   9517730,    0.12796E-09,    0.35803E-09,
   9517737,    0.32387E-09,    0.22805E-08,
   9517744,    0.73022E-10,    0.13667E-09,
   9517746,    0.27120E-09,    0.22108E-08,
   9517764,    0.48997E-10,    0.10438E-09,
   9517775,    0.31021E-09,    0.23890E-08,
   9517776,    0.12861E-08,    0.75084E-09,
   9517782,    0.68510E-10,    0.14207E-09,
   9517787,    0.46969E-10,    0.15242E-09,
   9517788,    0.53062E-10,    0.16353E-09,
   9517790,    0.23122E-08,    0.67896E-08,
   9517793,    0.71463E-09,    0.34785E-08,
   9517803,    0.21531E-09,    0.42477E-09,
   9517810,    0.28757E-10,    0.70622E-10,
   9517822,    0.28022E-08,    0.91255E-08,
   9517848,    0.17856E-09,    0.27689E-09,
   9517850,    0.47999E-09,    0.34735E-09,
   9517857,    0.12886E-09,    0.28166E-09,
   9517860,    0.10728E-07,    0.11856E-07,
   9517876,    0.67574E-09,    0.77559E-09,
   9517883,    0.40276E-10,    0.62917E-10,
   9517895,    0.96075E-09,    0.50350E-08,
   9517898,    0.12798E-08,    0.66363E-09,
   9517899,    0.29520E-09,    0.12471E-08,
   9517909,    0.42848E-09,    0.55057E-09,
   9517915,    0.21990E-08,    0.10400E-08,
   9517929,    0.16173E-09,    0.53998E-09,
   9517942,    0.15631E-10,    0.46817E-10,
   9517956,    0.28208E-10,    0.49944E-10,
   9517961,    0.46088E-10,    0.16901E-09,
   9517963,    0.89724E-10,    0.30171E-09,
   9517965,    0.38898E-09,    0.24558E-08,
   9517985,    0.12349E-10,    0.46264E-10,
   9518010,    0.66368E-10,    0.44952E-10,
   9518025,    0.11596E-09,    0.60931E-09,
   9518030,    0.10098E-09,    0.35154E-09,
   9518036,    0.45000E-11,    0.14742E-10,
   9518052,    0.37528E-09,    0.12030E-09,
   9518054,    0.22196E-08,    0.25844E-08,
   9518062,    0.76938E-09,    0.73293E-09,
   9518073,    0.71994E-09,    0.33280E-09,
   9518082,    0.65117E-10,    0.22358E-09,
   9518086,    0.20392E-10,    0.66349E-10,
   9518092,    0.80992E-10,    0.32708E-09,
   9518101,    0.16883E-09,    0.38117E-09,
   9518116,    0.75286E-11,    0.20534E-10,
   9518119,    0.75147E-10,    0.28503E-09,
   9518120,    0.49121E-10,    0.15338E-09,
   9518122,    0.53230E-10,    0.21917E-09,
   9518128,    0.12074E-09,    0.38448E-09,
   9518130,    0.20978E-09,    0.40965E-09,
   9518136,    0.11955E-09,    0.40880E-09,
   9518142,    0.17134E-10,    0.42334E-10,
   9518166,    0.22433E-10,    0.46859E-10,
   9518174,    0.18155E-10,    0.41004E-10,
   9518192,    0.51922E-10,    0.99811E-10,
   9518205,    0.11895E-08,    0.10107E-08,
   9518210,    0.37265E-10,    0.77133E-10,
   9518212,    0.94544E-11,    0.35293E-10,
   9518218,    0.48413E-10,    0.98997E-10,
   9518219,    0.10667E-09,    0.39189E-09,
   9518244,    0.25032E-09,    0.18866E-09,
   9518249,    0.44615E-10,    0.15633E-09,
   9518255,    0.23047E-11,    0.57844E-11,
   9518267,    0.80636E-09,    0.39813E-09,
   9518272,    0.55712E-11,    0.19667E-10,
   9518281,    0.17380E-08,    0.24665E-08,
   9518296,    0.21213E-09,    0.86913E-09,
   9518328,    0.94630E-10,    0.28075E-09,
   9518365,    0.19187E-09,    0.13972E-08,
   9518400,    0.12121E-10,    0.16750E-10,
   9518403,    0.35600E-11,    0.28934E-11,
   9518406,    0.57796E-11,    0.19374E-10,
   9518414,    0.71955E-12,    0.24057E-11,
   9518438,    0.81702E-11,    0.11541E-10,
   9518450,    0.12248E-10,    0.42958E-10,
   9518457,    0.45926E-10,    0.10236E-09,
   9518461,    0.18709E-09,    0.14568E-09,
   9518480,    0.18185E-09,    0.25002E-09,
   9518495,    0.16549E-09,    0.23658E-09,
   9518542,    0.34303E-11,    0.28755E-11,
   9518587,    0.23409E-09,    0.52426E-09,
   9518591,    0.11133E-10,    0.13231E-10,
   9518646,    0.27666E-10,    0.14090E-09,
   9518667,    0.59272E-10,    0.47786E-10,
   9518688,    0.42641E-10,    0.61416E-10,
   9518701,    0.17917E-09,    0.16980E-09,
   9518738,    0.95413E-10,    0.19432E-09,
   9518739,    0.90011E-10,    0.36446E-09,
   9518758,    0.98649E-10,    0.11364E-09,
   9518778,    0.98686E-11,    0.50198E-10,
