,2012/12/31_Cdis,2013/12/31_Cdis,
   9000284,    0.47688E-13,    0.28473E-12,
   9000286,    0.30659E-12,    0.17792E-11,
   9000812,    0.14534E-12,    0.16241E-12,
   9000815,    0.88188E-12,    0.67460E-12,
   9000851,    0.12976E-12,    0.78100E-12,
   9000852,    0.49355E-13,    0.27065E-12,
   9000854,    0.88891E-13,    0.30515E-12,
   9000976,    0.68911E-13,    0.99834E-13,
   9001235,    0.14820E-13,    0.53165E-13,
   9500211,    0.10025E-13,    0.16292E-13,
   9500217,    0.16148E-13,    0.22892E-13,
   9500233,    0.83371E-13,    0.18004E-12,
   9500236,    0.17010E-13,    0.24890E-13,
   9500239,    0.20239E-12,    0.19733E-11,
   9500242,    0.15459E-12,    0.12634E-11,
   9500243,    0.11786E-11,    0.80551E-12,
   9500245,    0.79669E-13,    0.15336E-12,
   9500247,    0.18424E-12,    0.43411E-12,
   9500248,    0.10465E-12,    0.77514E-12,
   9500256,    0.49622E-13,    0.60473E-13,
   9500266,    0.10173E-11,    0.95462E-12,
   9500267,    0.13841E-14,    0.12995E-13,
   9500268,    0.40176E-12,    0.91247E-12,
   9500269,    0.30575E-13,    0.43019E-13,
   9500272,    0.15435E-13,    0.68435E-13,
   9500273,    0.91431E-13,    0.64106E-13,
   9500274,    0.16533E-13,    0.49828E-14,
   9500275,    0.18181E-14,    0.61945E-14,
   9500278,    0.17810E-12,    0.58301E-12,
   9500279,    0.53122E-13,    0.58759E-13,
   9500280,    0.48509E-13,    0.86780E-13,
   9500281,    0.12815E-12,    0.45510E-12,
   9500282,    0.45439E-13,    0.15152E-12,
   9500285,    0.46256E-13,    0.15211E-12,
   9500291,    0.76013E-13,    0.26686E-12,
   9500296,    0.16293E-13,    0.86420E-13,
   9500320,    0.10965E-12,    0.42190E-12,
   9500414,    0.18977E-13,    0.41266E-13,
   9500416,    0.26446E-11,    0.14684E-10,
   9500417,    0.14953E-12,    0.37970E-12,
   9500426,    0.11869E-12,    0.19359E-12,
   9500853,    0.85060E-14,    0.21602E-13,
   9502855,    0.39739E-12,    0.64327E-12,
   9502868,    0.28415E-13,    0.68655E-13,
   9502870,    0.17196E-13,    0.27937E-13,
   9502877,    0.23510E-13,    0.45583E-13,
   9502914,    0.43320E-13,    0.76944E-13,
   9502917,    0.46261E-13,    0.48114E-13,
   9502933,    0.36442E-13,    0.40421E-13,
   9502953,    0.47634E-13,    0.90067E-13,
   9502955,    0.11114E-13,    0.32068E-13,
   9502957,    0.10807E-12,    0.23765E-12,
   9502959,    0.16771E-13,    0.34312E-13,
