CAS,Degredation rate in sediment,Degredation rate in soil,Degredation rate in water,Koc,Vapor pressure,Water solubility,log Kow,pka1,pka2,pkb1,pkb2
143-24-8,1.13259330065e-07,1.13259330065e-06,1.13259330065e-06,-9999,1.333,0.994241497211,-0.1900365,-9999,-9999,-9999,-9999
144-83-2,1.13259330065e-07,1.13259330065e-06,1.13259330065e-06,-9999,3.18631e-06,0.0101087087328,0.5,8.78,-9999,10.95,12.73
288-13-1,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,32.7918,1.31754821463,0.29296,-9999,-9999,11.5,-9999
330-54-1,3.50074292929e-08,1.13259330065e-07,3.50074292929e-07,-9999,0.000619845,0.000272453882454,2.74,13.76,-9999,15.63,-9999
637-92-3,1.13259330065e-07,3.50074292929e-07,3.50074292929e-07,-9999,17969.5065,0.0446271285966,1.8,-9999,-9999,-9999,-9999
791-28-6,3.50074292929e-09,1.13259330065e-08,1.13259330065e-07,-9999,3.75906e-05,1.86208713572e-05,3.27,-9999,-9999,-9999,-9999
1634-04-4,1.13259330065e-07,3.50074292929e-07,3.50074292929e-07,-9999,33541.6125,0.225,1.365,-9999,-9999,-9999,-9999
1912-24-9,1.13259330065e-07,1.13259330065e-07,1.13259330065e-07,-9999,0.0028141,0.000151356124994,2.645,-9999,-9999,12.3,-9999
3380-34-5,1.13259330065e-08,3.50074292929e-08,1.13259330065e-06,-9999,0.000619845,1.23026877223e-05,5.01175,8.8,-9999,-9999,-9999
4065-45-6,1.13259330065e-07,3.50074292929e-07,1.13259330065e-06,-9999,1.50311e-09,0.0658,0.88,0.88,8.69,-9999,-9999
13674-84-5,3.50074292929e-08,1.13259330065e-07,1.13259330065e-07,-9999,0.01247206,0.000158,2.61,-9999,-9999,-9999,-9999
13674-87-8,1.13259330065e-08,3.50074292929e-08,1.13259330065e-07,-9999,4.31619e-05,4.40834513007e-06,3.59005,-9999,-9999,-9999,-9999
15307-79-6,1.13259330065e-08,3.50074292929e-08,1.13259330065e-07,-9999,4.17229e-12,0.00383813226881,4.27,4.35,-9999,-9999,-9999
15307-86-5,1.13259330065e-07,1.13259330065e-07,1.13259330065e-06,-9999,7.27231e-06,5.52827958805e-05,4.2842,4.35,-9999,-9999,-9999
27503-81-7,3.50074292929e-08,3.50074292929e-08,3.50074292929e-07,-9999,2.50500487878e-07,0.00422894640904,0.54,-0.41,10.5,9.03,-9999
55589-62-3,1.13259330065e-06,3.50074292929e-06,1.13259330065e-05,-9999,5.82521e-09,2.98440369708,-0.63,8.22,-9999,-9999,-9999
66108-95-0,1.13259330065e-07,3.50074292929e-07,3.50074292929e-07,-9999,4.44000002706e-19,0.00013,-3.04,11.81,12.62,-9999,-9999
