CAS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Close
122-39-4,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
106-50-3,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
98-82-8,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
80-15-9,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
5598-13-0,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
142-90-5,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
86479-06-3,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
950-37-8,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
52-68-6,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
872-05-9,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
2921-88-2,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
2642-71-9,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
103-90-2,0.41,0.279,0.278,0.347,0.276,0.391,0.387,0.333,0.316,0.315,0.28,0.371,0.289,0.283,0.296,0.28,0.333,0.312,0.305,0.275,0.449,0.385,0.374,0.298,0.391,0.362,0.534,0.365,0.293,0.262,0.346,0.288,0.394,0.316,0.428,0.368,0.309,0.305,0.285,0.254,0.483,0.279,0,lf
95-51-2,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
101-54-2,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
111-88-6,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
2135-17-3,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
13121-70-5,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
1897-45-6,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
