,2012/12/31_Cdis,2013/12/31_Cdis,
   9000284,    0.39169E-06,    0.17214E-05,
   9000286,    0.27272E-05,    0.92862E-05,
   9000812,    0.13866E-05,    0.83211E-06,
   9000815,    0.60393E-05,    0.43999E-05,
   9000851,    0.12130E-05,    0.65559E-05,
   9000852,    0.40507E-06,    0.23052E-05,
   9000854,    0.46713E-06,    0.12709E-05,
   9000976,    0.17916E-06,    0.58050E-06,
   9001235,    0.54987E-07,    0.20042E-06,
   9500211,    0.56944E-07,    0.10348E-06,
   9500217,    0.95932E-07,    0.13856E-06,
   9500233,    0.48683E-06,    0.85252E-06,
   9500236,    0.59356E-07,    0.20902E-06,
   9500239,    0.29676E-05,    0.93511E-05,
   9500242,    0.14837E-05,    0.56426E-05,
   9500243,    0.41239E-05,    0.34021E-05,
   9500245,    0.33706E-06,    0.57975E-06,
   9500247,    0.14443E-05,    0.22007E-05,
   9500248,    0.46241E-06,    0.24365E-05,
   9500256,    0.13893E-06,    0.39624E-06,
   9500266,    0.73124E-05,    0.63492E-05,
   9500267,    0.72954E-08,    0.26229E-07,
   9500268,    0.56050E-06,    0.13246E-05,
   9500269,    0.95301E-07,    0.29566E-06,
   9500272,    0.57244E-07,    0.14977E-06,
   9500273,    0.92876E-07,    0.72117E-07,
   9500274,    0.34900E-07,    0.24351E-07,
   9500275,    0.19680E-08,    0.49240E-08,
   9500278,    0.11226E-05,    0.53077E-05,
   9500279,    0.13179E-06,    0.34123E-06,
   9500280,    0.19712E-06,    0.48153E-06,
   9500281,    0.12940E-05,    0.43871E-05,
   9500282,    0.48542E-06,    0.14163E-05,
   9500285,    0.30764E-06,    0.12302E-05,
   9500291,    0.38694E-06,    0.14225E-05,
   9500296,    0.14318E-06,    0.74988E-06,
   9500320,    0.22974E-06,    0.83201E-06,
   9500414,    0.72357E-07,    0.23051E-06,
   9500416,    0.18395E-04,    0.83192E-04,
   9500417,    0.76706E-06,    0.30470E-05,
   9500426,    0.31076E-07,    0.45832E-07,
   9500853,    0.58622E-07,    0.12635E-06,
   9502855,    0.19887E-05,    0.30345E-05,
   9502868,    0.15959E-06,    0.35756E-06,
   9502870,    0.21537E-06,    0.30230E-06,
   9502877,    0.27868E-06,    0.40893E-06,
   9502914,    0.48210E-06,    0.81003E-06,
   9502917,    0.33558E-06,    0.37415E-06,
   9502933,    0.30654E-06,    0.26285E-06,
   9502953,    0.39660E-06,    0.61268E-06,
   9502955,    0.72023E-07,    0.18762E-06,
   9502957,    0.84630E-06,    0.14676E-05,
   9502959,    0.22172E-06,    0.35312E-06,
   9502967,    0.17735E-06,    0.29684E-06,
   9502978,    0.34871E-06,    0.23883E-06,
   9503015,    0.23612E-06,    0.44356E-06,
   9503019,    0.16970E-06,    0.26634E-06,
   9503057,    0.24940E-06,    0.48334E-06,
   9503075,    0.11192E-05,    0.18361E-05,
   9503077,    0.10852E-06,    0.21340E-06,
   9503079,    0.32750E-06,    0.54842E-06,
   9503128,    0.18196E-05,    0.27388E-05,
   9503130,    0.35603E-06,    0.42224E-06,
   9503140,    0.39429E-06,    0.78257E-06,
   9503145,    0.11333E-06,    0.18631E-06,
   9503172,    0.83543E-07,    0.21975E-06,
   9503183,    0.16819E-05,    0.30291E-05,
   9503196,    0.12399E-06,    0.29857E-06,
   9503259,    0.11781E-06,    0.17032E-06,
   9503261,    0.46070E-06,    0.79714E-06,
   9503269,    0.23343E-06,    0.37072E-06,
   9503339,    0.10537E-05,    0.15402E-05,
   9503391,    0.26765E-05,    0.12132E-04,
   9503410,    0.13699E-05,    0.22627E-05,
   9503419,    0.79108E-05,    0.76262E-05,
   9503423,    0.18764E-05,    0.58323E-05,
   9503432,    0.19813E-05,    0.35592E-05,
   9503433,    0.96951E-05,    0.12080E-04,
   9503435,    0.22735E-05,    0.86514E-05,
   9503515,    0.50310E-05,    0.57783E-05,
   9503560,    0.27811E-06,    0.48246E-06,
   9503713,    0.25278E-05,    0.87497E-05,
   9503733,    0.15794E-05,    0.21552E-05,
   9503756,    0.34589E-06,    0.70562E-06,
   9503807,    0.24181E-06,    0.52955E-06,
   9503839,    0.13996E-06,    0.36529E-06,
   9503971,    0.51118E-06,    0.10707E-05,
   9504120,    0.16738E-07,    0.65348E-07,
   9504157,    0.48120E-06,    0.12572E-05,
   9504158,    0.17052E-06,    0.30951E-06,
   9504193,    0.23203E-06,    0.54700E-06,
   9504221,    0.16752E-06,    0.37721E-06,
   9504289,    0.12136E-06,    0.11179E-06,
   9504332,    0.85408E-07,    0.61849E-07,
   9504367,    0.35210E-06,    0.29546E-06,
   9504375,    0.18848E-06,    0.16818E-06,
   9504406,    0.28860E-06,    0.44406E-06,
   9504414,    0.93889E-07,    0.81627E-07,
   9504466,    0.13451E-06,    0.10839E-06,
   9504496,    0.26337E-06,    0.42776E-06,
   9504525,    0.18970E-06,    0.17079E-06,
   9504549,    0.49570E-07,    0.69262E-07,
   9504559,    0.21318E-06,    0.34718E-06,
   9504570,    0.95115E-07,    0.10039E-06,
   9504633,    0.28122E-06,    0.40169E-06,
   9504663,    0.21623E-06,    0.13566E-06,
   9504683,    0.10324E-06,    0.11201E-06,
   9504703,    0.14785E-06,    0.34791E-06,
   9507390,    0.19583E-05,    0.30103E-05,
   9508545,    0.53368E-05,    0.82596E-05,
   9508684,    0.71402E-05,    0.11180E-04,
   9516947,    0.46577E-05,    0.45989E-05,
   9516981,    0.41727E-06,    0.80917E-06,
   9517001,    0.89859E-06,    0.16663E-05,
   9517019,    0.43291E-06,    0.83592E-06,
   9517023,    0.10090E-05,    0.10612E-05,
   9517037,    0.70180E-06,    0.70719E-06,
   9517056,    0.87686E-05,    0.75973E-05,
   9517064,    0.12795E-05,    0.23684E-05,
   9517071,    0.32075E-06,    0.76052E-06,
   9517106,    0.20799E-06,    0.54984E-06,
   9517115,    0.14067E-05,    0.24412E-05,
   9517146,    0.36273E-05,    0.57783E-05,
   9517150,    0.36152E-06,    0.66977E-06,
   9517159,    0.84326E-06,    0.85960E-06,
   9517169,    0.75505E-06,    0.11851E-05,
   9517171,    0.51289E-06,    0.64688E-06,
   9517176,    0.67327E-06,    0.13316E-05,
   9517190,    0.16838E-05,    0.28224E-05,
   9517216,    0.21418E-05,    0.50705E-05,
   9517224,    0.47699E-06,    0.99423E-06,
   9517231,    0.64341E-06,    0.24178E-05,
   9517232,    0.67227E-06,    0.11911E-05,
   9517236,    0.26268E-06,    0.59643E-06,
   9517249,    0.80523E-06,    0.16420E-05,
   9517251,    0.11048E-05,    0.13849E-05,
   9517269,    0.38339E-06,    0.61256E-06,
   9517303,    0.14917E-05,    0.19480E-05,
   9517306,    0.83492E-06,    0.22088E-05,
   9517335,    0.10364E-05,    0.15961E-05,
   9517353,    0.54424E-06,    0.11998E-05,
   9517376,    0.37408E-06,    0.78667E-06,
   9517377,    0.66700E-06,    0.25405E-05,
