,2012/12/31_Cbulk,2013/12/31_Cbulk,
   9000284,    0.39185E-06,    0.17220E-05,
   9000286,    0.27299E-05,    0.92919E-05,
   9000812,    0.13870E-05,    0.83242E-06,
   9000815,    0.60431E-05,    0.44022E-05,
   9000851,    0.12137E-05,    0.65597E-05,
   9000852,    0.40529E-06,    0.23065E-05,
   9000854,    0.46726E-06,    0.12712E-05,
   9000976,    0.17923E-06,    0.58069E-06,
   9001235,    0.55059E-07,    0.20069E-06,
   9500211,    0.56964E-07,    0.10352E-06,
   9500217,    0.95990E-07,    0.13865E-06,
   9500233,    0.48700E-06,    0.85282E-06,
   9500236,    0.59379E-07,    0.20909E-06,
   9500239,    0.29683E-05,    0.93541E-05,
   9500242,    0.14842E-05,    0.56452E-05,
   9500243,    0.41247E-05,    0.34029E-05,
   9500245,    0.33720E-06,    0.57994E-06,
   9500247,    0.14454E-05,    0.22025E-05,
   9500248,    0.46265E-06,    0.24374E-05,
   9500256,    0.13905E-06,    0.39658E-06,
   9500266,    0.73183E-05,    0.63541E-05,
   9500267,    0.72984E-08,    0.26241E-07,
   9500268,    0.56104E-06,    0.13266E-05,
   9500269,    0.95349E-07,    0.29578E-06,
   9500272,    0.57318E-07,    0.14998E-06,
   9500273,    0.92938E-07,    0.72165E-07,
   9500274,    0.34916E-07,    0.24362E-07,
   9500275,    0.19687E-08,    0.49270E-08,
   9500278,    0.11236E-05,    0.53118E-05,
   9500279,    0.13184E-06,    0.34134E-06,
   9500280,    0.19724E-06,    0.48177E-06,
   9500281,    0.12946E-05,    0.43887E-05,
   9500282,    0.48594E-06,    0.14178E-05,
   9500285,    0.30779E-06,    0.12307E-05,
   9500291,    0.38712E-06,    0.14231E-05,
   9500296,    0.14326E-06,    0.75017E-06,
   9500320,    0.22986E-06,    0.83284E-06,
   9500414,    0.72382E-07,    0.23059E-06,
   9500416,    0.18412E-04,    0.83364E-04,
   9500417,    0.76755E-06,    0.30487E-05,
   9500426,    0.31182E-07,    0.45984E-07,
   9500853,    0.58634E-07,    0.12637E-06,
   9502855,    0.19904E-05,    0.30372E-05,
   9502868,    0.15964E-06,    0.35774E-06,
   9502870,    0.21555E-06,    0.30256E-06,
   9502877,    0.27885E-06,    0.40918E-06,
   9502914,    0.48270E-06,    0.81103E-06,
   9502917,    0.33571E-06,    0.37433E-06,
   9502933,    0.30681E-06,    0.26309E-06,
   9502953,    0.39703E-06,    0.61343E-06,
   9502955,    0.72057E-07,    0.18774E-06,
   9502957,    0.84656E-06,    0.14682E-05,
   9502959,    0.22192E-06,    0.35344E-06,
   9502967,    0.17746E-06,    0.29701E-06,
   9502978,    0.34893E-06,    0.23900E-06,
   9503015,    0.23627E-06,    0.44385E-06,
   9503019,    0.16979E-06,    0.26649E-06,
   9503057,    0.24968E-06,    0.48390E-06,
   9503075,    0.11203E-05,    0.18379E-05,
   9503077,    0.10859E-06,    0.21353E-06,
   9503079,    0.32781E-06,    0.54903E-06,
   9503128,    0.18218E-05,    0.27421E-05,
   9503130,    0.35644E-06,    0.42279E-06,
   9503140,    0.39475E-06,    0.78350E-06,
   9503145,    0.11339E-06,    0.18639E-06,
   9503172,    0.83574E-07,    0.21986E-06,
   9503183,    0.16840E-05,    0.30329E-05,
   9503196,    0.12406E-06,    0.29874E-06,
   9503259,    0.11787E-06,    0.17042E-06,
   9503261,    0.46089E-06,    0.79751E-06,
   9503269,    0.23366E-06,    0.37109E-06,
   9503339,    0.10546E-05,    0.15417E-05,
   9503391,    0.26790E-05,    0.12148E-04,
   9503410,    0.13707E-05,    0.22640E-05,
   9503419,    0.79191E-05,    0.76342E-05,
   9503423,    0.18775E-05,    0.58375E-05,
   9503432,    0.19826E-05,    0.35615E-05,
   9503433,    0.97100E-05,    0.12098E-04,
   9503435,    0.22746E-05,    0.86590E-05,
   9503515,    0.50360E-05,    0.57841E-05,
   9503560,    0.27828E-06,    0.48279E-06,
   9503713,    0.25301E-05,    0.87601E-05,
   9503733,    0.15809E-05,    0.21573E-05,
   9503756,    0.34601E-06,    0.70583E-06,
   9503807,    0.24193E-06,    0.52978E-06,
   9503839,    0.14017E-06,    0.36581E-06,
   9503971,    0.51185E-06,    0.10723E-05,
   9504120,    0.16755E-07,    0.65416E-07,
   9504157,    0.48132E-06,    0.12575E-05,
   9504158,    0.17061E-06,    0.30968E-06,
   9504193,    0.23214E-06,    0.54722E-06,
   9504221,    0.16759E-06,    0.37734E-06,
   9504289,    0.12139E-06,    0.11182E-06,
   9504332,    0.85436E-07,    0.61870E-07,
   9504367,    0.35229E-06,    0.29564E-06,
   9504375,    0.18854E-06,    0.16823E-06,
   9504406,    0.28879E-06,    0.44443E-06,
   9504414,    0.93935E-07,    0.81667E-07,
   9504466,    0.13460E-06,    0.10846E-06,
   9504496,    0.26361E-06,    0.42821E-06,
   9504525,    0.18989E-06,    0.17098E-06,
   9504549,    0.49579E-07,    0.69277E-07,
   9504559,    0.21341E-06,    0.34760E-06,
   9504570,    0.95138E-07,    0.10042E-06,
   9504633,    0.28141E-06,    0.40200E-06,
   9504663,    0.21629E-06,    0.13571E-06,
   9504683,    0.10327E-06,    0.11205E-06,
   9504703,    0.14796E-06,    0.34820E-06,
   9507390,    0.19602E-05,    0.30136E-05,
   9508545,    0.53421E-05,    0.82681E-05,
   9508684,    0.71493E-05,    0.11194E-04,
   9516947,    0.46595E-05,    0.46012E-05,
   9516981,    0.41744E-06,    0.80949E-06,
   9517001,    0.89905E-06,    0.16672E-05,
   9517019,    0.43312E-06,    0.83633E-06,
   9517023,    0.10093E-05,    0.10617E-05,
   9517037,    0.70215E-06,    0.70761E-06,
   9517056,    0.87766E-05,    0.76047E-05,
   9517064,    0.12809E-05,    0.23723E-05,
   9517071,    0.32105E-06,    0.76121E-06,
   9517106,    0.20811E-06,    0.55021E-06,
   9517115,    0.14076E-05,    0.24428E-05,
   9517146,    0.36288E-05,    0.57815E-05,
   9517150,    0.36199E-06,    0.67059E-06,
   9517159,    0.84360E-06,    0.86002E-06,
   9517169,    0.75568E-06,    0.11861E-05,
   9517171,    0.51316E-06,    0.64729E-06,
   9517176,    0.67373E-06,    0.13324E-05,
   9517190,    0.16858E-05,    0.28255E-05,
   9517216,    0.21429E-05,    0.50733E-05,
   9517224,    0.47726E-06,    0.99475E-06,
   9517231,    0.64379E-06,    0.24193E-05,
   9517232,    0.67262E-06,    0.11918E-05,
   9517236,    0.26298E-06,    0.59714E-06,
   9517249,    0.80585E-06,    0.16438E-05,
   9517251,    0.11049E-05,    0.13852E-05,
   9517269,    0.38363E-06,    0.61292E-06,
   9517303,    0.14924E-05,    0.19489E-05,
   9517306,    0.83551E-06,    0.22107E-05,
   9517335,    0.10374E-05,    0.15980E-05,
   9517353,    0.54455E-06,    0.12005E-05,
   9517376,    0.37426E-06,    0.78701E-06,
   9517377,    0.66739E-06,    0.25419E-05,
   9517380,    0.23815E-06,    0.42347E-06,
   9517383,    0.35309E-06,    0.74452E-06,
   9517388,    0.12068E-05,    0.12560E-05,
   9517411,    0.33968E-06,    0.71439E-06,
   9517415,    0.82864E-06,    0.14128E-05,
   9517422,    0.21830E-04,    0.37283E-04,
   9517432,    0.25048E-06,    0.47431E-06,
   9517435,    0.11793E-05,    0.27938E-05,
   9517446,    0.50934E-06,    0.76756E-06,
   9517457,    0.17153E-05,    0.20795E-05,
   9517459,    0.34624E-05,    0.80427E-05,
   9517460,    0.59909E-05,    0.33446E-04,
   9517471,    0.58572E-05,    0.32109E-04,
   9517477,    0.12814E-05,    0.14310E-05,
   9517481,    0.20795E-05,    0.16578E-04,
   9517496,    0.89137E-06,    0.13008E-05,
   9517498,    0.44504E-04,    0.58742E-04,
   9517510,    0.17381E-04,    0.84050E-04,
   9517518,    0.15528E-05,    0.23643E-05,
   9517522,    0.68687E-04,    0.80457E-04,
   9517525,    0.67679E-06,    0.26630E-05,
   9517526,    0.38855E-06,    0.90395E-06,
   9517543,    0.20385E-05,    0.60504E-05,
   9517548,    0.95564E-06,    0.28145E-05,
   9517551,    0.14768E-04,    0.35476E-04,
   9517556,    0.16278E-05,    0.17824E-05,
   9517587,    0.24150E-05,    0.21292E-04,
   9517601,    0.27326E-04,    0.60742E-04,
   9517610,    0.10242E-05,    0.39615E-05,
   9517614,    0.20346E-05,    0.18050E-05,
   9517616,    0.49796E-06,    0.79353E-06,
   9517624,    0.17341E-05,    0.31535E-05,
   9517627,    0.12073E-03,    0.12969E-03,
   9517661,    0.29203E-04,    0.86225E-04,
   9517673,    0.41928E-06,    0.16237E-05,
   9517677,    0.18510E-04,    0.75848E-04,
   9517681,    0.33257E-06,    0.77865E-06,
   9517682,    0.21490E-04,    0.51438E-04,
   9517683,    0.57115E-06,    0.16494E-05,
   9517710,    0.20040E-04,    0.73428E-04,
   9517712,    0.21725E-06,    0.64916E-06,
   9517715,    0.19591E-05,    0.29141E-05,
   9517724,    0.16722E-05,    0.50092E-05,
   9517726,    0.35366E-05,    0.12547E-04,
   9517730,    0.10149E-05,    0.28507E-05,
   9517737,    0.28436E-05,    0.21415E-04,
   9517744,    0.61848E-06,    0.11634E-05,
   9517746,    0.22098E-05,    0.38499E-04,
   9517764,    0.39500E-06,    0.82233E-06,
   9517775,    0.24745E-05,    0.35236E-04,
   9517776,    0.11929E-04,    0.68961E-05,
   9517782,    0.55538E-06,    0.11273E-05,
   9517787,    0.41472E-06,    0.12701E-05,
   9517788,    0.42213E-06,    0.12496E-05,
   9517790,    0.25462E-04,    0.11101E-03,
   9517793,    0.70361E-05,    0.69068E-04,
   9517803,    0.16721E-05,    0.33102E-05,
   9517810,    0.23389E-06,    0.56576E-06,
   9517822,    0.21757E-04,    0.91571E-04,
   9517848,    0.15717E-05,    0.24513E-05,
   9517850,    0.40434E-05,    0.29342E-05,
   9517857,    0.10711E-05,    0.23418E-05,
   9517860,    0.90381E-04,    0.10229E-03,
   9517876,    0.52645E-05,    0.61841E-05,
   9517883,    0.35975E-06,    0.55055E-06,
   9517895,    0.74719E-05,    0.59095E-04,
   9517898,    0.13771E-04,    0.73141E-05,
   9517899,    0.25124E-05,    0.10117E-04,
   9517909,    0.32727E-05,    0.43987E-05,
   9517915,    0.25342E-04,    0.11561E-04,
   9517929,    0.12625E-05,    0.41373E-05,
   9517942,    0.13265E-06,    0.38943E-06,
   9517956,    0.24915E-06,    0.44058E-06,
   9517961,    0.36477E-06,    0.13088E-05,
   9517963,    0.69754E-06,    0.23193E-05,
   9517965,    0.29513E-05,    0.23669E-04,
   9517985,    0.10445E-06,    0.38457E-06,
   9518010,    0.50468E-06,    0.34502E-06,
   9518025,    0.99366E-06,    0.50264E-05,
   9518030,    0.82907E-06,    0.28664E-05,
   9518036,    0.35573E-07,    0.11536E-06,
   9518052,    0.29159E-05,    0.95091E-06,
   9518054,    0.19821E-04,    0.27237E-04,
   9518062,    0.70488E-05,    0.68455E-05,
   9518073,    0.56857E-05,    0.26168E-05,
   9518082,    0.51264E-06,    0.17037E-05,
   9518086,    0.15823E-06,    0.50137E-06,
   9518092,    0.62402E-06,    0.24964E-05,
   9518101,    0.12591E-05,    0.28157E-05,
   9518116,    0.56822E-07,    0.15320E-06,
   9518119,    0.67598E-06,    0.24931E-05,
   9518120,    0.46233E-06,    0.14095E-05,
   9518122,    0.40674E-06,    0.16565E-05,
   9518128,    0.11926E-05,    0.37424E-05,
   9518130,    0.15658E-05,    0.31209E-05,
   9518136,    0.10382E-05,    0.33913E-05,
   9518142,    0.12910E-06,    0.31368E-06,
   9518166,    0.18596E-06,    0.38947E-06,
   9518174,    0.15134E-06,    0.34296E-06,
   9518192,    0.39499E-06,    0.75559E-06,
   9518205,    0.10311E-04,    0.87045E-05,
   9518210,    0.29083E-06,    0.60021E-06,
   9518212,    0.79009E-07,    0.29280E-06,
   9518218,    0.39869E-06,    0.80506E-06,
   9518219,    0.94655E-06,    0.32942E-05,
   9518244,    0.21256E-05,    0.15943E-05,
   9518249,    0.39320E-06,    0.13295E-05,
   9518255,    0.17895E-07,    0.44313E-07,
   9518267,    0.63982E-05,    0.31880E-05,
   9518272,    0.46127E-07,    0.16118E-06,
   9518281,    0.14542E-04,    0.21014E-04,
   9518296,    0.16841E-05,    0.67984E-05,
   9518328,    0.81846E-06,    0.23587E-05,
   9518365,    0.14546E-05,    0.14501E-04,
   9518400,    0.12628E-06,    0.19226E-06,
   9518403,    0.36823E-07,    0.29845E-07,
   9518406,    0.50772E-07,    0.16796E-06,
   9518414,    0.62293E-08,    0.20530E-07,
   9518438,    0.85666E-07,    0.13252E-06,
   9518450,    0.10445E-06,    0.36197E-06,
   9518457,    0.42335E-06,    0.95139E-06,
   9518461,    0.17567E-05,    0.13643E-05,
   9518480,    0.17557E-05,    0.24705E-05,
   9518495,    0.17159E-05,    0.25109E-05,
   9518542,    0.30678E-07,    0.25679E-07,
   9518587,    0.18944E-05,    0.46966E-05,
   9518591,    0.10939E-06,    0.12936E-06,
   9518646,    0.22293E-06,    0.10949E-05,
   9518667,    0.64740E-06,    0.52014E-06,
   9518688,    0.43397E-06,    0.64375E-06,
   9518701,    0.17339E-05,    0.16485E-05,
   9518738,    0.79632E-06,    0.17572E-05,
   9518739,    0.67900E-06,    0.26916E-05,
   9518758,    0.86145E-06,    0.10080E-05,
   9518778,    0.74537E-07,    0.37620E-06,
   9518824,    0.25137E-07,    0.44188E-07,
   9590917,    0.11300E-06,    0.46630E-07,
   9590926,    0.21928E-06,    0.20239E-05,
   9591036,    0.33161E-05,    0.15419E-05,
   9591060,    0.98035E-07,    0.62018E-07,
   9591063,    0.32302E-06,    0.24052E-05,
   9591075,    0.50072E-07,    0.30914E-06,
   9591095,    0.64714E-06,    0.21589E-05,
   9591125,    0.17478E-06,    0.14883E-05,
   9591204,    0.45796E-06,    0.34585E-05,
   9591230,    0.70641E-06,    0.61656E-05,
   9591754,    0.10689E-05,    0.10108E-05,
   9591993,    0.17677E-06,    0.96108E-07,
   9592117,    0.32137E-06,    0.32018E-06,
   9592146,    0.23716E-06,    0.92328E-07,
   9592149,    0.24251E-05,    0.19538E-05,
   9592778,    0.10019E-05,    0.26020E-05,
   9592782,    0.24036E-06,    0.10525E-05,
   9592785,    0.41637E-06,    0.13465E-05,
   9592789,    0.21095E-06,    0.15426E-05,
   9592805,    0.50557E-06,    0.27214E-05,
   9592810,    0.13818E-06,    0.51352E-06,
   9592815,    0.35763E-06,    0.15013E-05,
   9592819,    0.48118E-06,    0.16923E-05,
   9592867,    0.70694E-06,    0.24911E-05,
   9592881,    0.16797E-06,    0.87049E-06,
   9592882,    0.25295E-06,    0.10065E-05,
   9592889,    0.75137E-06,    0.35146E-05,
   9592894,    0.74368E-06,    0.33219E-05,
   9592907,    0.25147E-06,    0.82370E-06,
   9592911,    0.11854E-06,    0.59991E-06,
   9592923,    0.34916E-06,    0.14590E-05,
   9592930,    0.25857E-06,    0.59891E-06,
   9592953,    0.88033E-06,    0.46749E-05,
   9592959,    0.15547E-06,    0.60183E-06,
   9592981,    0.24403E-06,    0.96887E-06,
   9593006,    0.41675E-06,    0.19800E-05,
   9593007,    0.99603E-07,    0.44344E-06,
   9593010,    0.12830E-06,    0.48277E-06,
   9593032,    0.60807E-06,    0.21160E-05,
   9593044,    0.39807E-06,    0.21441E-05,
   9593048,    0.27215E-06,    0.12484E-05,
   9593056,    0.37316E-06,    0.26314E-05,
   9593062,    0.17639E-06,    0.39821E-06,
   9593065,    0.88744E-06,    0.44073E-05,
   9593068,    0.75577E-06,    0.35225E-05,
   9593073,    0.69004E-06,    0.36804E-05,
   9593082,    0.40628E-06,    0.17182E-05,
   9593086,    0.22300E-06,    0.84253E-06,
   9593103,    0.29509E-06,    0.33672E-05,
   9593120,    0.38186E-06,    0.17222E-05,
   9593135,    0.21692E-06,    0.11136E-05,
   9593141,    0.26674E-06,    0.16399E-05,
   9593152,    0.22223E-06,    0.11038E-05,
   9593158,    0.26807E-06,    0.99649E-06,
   9593164,    0.13366E-06,    0.48763E-06,
   9593191,    0.78923E-06,    0.27518E-05,
   9593199,    0.18081E-06,    0.74796E-06,
   9593210,    0.23001E-06,    0.11250E-05,
   9593218,    0.18545E-06,    0.73553E-06,
   9593227,    0.15537E-06,    0.69758E-06,
   9593229,    0.39801E-06,    0.19229E-05,
   9593239,    0.19716E-06,    0.10337E-05,
   9593248,    0.11332E-05,    0.41837E-05,
   9593249,    0.14679E-06,    0.59951E-06,
   9705969,    0.87343E-07,    0.18311E-06,
   9518318,    0.67029E-06,    0.21891E-05,
   9517173,    0.17935E-05,    0.26030E-05,
   9000979,    0.41274E-07,    0.14851E-06,
   9592035,    0.13021E-05,    0.12091E-05,
   9518458,    0.16157E-06,    0.55296E-07,
   9503911,    0.24131E-06,    0.66275E-06,
   9592791,    0.12560E-06,    0.48642E-06,
   9517923,    0.12309E-05,    0.37280E-05,
   9518425,    0.72177E-06,    0.10941E-05,
   9518550,    0.45286E-07,    0.12250E-06,
   9591822,    0.12063E-05,    0.11272E-05,
   9500295,    0.33819E-06,    0.12639E-05,
   9500603,    0.20955E-06,    0.23082E-06,
   9517926,    0.69321E-06,    0.25506E-05,
   9500238,    0.15736E-05,    0.22559E-05,
   9503136,    0.66631E-07,    0.12623E-06,
   9000809,    0.13361E-05,    0.75672E-06,
   9593089,    0.35409E-06,    0.84125E-06,
   9500499,    0.41914E-06,    0.60229E-06,
   9500287,    0.61751E-06,    0.17061E-05,
   9592998,    0.47912E-06,    0.16913E-05,
   9517971,    0.22948E-04,    0.39075E-04,
   9500409,    0.87131E-06,    0.26251E-05,
   9500262,    0.72892E-05,    0.72791E-05,
   9517004,    0.16064E-05,    0.22750E-05,
   9517689,    0.26380E-05,    0.47942E-05,
   9000813,    0.60470E-05,    0.31073E-05,
   9500258,    0.14786E-06,    0.51740E-06,
   9517080,    0.51933E-06,    0.87863E-06,
   9517951,    0.51599E-06,    0.13850E-05,
   9518112,    0.20144E-06,    0.59708E-06,
   9500283,    0.66478E-06,    0.24404E-05,
   9592903,    0.39418E-06,    0.20649E-05,
   9000850,    0.45405E-06,    0.11779E-05,
   9500276,    0.65010E-06,    0.23869E-05,
   9592840,    0.45703E-06,    0.22987E-05,
   9000980,    0.38328E-07,    0.12831E-06,
   9500277,    0.98194E-07,    0.29437E-06,
   9503678,    0.23492E-05,    0.38964E-05,
   9001234,    0.92556E-07,    0.37084E-06,
   9518292,    0.10466E-06,    0.31605E-06,
   9517825,    0.11825E-05,    0.30185E-05,
   9593225,    0.71678E-06,    0.26643E-05,
   9504555,    0.20155E-06,    0.18876E-06,
   9500410,    0.18927E-06,    0.17963E-06,
   9504039,    0.24198E-06,    0.53008E-06,
   9500284,    0.19988E-04,    0.88526E-04,
   9518452,    0.17978E-06,    0.17214E-06,
   9518124,    0.76706E-06,    0.68883E-06,
   9500255,    0.10140E-06,    0.30957E-06,
   9500213,    0.10851E-06,    0.15192E-06,
   9517479,    0.75497E-06,    0.10884E-05,
   9517816,    0.46417E-06,    0.76362E-06,
   9592784,    0.35188E-06,    0.96872E-06,
   9517785,    0.46352E-06,    0.66253E-06,
   9500294,    0.45791E-06,    0.16438E-05,
   9517493,    0.10092E-05,    0.35989E-05,
   9000978,    0.11562E-06,    0.34558E-06,
   9518072,    0.74451E-06,    0.26860E-05,
   9517402,    0.65523E-06,    0.11556E-05,
   9518590,    0.57856E-07,    0.15918E-06,
   9592868,    0.35695E-06,    0.83775E-06,
   9517855,    0.63418E-06,    0.16821E-05,
   9517777,    0.58122E-06,    0.20150E-05,
   9500264,    0.60518E-05,    0.36135E-05,
   9517049,    0.51855E-06,    0.92907E-06,
   9504560,    0.36058E-06,    0.52488E-06,
   9518570,    0.28234E-06,    0.85872E-06,
   9503062,    0.22758E-06,    0.42965E-06,
   9593223,    0.12595E-06,    0.44025E-06,
   9593052,    0.77821E-06,    0.15525E-05,
   9517948,    0.50721E-06,    0.13831E-05,
   9517534,    0.20097E-04,    0.60293E-04,
   9518497,    0.11836E-06,    0.24728E-06,
   9517447,    0.20311E-04,    0.54178E-04,
   9503380,    0.11598E-04,    0.13241E-04,
   9517881,    0.17317E-04,    0.66882E-04,
   9500254,    0.38161E-06,    0.73589E-06,
   9503244,    0.79583E-07,    0.20446E-06,
   9518640,    0.19358E-06,    0.46344E-06,
   9517606,    0.22234E-06,    0.64571E-06,
   9517729,    0.64363E-06,    0.16170E-05,
   9591828,    0.20402E-05,    0.18981E-05,
   9517705,    0.18562E-05,    0.31650E-05,
   9517697,    0.21494E-04,    0.41674E-04,
   9518577,    0.17975E-06,    0.73942E-07,
   9518332,    0.52288E-06,    0.17957E-05,
   9503061,    0.27124E-06,    0.45102E-06,
   9518179,    0.41570E-06,    0.97899E-06,
   9504337,    0.98112E-07,    0.91945E-07,
   9517812,    0.17563E-04,    0.51325E-04,
   9518105,    0.47300E-06,    0.14058E-05,
   9518732,    0.21717E-06,    0.29209E-06,
   9503800,    0.19554E-06,    0.50443E-06,
