MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
67584-57-0,511.2500,288.1600,73.47000,5.3062156E-02,2.2599999E-05,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.595000,-2.585205,-999,
75198-93-5,490.3900,594.8450,277.4200,1.2150000E-06,8.2700001E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,1.465000,-14.05149,-999,
119083-00-0,194.1130,267.4600,90.08000,0.4306300,13.94033,-999,-999,-999,3.4300001E-08,1.5400001E-07,3.0900000E-07,1.295000,-3.917520,-999,
375-95-1,464.0780,218.0000,45.00000,10.78955,1.3484800E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.480000,1.290000,-999,
76201-56-4,650.4700,568.9650,236.3050,3.9999999E-17,0.3580000,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,-1.830000,-18.00186,170740.0,
559-11-5,404.1270,140.9800,-18.12000,4570.500,2.2248000E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.200000,1.900106,-999,
335-76-2,514.0860,218.0000,51.60000,3.873157,1.5600001E-05,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,6.150000,2.010000,-999,
2927-83-5,232.0290,45.99000,-74.76500,29197.52,14.50681,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,2.255000,1.335035,-999,
375-01-9,200.0560,92.30000,-52.14500,4411.485,15.59063,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,1.940000,-6.4777315E-02,-999,
39492-89-2,312.0440,209.6000,35.35000,22.10000,6.826650,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,3.940000,-6.207000,-999,
1623-05-8,266.0380,29.47000,-97.80000,108124.1,0.2322563,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,3.450000,2.619979,-999,
862374-87-6,663.1020,286.5400,82.11000,0.1510000,1.2750000E-08,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,8.160000,4.173000,-999,
68140-21-6,444.2000,118.4700,-26.47000,2226.477,6.2665498E-07,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.570000,4.616000,-999,
56734-81-7,362.0900,128.9400,-33.71000,1400.000,1.3190360E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.380000,2.065000,-999,
65104-63-4,1074.097,321.5200,91.05000,1.4798742E-02,9.9999997E-10,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,14.28000,4.879658,-999,
675868-33-4,530.1290,216.7200,35.31500,2.091156,3.7300000E-05,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.855000,-1.755225,-999,
42532-60-5,195.0400,63.97000,-21.83750,22394.40,0.1949845,-999,-999,-999,3.4999999E-07,3.4999999E-07,3.4999999E-07,3.100000,-1.676299,37732.00,
375-72-4,302.0900,100.0000,-19.28000,78527.61,8.3878979E-02,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.695000,1.932785,-999,
171978-95-3,613.0940,260.2900,89.92000,0.5730000,1.0600000E-07,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.490000,3.452000,-999,
13846-22-5,344.0560,96.14000,-73.61501,8545.940,0.7973411,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,4.025000,0.6288940,-999,
27603-25-4,232.2000,295.2400,111.3650,1.010701,340.1378,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,-0.2530000,-3.414689,-999,
372-31-6,184.1140,138.0000,-17.59500,838.3118,87.17279,-999,-999,-999,3.4300001E-08,1.5400001E-07,3.0900000E-07,0.7500000,-2.749049,-999,
72372-80-6,278.1180,85.28000,-65.33500,13045.56,1.2099000E-02,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.360000,1.975569,-999,
22052-86-4,214.0830,40.72500,-70.91000,72727.14,0.3465010,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,3.095000,1.845662,-999,
376-34-1,363.1030,188.0000,84.30000,23.19803,291.0000,-999,-999,-999,-999,-999,-999,4.230000,-4.638260,-999,
133881-46-6,454.0580,105.5300,-51.72500,6279.466,1.2600000E-05,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.605000,3.330083,-999,
19190-61-5,306.0800,117.9900,-56.47000,2279.430,0.2010000,-999,-999,-999,3.5000000E-06,3.5000000E-06,3.5000000E-06,2.650000,-0.8859500,71292.00,
68555-72-6,421.2300,267.9300,76.65500,8.1726387E-03,8.4205782E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.045000,-4.217550,-999,
67584-55-8,411.2400,300.5400,97.01500,1.3303000E-03,1.7378008E-02,-999,-999,-999,3.5000000E-06,3.5000000E-06,3.5000000E-06,3.880000,-3.253532,98495.00,
101463-69-8,488.7700,497.0300,242.9800,3.7299999E-10,3.9800002E-06,1.8196852E-08,-999,1.3433781E-07,1.9300000E-08,1.9300000E-08,1.9300000E-08,5.925000,-9.543700,132020.0,
38850-58-7,650.4700,453.0350,221.3550,3.8799999E-17,2.9332636E-02,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,1.965000,-11.44504,-999,
34362-49-7,818.2170,283.6250,53.34000,7.8260012E-02,9.9999997E-10,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,10.71000,2.933617,-999,
70887-94-4,558.1140,263.4700,61.88000,0.8010000,7.4550002E-07,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.640000,2.930000,-999,
86404-63-9,223.1830,317.1100,106.0000,2.9115129E-02,19.66548,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,0.8830000,-5.035477,-999,
677-21-4,96.05200,-17.65000,-131.5450,565143.5,20.34315,-999,-999,-999,3.4300001E-08,1.5400001E-07,3.0900000E-07,1.855000,2.598843,-999,
39239-77-5,664.1530,251.3200,59.31500,0.7399905,1.9000000E-08,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,8.345000,0.3550546,-999,
374-27-6,146.0600,3.940000,-116.0100,366156.9,1.316582,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,2.815000,3.010560,-999,
862574-88-7,242.1800,331.0900,124.6950,3.2658500E-03,3.078991,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,2.400000,-8.189754,27739.00,
2806-16-8,638.2300,383.5800,142.9800,0.3140003,1.0063800E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.615000,-4.455208,-999,
475-26-3,321.5700,330.4250,58.75000,2.5689874E-02,2.5757999E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.630000,-1.766221,-999,
874288-98-9,302.9300,90.40000,-40.25000,7519.361,5.4642987E-02,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.350000,-1.077000,-999,
431-47-0,128.0500,40.22500,-80.28500,77995.53,224.5998,-999,-999,-999,3.4300001E-08,1.5400001E-07,3.0900000E-07,0.6690000,-0.4744086,-999,
