CAS,50centile,95centile,99centile,
138495-42-8,1.21385e-08,1.4080319999999993e-07,3.3765953199999943e-07,
3871-50-9,6.00095e-09,1.6568159999999997e-07,7.275787639999993e-07,
101463-69-8,1.96495e-24,4.214629999999993e-10,1.4273353599999957e-08,
65104-67-8,1.1220500000000002e-16,3.1033419999999946e-15,1.1881339599999994e-14,
76674-21-0,3.17745e-07,1.3570739999999996e-06,1.207007591999998e-05,
320-51-4,2.3890499999999998e-08,3.4382879999999986e-07,8.768189519999998e-07,
121219-07-6,2.3328e-08,3.062117999999998e-07,1.1285679199999976e-06,
42874-03-3,1.0312e-09,5.550613999999998e-08,9.773740119999993e-07,
1696259-78-5,3.6229000000000005e-11,8.296745999999995e-10,3.3228957599999974e-09,
2806-24-8,3.0107e-09,9.283579999999995e-08,4.543594839999998e-07,
993-95-3,1.2478000000000001e-08,1.423717999999999e-07,3.417200199999994e-07,
338-83-0,2.36095e-11,7.367467999999998e-10,3.30917004e-09,
423-39-2,3.1048e-10,3.657884e-09,8.609586319999984e-09,
356-02-5,2.2213e-08,5.136498000000001e-07,1.6245459599999987e-06,
1478-61-1,1.18645e-08,3.408989999999999e-07,1.4858834799999983e-06,
76-05-1,2.6124e-07,8.135161999999997e-06,2.9108116799999966e-05,
75198-93-5,1.5083499999999997e-08,2.817317999999998e-07,1.1684331199999991e-06,
67584-55-8,7.49035e-10,2.4298299999999993e-08,7.929418279999987e-08,
76-13-1,1.6379499999999998e-08,1.897135999999999e-07,4.5593888799999913e-07,
69045-84-7,5.277e-08,7.165753999999998e-07,2.673828639999998e-06,
68140-18-1,1.4298e-08,1.6297879999999993e-07,3.906751599999992e-07,
92612-52-7,1.21385e-08,1.4753779999999997e-07,3.5065325599999983e-07,
108427-53-8,1.4037e-08,3.199519999999999e-07,1.1032504e-06,
86508-42-1,1.0963999999999999e-11,3.6220139999999967e-10,2.128777559999997e-09,
54950-05-9,1.9834e-12,7.464423999999993e-11,3.5794744799999965e-10,
925689-10-7,2.7420999999999998e-08,7.489995999999999e-07,3.0923629999999956e-06,
68155-54-4,6.91905e-11,2.154025999999999e-09,9.662474479999998e-09,
76201-56-4,1.4616e-09,4.283793999999997e-08,1.7414751199999977e-07,
21615-47-4,1.8332500000000002e-08,3.430277999999997e-07,1.423124639999999e-06,
231285-86-2,2.1853499999999998e-08,3.7329599999999956e-07,1.0436845999999995e-06,
45187-15-3,2.3332e-08,4.523201999999998e-07,1.7842640799999987e-06,
68954-01-8,4.191e-10,1.3656919999999995e-08,7.821868639999991e-08,
68188-12-5,6.90665e-09,8.124425999999995e-08,1.9362909999999975e-07,
50598-28-2,5.49205e-09,1.5981839999999998e-07,6.927437399999995e-07,
15290-77-4,1.2431e-09,1.4569619999999992e-08,3.478870599999994e-08,
3825-26-1,1.00725e-10,2.492461999999999e-09,1.0634039279999989e-08,
1228350-17-1,0.0,0.0,0.0,
130336-16-2,1.8132e-08,2.449019999999998e-07,5.909528279999999e-07,
335-24-0,8.8273e-09,2.2015099999999994e-07,6.782590919999991e-07,
52299-25-9,1.4501e-11,4.658573999999999e-10,2.099250199999999e-09,
67939-97-3,8.18935e-12,3.034165999999997e-10,1.4479208399999989e-09,
2144-54-9,1.4176500000000001e-12,4.769159999999996e-11,2.2682688399999978e-10,
375-92-8,8.27135e-09,8.070839999999998e-08,2.079121159999996e-07,
68555-76-0,4.2899e-09,1.252718e-07,5.453685439999997e-07,
22052-86-4,1.4399000000000002e-08,1.6616439999999992e-07,3.992686759999993e-07,
113100-53-1,2.8130500000000002e-08,6.829287999999997e-07,2.698290679999997e-06,
57678-03-2,2.0237499999999998e-09,6.461231999999999e-08,3.319191599999999e-07,
2043-53-0,2.2662499999999998e-11,7.876437999999991e-10,4.522458359999993e-09,
354-58-5,1.8678999999999998e-08,2.267937999999999e-07,8.173259839999998e-07,
355-04-4,2.6296999999999997e-10,3.352431999999999e-09,1.3261877199999999e-08,
42532-60-5,4.36035e-11,5.861745999999999e-10,1.998997479999998e-09,
375-84-8,6.6535e-09,7.837744e-08,1.8495889599999968e-07,
67906-42-7,9.53055e-10,3.023123999999999e-08,1.2227615999999995e-07,
98349-25-8,2.3864e-08,4.665945999999996e-07,1.9471527199999985e-06,
372-31-6,2.8569500000000003e-08,6.613906e-07,2.0407527599999976e-06,
13081-18-0,3.13265e-08,7.405125999999999e-07,2.3630042799999982e-06,
1652-63-7,6.7406000000000005e-09,1.5116259999999991e-07,6.394267559999994e-07,
307-24-4,1.75135e-08,3.854113999999999e-07,1.2196653359999987e-06,
507-63-1,7.37835e-13,2.2998219999999995e-11,1.0320272799999999e-10,
34449-89-3,1.3018999999999999e-08,2.9501839999999976e-07,1.2314099599999988e-06,
847-51-8,1.8355500000000002e-08,3.528895999999997e-07,1.4694586799999988e-06,
63967-40-8,2.79655e-09,4.4879619999999994e-08,1.0019375759999995e-07,
335-66-0,5.0779e-11,6.122869999999997e-10,1.4494097999999986e-09,
920-66-1,4.7041999999999995e-09,5.724124e-08,2.2282539199999969e-07,
130755-46-3,1.92755e-10,7.202843999999992e-09,3.469978159999997e-08,
381-73-7,1.34405e-08,4.2231659999999993e-07,1.6190598399999978e-06,
27854-31-5,1.46435e-09,3.109513999999998e-08,8.621387799999982e-08,
862574-88-7,1.86585e-07,5.479361999999997e-06,2.2399110399999974e-05,
355-46-4,1.55665e-08,3.241059999999999e-07,1.11470392e-06,
29420-49-3,1.7416e-10,3.3027699999999985e-09,1.2996453599999988e-08,
96383-55-0,2.7770499999999998e-12,6.954321999999993e-11,2.7264662799999905e-10,
34455-03-3,5.9511e-09,1.722854e-07,7.547357639999995e-07,
863090-89-5,1.4936000000000002e-08,2.080204e-07,4.990199159999998e-07,
874288-98-9,1.1336e-08,1.4819919999999992e-07,3.560704039999998e-07,
39239-77-5,4.70175e-14,1.5542599999999987e-12,9.08829963999999e-12,
65601-69-6,1.2505499999999999e-08,1.4362039999999993e-07,3.4529992399999936e-07,
101513-70-6,2.5514e-08,3.671989999999998e-07,1.3733007599999981e-06,
68140-19-2,1.4298e-10,1.6297879999999994e-09,3.906751599999993e-09,
445-03-4,3.3804e-08,9.361781999999995e-07,3.4112871199999963e-06,
2706-91-4,1.9326e-08,3.8110779999999996e-07,1.434205799999999e-06,
79241-46-6,3.0303999999999997e-12,3.0749019999999986e-08,6.095293799999994e-07,
118400-71-8,1.3863e-12,3.078451999999998e-11,1.392267239999999e-10,
68391-08-2,4.7578e-11,6.399209999999995e-10,1.52674696e-09,
1682-78-6,9.086250000000001e-10,1.0383239999999995e-08,2.4900738799999956e-08,
70225-14-8,6.3979e-09,1.841666e-07,8.042109759999991e-07,
120100-77-8,1.5081e-07,4.445981999999998e-06,1.8072147999999977e-05,
756-13-8,7.77675e-10,9.043019999999997e-09,2.1569514399999958e-08,
40143-79-1,1.53025e-14,5.793779999999996e-13,2.7819550799999974e-12,
1869-77-8,6.2106e-11,1.7716959999999993e-09,6.3999038399999946e-09,
13311-84-7,2.3970999999999998e-11,4.739503999999996e-10,2.040780319999999e-09,
145701-23-1,2.39515e-07,9.753745999999998e-07,1.2349989799999981e-05,
393-36-2,1.9909499999999997e-08,3.0482519999999965e-07,8.215466439999999e-07,
862374-87-6,7.949550000000001e-12,1.8259499999999982e-10,8.474191959999994e-10,
79456-26-1,2.0378e-07,5.602217999999998e-06,2.3734129599999976e-05,
375-72-4,7.236e-08,8.547497999999994e-07,2.0378527999999978e-06,
21049-39-8,6.6107e-09,7.363109999999996e-08,1.8524616399999992e-07,
60270-55-5,1.4251e-08,2.797977999999998e-07,1.1554899999999993e-06,
142818-01-7,2.2786999999999998e-08,5.251675999999996e-07,2.1931090799999976e-06,
171978-95-3,4.3733500000000005e-11,1.0528e-09,4.006788919999998e-09,
83121-18-0,5.83905e-24,2.356855999999998e-09,5.7289248399999865e-08,
3793-74-6,1.98985e-11,6.693869999999998e-10,4.053011199999994e-09,
1696259-81-0,5.4128e-12,1.5076079999999987e-10,7.050705239999994e-10,
