MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
79538-32-2,418.74,338.27,89.048,0.010616427,1.58e-05,-999,-999,0.0,1.33e-08,1.33e-08,1.33e-08,5.9,-1.722985,62753.0,
1996-88-9,532.197,216.5,11.685,21.46484,2.4299999e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.39,1.001572,-999,
83121-18-0,381.11,422.165,222.5,1.32e-08,0.000120226,-999,4.5734177e-11,1.8693289e-09,3.4999999e-07,3.4999999e-07,3.4999999e-07,4.675,-7.7802,131400.0,
70225-14-8,605.26,376.06,135.495,0.52,2.13e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.545,-9.752556,-999,
80475-32-7,528.33,464.11,195.83,4.65e-07,0.00022834699,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.85,-9.131,-999,
1895-26-7,1190.239,339.685,69.295,0.00077506504,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,13.99,1.448628,-999,
354-58-5,187.38,49.28,-10.633,41812.21,0.6606935,-999,-999,-999,2.42e-08,2.42e-08,2.42e-08,3.09,1.038172,28065.0,
45048-62-2,213.031,122.095,-10.765,1424.5,3.964024,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.14,-2.313,-999,
25291-17-2,346.091,99.15,-64.52,7032.943,0.00023849199,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.56,4.07352,-999,
2144-53-8,432.18,219.98,-8.2975,17.046,0.00035665699,-999,-999,-999,1.91e-07,1.91e-07,1.91e-07,6.13,1.80935,53469.0,
59587-38-1,466.25,347.125,138.42,0.6866084,0.9218231,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,2.545,-4.727112,-999,
356-47-8,316.046,61.63,-69.23,20598.25,0.007249,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.305,2.23926,-999,
68954-01-8,765.92,710.09,310.74,6.5099998e-19,4.3e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.29,-17.576,-999,
68694-11-1,345.76,417.55,63.5,0.000122069,0.3467368,-999,-999,0.0,1.34e-08,1.34e-08,1.34e-08,4.51,-5.7583,129550.0,
76-05-1,114.02,105.72,-16.167,13738.14,8128.305,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,0.66,-3.754089,61375.0,
83164-33-4,394.3,437.97,160.0,5.3500003e-07,0.000551,-999,-999,0.0,0.0,0.0,0.0,4.17,-9.811813,102340.0,
1869-24-5,225.19,320.54,-8.575001,0.028081,8.128305,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,1.13,-4.3304,76556.0,
2043-54-1,674.035,227.55,27.745,12.66559,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.935,3.374446,-999,
675-62-7,211.09,115.79,-59.03,3071.899,0.203,-999,-999,-999,3.4999999e-08,3.4999999e-08,3.4999999e-08,4.19,-0.4398851,-999,
63967-40-8,448.079,145.87,-15.35,2216.669,0.00011672,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.615,2.508041,-999,
1228350-17-1,446.208,198.79,7.16,51.1,2.73925e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.81,2.641,-999,
121-17-5,225.55,242.42,31.0,15.7294,0.162181,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,3.035,-2.3192,39015.0,
355-43-1,445.95,118.0,-43.75,6810.0,9.6200001e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.735,3.931963,-999,
1082065-80-2,192.141,217.575,55.205,12.80557,14.73657,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,1.62,-2.11146,-999,
352-87-4,168.115,101.03,-54.515,5138.1,17.37501,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,1.675,-1.220302,-999,
56773-42-3,629.37,-999,-999,-999,8.5700002e-08,-999,-999,-999,-999,-999,-999,-999,-999,-999,
134605-64-4,474.82,534.7,203.05,5.26e-09,0.0051286141,-999,-999,4.3117882e-07,9.9200001e-08,9.9200001e-08,9.9200001e-08,3.635,-10.03569,87392.0,
4234-23-5,581.124,218.0,165.0,3.09,267.0,-999,-999,-999,-999,-999,-999,4.84,-4.4404,-999,
1334513-02-8,453.3,290.0,124.0,0.0,-999,-999,-999,-999,-999,-999,-999,4.1,-999,-999,
75-68-3,100.5,-13.75,-130.8,343914.0,19.49353,1.3187731e-10,-999,-999,1.64e-08,1.64e-08,1.64e-08,1.75,0.7449726,22035.0,
76674-21-0,301.3,464.98,164.45,1.123625e-08,0.9015267,-999,-999,0.0,0.0,0.0,0.0,2.3,-8.9863,148350.0,
27314-13-2,303.67,345.19,159.26,4.9574999e-05,0.065709487,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,2.35,-8.2913,107930.0,
70969-47-0,823.8,820.91,349.84,2.2699999e-18,1.0365e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.63,-19.371,-999,
348-57-2,192.991,152.39,-13.4,609.4685,2.194506,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,3.175,1.130847,-999,
117-89-5,407.5,407.0,184.0,4.5449997e-06,0.029899999,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.03,-5.120446,-999,
69681-37-4,545.096,254.57,56.17,1.439878,4.0609448e-06,-999,-999,-999,-999,-999,-999,6.21,2.433,-999,
2923-93-5,650.679,529.53,252.52,2.48e-15,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,10.18,-8.437189,-999,
53826-12-3,378.089,194.48,34.25,25.08261,0.0030151629,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.8,-2.341419,-999,
94094-26-5,744.94,546.865,166.69,2.76e-11,7.15e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,13.09,-4.062765,-999,
67584-54-7,534.28,276.705,92.33,0.1413213,9.3800001e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.67,-3.647606,-999,
338-84-1,821.119,227.605,21.775,2.679772,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,11.155,2.816494,-999,
432-50-7,400.11,-999,-999,-999,0.0023293791,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.16,-1.79,-999,
22715-45-3,263.087,151.0,69.2,173.3186,325.0,-999,-999,-999,-999,-999,-999,2.88,-3.64598,-999,
54739-18-3,318.34,352.89,36.0085,0.0025460301,0.1148154,-999,-999,0.0,2.0900001e-07,2.0900001e-07,2.0900001e-07,3.04,-6.69432,90053.0,
429-67-4,624.717,265.765,38.185,1.084117,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,10.425,2.460054,-999,
83066-88-0,327.26,402.25,46.92,1.9380001e-05,0.1707205,1.2882435e-07,-999,4.3561285e-10,0.0,0.0,0.0,2.87835,-8.685275,100140.0,
151213-15-9,389.4,596.91,252.19,5.2900002e-12,0.2605547,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,1.07,-16.59855,143250.0,
365971-87-5,713.109,300.7,92.03,0.056499999,1.9199999e-09,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.83,4.893,-999,
68134-22-5,405.34,526.045,251.11,4.8799999e-11,0.0093325432,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,3.17,-17.6587,212230.0,
407-25-0,210.03,15.38,-69.725,58652.0,5.495409,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,1.7479,-1.629537,46998.0,
24448-09-7,557.22,261.0,83.0,0.0107,1.09e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.51,-1.754,-999,
1696259-63-8,295.057,163.51,13.61,283.9759,0.200059,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.87,-1.171,-999,
40143-79-1,902.101,247.875,44.79,2.7125,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.3199999e-08,6.4300004e-08,10.52,-0.0013847351,-999,
63967-42-0,548.094,188.71,7.84,84.1,7.8549999e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.57,4.824,-999,
692-49-9,164.05,8.740021,-109.7565,179039.2,0.2290868,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,2.41,1.8154,25634.0,
638-79-9,395.942,95.60001,-51.65,16765.0,8.2899998e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.1,3.898446,-999,
375-85-9,364.062,178.0,26.3,57.99507,108.505,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.15,-0.15,-999,
141074-63-7,764.125,314.06,101.6,0.022,5.1644997e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,9.5,5.618,-999,
41997-13-1,399.13,199.435,47.885,97.3,0.001197855,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.41,-2.099224,-999,
37595-74-7,357.24,338.005,101.0,0.1375572,0.25,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.145,-1.017043,-999,
577705-90-9,-999,-999,55.55,0.5332895,-999,-999,-999,-999,-999,-999,4.1300001e-07,2.98,-999,-999,
27619-89-2,446.61,237.76,57.39,9.331,0.00070794602,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,5.18,-1.04295,59193.0,
1978-24-1,416.061,116.985,-40.555,2313.136,0.001403,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.47,2.954057,-999,
68310-12-3,1014.164,288.15,96.515,0.016754501,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,10.135,2.669995,-999,
68412-68-0,500.05,260.0,56.58,0.069460765,0.00012600749,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.4,-3.363,-999,
423-46-1,300.071,113.49,-18.585,1205.5,0.222714,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.315,-1.827042,-999,
1125812-58-9,276.56,199.795,36.255,82.17727,0.04223315,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.99,0.1760715,-999,
65104-67-8,864.184,297.555,83.44,0.00095858501,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,10.85,2.270023,-999,
640731-95-9,356.16,206.81,5.46,4.192976,0.086397,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.495,-1.674172,-999,
191614-02-5,160.124,201.78,45.27,26.98262,164.8722,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,0.5945,-2.096386,-999,
52334-81-3,181.54,169.07,16.045,245.272,2.963204,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,2.43,-1.62955,51057.0,
45285-51-6,413.063,196.385,41.14,44.65,0.00058510405,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.81,0.57,-999,
14650-24-9,625.3,305.59,86.525,0.016265284,8.1899998e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.24,-1.45167,-999,
189300-85-4,192.141,212.985,49.23,18.33178,52.31575,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,1.18,-2.411195,-999,
4149-60-4,481.109,190.0,165.0,9.839164,845.0,-999,-999,-999,-999,-999,-999,3.12,-4.779439,-999,
70887-88-6,358.083,194.0,22.24,64.8,0.0041452008,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.3,-0.672,-999,
60270-55-5,488.21,368.66,139.23,0.7399376,0.064439483,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,2.685,-4.625068,-999,
75-37-6,66.05,-24.7,-117.99,546592.6,85.60001,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,0.78,0.18256,18991.0,
679-12-9,196.048,121.98,-13.39,1906.505,17.8696,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,1.53,-2.611,-999,
13311-84-7,276.22,381.24,106.6825,0.000147963,0.034199998,-999,-999,0.0,0.0,0.0,0.0,3.245,-7.816729,84443.0,
1799-84-4,332.166,144.275,-17.335,947.9194,0.001340294,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.69,0.5698107,-999,
73829-36-4,513.078,239.28,50.26,3.6,7.8546045e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.15,2.011,-999,
2043-47-2,264.091,113.39,-43.71,1330.0,0.3672246,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.185,-2.110886,-999,
63863-43-4,422.098,178.0,-16.565,115.3235,0.020785931,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.015,-1.911998,-999,
445-03-4,195.57,221.64,31.94,12.98342,1.479108,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,2.74,-3.9457,54904.0,
152914-73-3,432.085,186.085,4.72,11.44569,0.0013530001,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.505,-3.860075,-999,
57678-03-2,544.101,258.2,112.705,0.001166929,9.9400004e-06,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.75,-4.818548,-999,
383-63-1,142.08,61.85001,-78.1935,24697.82,56.7,3.1856533e-05,1.51607e-13,0.0013991577,6.8499997e-07,6.8499997e-07,6.8499997e-07,1.19,-1.1647,50693.0,
359-11-5,82.025,-47.3,-141.335,1000624.0,161.658,-999,-999,-999,8.5700002e-08,3.8600001e-07,7.7200002e-07,1.205,1.896396,-999,
79241-46-6,383.37,404.01,9.0,0.00042394502,0.001565329,6.5523528e-07,-999,1.8784476e-07,1.13e-06,1.13e-06,1.13e-06,4.36095,-5.809927,95202.0,
39492-88-1,246.037,169.31,8.43,216.0,47.67372,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.63,-4.871,-999,
68391-08-2,360.14,167.44,-7.72,66.92764,0.0010024596,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.14,0.611,-999,
72629-94-8,664.109,260.7,97.055,0.6514511,2.44e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.16,4.17,-999,
1696259-88-7,845.142,337.5,114.8,0.0045059999,5.0990001e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,10.23,6.758,-999,
373-06-7,714.12,-999,-999,-999,-999,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.83,4.89,-999,
42874-03-3,361.7,386.85,84.0,0.00045502998,0.00064565398,-999,-999,0.0,3.4900001e-08,3.4900001e-08,3.4900001e-08,4.53095,-5.0172,30860.0,
16627-71-7,332.089,98.00999,-69.65,11985.65,0.0092749996,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.845,2.39357,-999,
756-12-7,266.03,56.35001,-31.44545,32125.3,0.1342104,-999,-999,-999,1.13e-06,1.13e-06,1.13e-06,3.1985,-0.051749974,-10070.0,
355-37-3,320.053,66.0,-87.58,30019.45,0.001309471,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.41,4.036311,-999,
163702-07-6,250.064,32.115,-85.7,120656.4,0.1335658,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.54,2.318011,-999,
1072957-71-1,398.23,444.08,184.365,1.08245e-07,0.0047613191,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,4.305,-6.178702,-999,
80793-17-5,348.1,99.07001,-81.3,5922.1,6.4699998e-05,-999,-999,-999,2.95e-09,2.95e-09,2.95e-09,5.36,4.21605,35588.0,
35037-73-1,203.12,185.95,17.871,96.3759,0.2517477,1.6595492e-05,-999,-999,1.13e-06,1.13e-06,1.13e-06,3.4149,-2.373921,67310.0,
685-63-2,162.034,6.0,-132.0,203491.0,6.776356,-999,-999,-999,8.5700002e-08,3.8600001e-07,7.7200002e-07,2.245,1.026293,-999,
2965-52-8,1204.46,447.5,99.13499,2.37e-08,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,12.25,-2.921043,-999,
50598-28-2,484.28,14147.0,91.64,0.1866508,0.00080883002,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.865,-3.502885,-999,
57589-85-2,915.21,643.15,261.92,4.8300001e-19,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.45,-5.897373,-999,
355-70-4,382.097,108.2,-52.975,7992.653,0.00029,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.16,2.745375,-999,
98967-40-9,325.3,494.22,248.91,3.7100001e-10,0.8971719,-999,-999,0.0,3.7299999e-09,3.7299999e-09,3.7299999e-09,1.61355,-10.99587,158260.0,
70281-93-5,609.3,424.405,172.725,0.3519701,0.005233875,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.785,-4.495973,-999,
36097-07-1,468.34,236.16,34.56,5.91,6.1074996e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.38,2.171,-999,
851725-98-9,204.177,243.51,63.43,2.15915,25.5,-999,-999,-999,8.5700002e-08,3.8600001e-07,7.7200002e-07,1.48,-2.586565,-999,
1158182-60-5,1090.223,301.535,64.425,0.001125002,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,10.46,0.7115426,-999,
428-59-1,166.02,-16.60999,-72.505,551862.0,6.16595,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,1.75,-0.3929311,20426.0,
30334-69-1,299.11,193.86,42.185,81.15,0.4220521,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,2.81,-2.736327,-999,
497833-04-2,178.114,199.865,42.78,25.75781,49.40431,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,1.195,-1.078586,-999,
919005-14-4,378.07,203.64,41.825,6.77,0.1979157,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.76,-4.637265,-999,
61213-25-0,312.12,376.03,55.6,0.0013130601,0.088719085,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,3.15,-5.36326,66946.0,
320-51-4,195.57,216.82,33.12,9.959705,1.203661,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.775,-1.616293,-999,
1897-52-5,139.1,181.98,11.44,93.9765,7.26,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,1.965,-2.53781,41580.0,
94239-04-0,165.091,115.425,-16.98,7191.167,12.3,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,1.88,0.277251,-999,
148757-89-5,764.53,486.73,190.78,1.44e-07,5.0000015e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,16.01,2.816,-999,
188416-20-8,420.22,397.0,142.0,4.87e-05,0.097199999,-999,-999,-999,-999,-999,-999,1.64,-4.751245,-999,
34451-26-8,380.17,118.96,-35.085,4305.626,0.00011508,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.58,-0.3886193,-999,
1204298-70-3,160.124,212.81,53.16,19.64499,237.0725,-999,-999,-999,8.5700002e-08,3.8600001e-07,7.7200002e-07,0.5935,-2.084125,-999,
113659-14-6,462.295,227.175,5.385,5.752844,1.21e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,8.49,1.288025,-999,
98-56-6,180.56,146.21,-29.88,907.773,0.255,2.2387173e-06,-999,8.712257e-10,1.13e-07,1.13e-07,1.13e-07,3.41,0.084256575,33731.0,
54949-74-5,164.075,82.91,-54.29,6921.44,42.9194,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,1.505,-0.9311983,-999,
75-46-7,70.013,-74.32999,-155.1,2252770.0,40.73803,-999,-999,-999,3.4999999e-08,3.4999999e-08,3.4999999e-08,0.69,0.55942,16062.0,
2062-78-4,461.557,517.305,213.5,8.9204999e-09,0.00041520002,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.265,-7.138412,-999,
375-22-4,214.039,121.0,-10.765,849.1306,4.252359,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.14,-0.8045914,-999,
731-27-1,347.26,365.85,123.38,0.00026393399,0.0086599998,-999,5.3702864e-09,1.1454357e-05,2.21e-08,2.21e-08,2.21e-08,3.795,-5.3878,113620.0,
77501-63-4,461.78,458.69,45.0,1.3585e-05,0.000170536,-999,-999,0.0,1.45e-07,1.45e-07,1.45e-07,4.685,-7.6301,76748.0,
39492-90-5,378.05,216.675,39.41,12.52735,1.97458,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.12,-3.398148,-999,
59493-72-0,832.288,455.46,198.94,1.13e-11,2.32e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,6.01,-7.248571,-999,
40143-77-9,702.07,227.065,34.705,7.6185,5.5000001e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.825,-1.420932,-999,
430-67-1,81.066,59.41,-59.114,26798.63,11213.09,-999,-999,-999,3.5e-06,3.5e-06,3.5e-06,-0.059999999,-2.799891,41848.0,
246871-16-9,-999,290.0,186.3,0.0,-999,-999,-999,-999,-999,-999,4.1300001e-07,3.6,-999,-999,
67584-56-9,461.25,281.71,75.375,0.069594085,0.00039208701,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.905,-2.174489,-999,
98-16-8,161.13,190.02,26.33,88.3779,10.96478,-999,-999,4.3561285e-10,2.09e-08,2.09e-08,2.09e-08,2.23835,-3.7491,52052.0,
2043-53-0,574.019,196.865,6.445,76.79347,1.17e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.835,3.583999,-999,
3330-14-1,452.067,120.38,-29.655,2053.159,4.9400001e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.18,2.143496,-999,
68188-12-5,323.98,105.63,-54.79,4572.945,0.00062235299,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.62,1.936,-999,
220689-12-3,559.53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,
68555-76-0,507.21,266.725,76.25,0.01466542,9.4100003e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.105,-3.184456,-999,
29081-56-9,517.16,310.475,118.56,0.5200765,3.8800001e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.765,-34.19706,-999,
137641-05-5,376.311,437.435,188.33,0.1765001,0.00084699999,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.835,-6.333229,-999,
356-02-5,242.093,166.83,21.41,187.0,0.5811816,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.93,-2.845534,-999,
68608-14-0,992.7,684.73,298.89,5.01e-14,5.0003168e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,11.44,-10.402,-999,
317817-24-6,548.1,233.335,22.845,1.373216,4.68e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.37,-4.526125,-999,
355-79-3,266.038,45.725,-73.685,42663.04,0.107992,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.385,1.897298,-999,
338-83-0,521.072,130.0,-49.85,1811.569,5.2899999e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.235,3.070809,-999,
328-90-5,206.12,289.175,163.0,0.027914859,1.368135,-999,-999,-999,3.4300001e-08,1.5400001e-07,3.09e-07,3.255,-3.333471,-999,
187592-70-7,277.07,270.85,60.8065,1.333,0.106,-999,-999,-999,3.4999999e-07,3.4999999e-07,3.4999999e-07,3.0247,-3.321698,36909.0,
176310-29-5,300.071,70.36,-73.415,24131.29,0.017891999,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.91,2.678511,-999,
67485-29-4,494.485,460.665,192.0,2.3699999e-06,1.21e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.975,-3.129983,-999,
65510-55-6,874.066,276.09,58.37,0.333305,9.9999997e-10,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,11.49,3.503798,-999,
16517-11-6,914.148,319.745,111.635,0.43884,9.9999997e-10,-999,-999,-999,-999,-999,-999,11.805,1.93757,-999,
311-89-7,671.096,178.0,-40.6,73.59374,8.2600003e-08,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,9.35,1.957409,-999,
1869-77-8,613.29,295.54,83.935,0.028530909,2.2499999e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.25,-1.071964,-999,
13252-13-6,330.053,179.93,24.445,49.72969,0.082411006,-999,-999,-999,-999,-999,-999,3.285,-3.348268,-999,
507-63-1,545.965,160.25,8.77,429.2968,1.29e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.225,4.699557,-999,
57678-01-0,444.085,272.37,82.18,0.024959689,0.00073814701,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.785,-5.538096,-999,
15457-05-3,328.2,381.14,94.0,0.00027459799,0.0051072519,2.2387173e-06,-999,8.712257e-10,1.13e-06,1.13e-06,1.13e-06,3.73,-6.186,28007.0,
71720-86-0,854.35,739.155,260.92,1.66e-08,0.0095195184,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,2.22,-5.784769,-999,
335-35-3,416.061,99.145,-61.18,11952.31,5.4399999e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.0,3.008557,-999,
85631-54-5,518.17,201.82,18.63,43.86294,4.5100001e-07,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,7.11,3.764,-999,
35367-38-5,310.69,407.515,239.0,1.2e-07,0.001341691,1.8196852e-08,4.5734177e-11,9.3466446e-10,2.9000001e-08,2.9000001e-08,2.9000001e-08,3.765,-8.3253,127500.0,
895525-72-1,220.31,283.56,43.068,0.322586,0.3090295,-999,-999,-999,3.2299999e-07,3.2299999e-07,3.2299999e-07,3.55,-2.459025,57412.0,
15899-28-2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,
68555-74-8,407.2,255.085,72.61,0.027730975,0.028998034,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,3.505,-4.274278,-999,
1383692-20-3,404.32,-999,172.5,-999,-999,-999,-999,-999,-999,-999,-999,3.2,-999,-999,
335-57-9,388.051,81.25,-75.9,10950.0,3.4000001e-05,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,5.6,4.851543,-999,
115-25-3,200.031,-1.18,-55.5,299986.8,0.165,-999,-999,-999,2.14e-08,9.6500003e-08,1.9300001e-07,2.185,3.174587,-999,
116-15-4,150.02,-26.0,-152.74,587853.0,0.6025596,-999,-999,-999,3.4999999e-08,3.4999999e-08,3.4999999e-08,1.92,1.8109,20694.0,
34455-03-3,471.24,271.92,77.715,0.0059994902,0.000361154,-999,-999,-999,7.1400001e-09,3.2199999e-08,6.4300004e-08,4.785,-3.882627,-999,
