60111-54-8	-6.3231	432.89	2
118-82-1	-5.4613	424.67	2
79538-32-2	-4.6172	418.74	2
102851-06-9	-4.6022	502.92	2
70124-77-5	-4.2650	451.47	2
66841-25-6	-4.0938	665.04	2
51-21-8	-4.0621	130.08	2
3234-85-3	-3.9599	424.75	2
67375-30-8	-3.8985	416.31	2
86479-06-3	-3.8979	461.15	2
57-63-6	-3.8274	296.41	2
28434-01-7	-3.5921	338.45	2
13121-70-5	-3.4418	385.16	2
52918-63-5	-3.3812	505.22	2
91465-08-6	-3.3677	449.86	2
21542-96-1	-3.3631	353.68	2
101463-69-8	-3.1498	488.77	2
82657-04-3	-3.1490	422.87	2
52645-53-1	-3.1025	391.29	2
41859-67-0	-3.0922	361.83	2
141-63-9	-3.0867	384.85	2
10311-84-9	-3.0798	393.85	2
541-02-6	-3.0385	370.77	2
2642-71-9	-2.9577	345.38	2
134523-00-5	-2.9083	558.65	2
52315-07-8	-2.8845	416.31	2
3689-24-5	-2.8746	322.32	2
71751-41-2	-2.8634	873.09	2
5598-13-0	-2.8513	322.54	2
122-62-3	-2.8433	426.68	2
70356-09-1	-2.8362	310.39	2
52-68-6	-2.7029	257.44	2
41083-11-8	-2.7003	436.21	2
39515-41-8	-2.6211	349.43	2
134701-20-5	-2.5861	346.6	2
142-90-5	-2.4820	254.41	2
7396-58-9	-2.4278	311.6	2
56-38-2	-2.3838	291.26	2
50-28-2	-2.3809	272.39	2
108-98-5	-2.3756	110.18	2
60168-88-9	-2.2894	331.2	2
950-37-8	-2.2435	302.33	2
220727-26-4	-2.2025	365.63	2
122453-73-0	-2.1710	407.63	2
41620-33-1	-2.1641	382.54	2
947753-66-4	-2.1386	391.51	2
333-41-5	-2.1086	304.35	2
2921-88-2	-2.0474	350.59	2
7786-34-7	-1.9876	224.15	2
35367-38-5	-1.9773	310.69	2
111-88-6	-1.9679	146.3	2
298-02-2	-1.9626	260.38	2
53-16-7	-1.9245	270.37	2
89604-91-1	-1.9221	351.43	2
76-87-9	-1.9154	367.01	2
3687-22-7	-1.9101	296.32	2
120-12-7	-1.8842	178.23	2
22224-92-6	-1.8695	303.36	2
3741-80-8	-1.8591	403.61	2
66230-04-4	-1.8448	419.91	2
13071-79-9	-1.8174	288.43	2
54-31-9	-1.7447	330.75	2
2310-17-0	-1.7343	367.81	2
82560-54-1	-1.7287	410.54	2
40601-76-1	-1.7252	699.94	2
13593-03-8	-1.7221	298.3	2
83905-01-5	-1.7177	749	2
668-34-8	-1.6596	350.01	2
58-22-0	-1.6369	288.43	2
118-60-5	-1.6345	250.34	2
41198-08-7	-1.6252	373.64	2
99105-77-8	-1.6165	328.77	2
886-50-0	-1.6055	241.37	2
2162-74-5	-1.6044	362.56	2
563-12-2	-1.6003	384.48	2
732-26-3	-1.5969	262.44	2
86-50-0	-1.5647	317.33	2
23593-75-1	-1.5587	344.85	2
470-90-6	-1.5414	359.57	2
6422-86-2	-1.5405	390.56	2
58670-89-6	-1.5250	354.66	2
10453-86-8	-1.5219	338.45	2
130755-46-3	-1.5211	704.3	2
540-97-6	-1.5209	444.93	2
23560-59-0	-1.5178	250.62	2
59447-55-1	-1.5057	556.7	2
29232-93-7	-1.4934	305.34	2
113158-40-0	-1.4872	333.73	2
30560-19-1	-1.4701	183.17	2
120068-37-3	-1.4647	437.15	2
3179-47-3	-1.4585	226.36	2
29964-84-9	-1.4585	226.36	2
96489-71-3	-1.4477	364.94	2
1897-45-6	-1.4377	265.92	2
55-38-9	-1.4353	278.33	2
56358-17-9	-1.4233	255.41	2
94125-34-5	-1.4213	419.39	2
55-56-1	-1.4131	505.47	2
300-76-5	-1.4072	380.8	2
2032-65-7	-1.3925	225.31	2
51630-58-1	-1.3923	419.91	2
622-58-2	-1.3809	133.15	2
944-22-9	-1.3630	246.33	2
3069-40-7	-1.3535	234.41	2
164578-11-4	-1.3268	696.9	2
1861-40-1	-1.3183	335.29	2
66063-15-8	-1.3090	209.72	2
25307-17-9	-1.2983	355.61	2
141-62-8	-1.2864	310.69	2
17928-28-8	-1.2864	310.69	2
114-07-8	-1.2833	733.94	2
2425-77-6	-1.2791	242.45	2
5333-42-6	-1.2791	298.56	2
1067-33-0	-1.2598	351.01	2
67564-91-4	-1.2579	303.49	2
31335-74-7	-1.2567	356.55	2
68855-18-5	-1.2567	216.32	2
112-75-4	-1.2535	241.46	2
112-18-5	-1.2412	213.41	2
10233-13-3	-1.2325	242.4	2
22781-23-3	-1.2318	223.23	2
31775-89-0	-1.2276	544.77	2
156052-68-5	-1.2185	336.65	2
103055-07-8	-1.2076	511.15	2
134098-61-6	-1.2058	421.5	2
25812-30-0	-1.2049	250.34	2
129-00-0	-1.2014	202.26	2
95465-99-9	-1.1900	270.39	2
24934-91-6	-1.1745	234.7	2
1420-07-1	-1.1592	240.22	2
1120-24-7	-1.1349	185.36	2
13457-18-6	-1.1295	373.37	2
18691-97-9	-1.1146	221.29	2
3913-02-8	-1.1135	186.34	2
88150-42-9	-1.1130	408.88	2
134605-64-4	-1.1098	474.82	2
14442-94-5	-1.1056	529.89	2
130841-23-5	-1.1046	358.02	2
521-18-6	-1.0992	290.45	2
2996-92-1	-1.0915	198.29	2
112-69-6	-1.0907	269.52	2
124-28-7	-1.0907	297.57	2
6197-30-4	-1.0686	361.49	2
74223-64-6	-1.0684	381.37	2
115-29-7	-1.0664	406.93	2
119446-68-3	-1.0572	406.27	2
106-51-4	-1.0533	108.1	2
1085-98-9	-1.0520	333.23	2
71617-10-2	-1.0500	248.32	2
154279-60-4	-1.0498	322.58	2
7287-19-6	-1.0350	241.37	2
72956-09-3	-1.0066	406.48	2
100-83-4	-1.0000	122.12	2
2135-17-3	-1.0000	410.46	2
3748-13-8	-1.0000	158.24	2
10238-21-8	-1.0000	494.01	2
59277-89-3	-1.0000	225.21	2
131538-00-6	-0.9681	260.52	2
2164-08-1	-0.9674	234.3	2
139189-30-3	-0.9537	686.68	2
3081-14-9	-0.9535	304.52	2
79277-27-3	-0.9534	387.4	2
24017-47-8	-0.9506	313.32	2
93957-50-7	-0.9059	307.37	2
106-47-8	-0.8949	127.58	2
6842-62-2	-0.8837	239.1	2
82097-50-5	-0.8772	401.83	2
62-73-7	-0.8652	220.98	2
111-82-0	-0.8519	214.35	2
112-02-7	-0.8461	320.01	2
94-36-0	-0.8356	242.23	2
79-74-3	-0.8240	250.38	2
139528-85-1	-0.8157	419.27	2
25311-71-1	-0.8096	345.4	2
116-75-6	-0.8095	474.61	2
122931-48-0	-0.8050	431.45	2
143-28-2	-0.8028	268.49	2
43057-68-7	-0.7995	212.3	2
64902-72-3	-0.7973	357.78	2
7173-62-8	-0.7969	324.6	2
112-55-0	-0.7763	202.4	2
4073-98-7	-0.7730	254.38	2
94-81-5	-0.7700	228.68	2
723-46-6	-0.7623	253.28	2
3347-22-6	-0.7547	296.33	2
79617-96-2	-0.7529	306.24	2
3081-01-4	-0.7413	282.43	2
732-11-6	-0.7393	317.32	2
555-37-3	-0.7354	275.18	2
145783-14-8	-0.7347	268.13	2
101200-48-0	-0.7284	395.4	2
121-75-5	-0.7272	330.36	2
103-23-1	-0.7260	370.57	2
114772-54-2	-0.7165	272.15	2
145701-23-1	-0.7106	360.3	2
2372-82-9	-0.7094	299.55	2
281-23-2	-0.7005	136.24	2
124-30-1	-0.6931	269.52	2
2943-75-1	-0.6920	276.49	2
731-27-1	-0.6733	347.26	2
40487-42-1	-0.6719	281.32	2
123-31-9	-0.6690	110.11	2
81103-11-9	-0.6672	747.97	2
79241-46-6	-0.6592	383.37	2
83121-18-0	-0.6512	381.11	2
298-04-4	-0.6489	274.4	2
50594-66-6	-0.6440	361.66	2
56677-60-2	-0.6409	276.85	2
133-07-3	-0.6398	296.56	2
15687-27-1	-0.6387	206.29	2
112-41-4	-0.6248	168.32	2
872-05-9	-0.6248	140.27	2
101238-01-1	-0.6137	339.57	2
141517-21-7	-0.6097	408.38	2
138261-41-3	-0.6048	255.67	2
112-88-9	-0.5962	252.49	2
629-73-2	-0.5962	224.43	2
1120-36-1	-0.5962	196.38	2
301-12-2	-0.5902	246.28	2
69-53-4	-0.5877	349.41	2
314-40-9	-0.5783	261.13	2
96-69-5	-0.5779	358.54	2
119168-77-3	-0.5634	333.87	2
1962-75-0	-0.5616	278.35	2
2554-06-5	-0.5614	344.66	2
139122-17-1	-0.5500	315.76	2
15307-86-5	-0.5438	296.15	2
123-30-8	-0.5433	109.13	2
834-12-8	-0.5368	227.34	2
137-26-8	-0.5274	240.43	2
131807-57-3	-0.5244	374.4	2
95-38-5	-0.5009	350.59	2
19666-30-9	-0.4994	345.23	2
26272-90-2	-0.4917	304.9	2
786-19-6	-0.4855	342.87	2
15972-60-8	-0.4835	269.77	2
120928-09-8	-0.4747	306.41	2
112-29-8	-0.4740	221.19	2
111479-05-1	-0.4731	443.89	2
4979-32-2	-0.4674	346.56	2
175013-18-0	-0.4673	387.83	2
5466-77-3	-0.4445	290.4	2
58-08-2	-0.4444	194.2	2
1582-09-8	-0.4339	335.29	2
112-54-9	-0.4311	184.32	2
58-89-9	-0.4271	290.83	2
110-42-9	-0.4207	186.29	2
21087-64-9	-0.4162	214.29	2
613-62-7	-0.4162	234.3	2
16634-82-5	-0.4110	183.64	2
330-54-1	-0.4103	233.1	2
131983-72-7	-0.4087	317.82	2
640-15-3	-0.4083	246.35	2
111988-49-9	-0.4072	252.73	2
