,2012/12/31_Cbulk,2013/12/31_Cbulk,
   9000284,    0.14621E-11,    0.52388E-12,
   9000286,    0.26017E-11,    0.75054E-12,
   9000812,    0.34268E-08,    0.20691E-08,
   9000815,    0.11797E-10,    0.22183E-11,
   9000851,    0.11673E-11,    0.33235E-12,
   9000852,    0.98507E-12,    0.33933E-12,
   9000854,    0.34444E-12,    0.40141E-12,
   9000976,    0.41748E-12,    0.22582E-12,
   9001235,    0.18028E-10,    0.64591E-11,
   9500211,    0.19915E-11,    0.59300E-12,
   9500217,    0.18076E-08,    0.26073E-08,
   9500233,    0.39932E-11,    0.11850E-11,
   9500236,    0.87899E-17,    0.18203E-17,
   9500239,    0.26107E-11,    0.77666E-12,
   9500242,    0.37453E-11,    0.10464E-11,
   9500243,    0.26708E-12,    0.26733E-12,
   9500245,    0.42710E-11,    0.22812E-11,
   9500247,    0.36777E-12,    0.24224E-12,
   9500248,    0.36629E-11,    0.11319E-11,
   9500256,    0.38316E-12,    0.79618E-13,
   9500266,    0.14865E-11,    0.16099E-11,
   9500267,    0.12121E-12,    0.35841E-13,
   9500268,    0.22068E-19,    0.27603E-18,
   9500269,    0.46140E-11,    0.14261E-10,
   9500272,    0.40499E-18,    0.64898E-18,
   9500273,    0.47281E-20,    0.23008E-18,
   9500274,    0.10294E-18,    0.67821E-18,
   9500275,    0.17131E-17,    0.13373E-16,
   9500278,    0.62326E-12,    0.41576E-13,
   9500279,    0.94083E-12,    0.66591E-12,
   9500280,    0.11338E-11,    0.25868E-12,
   9500281,    0.83480E-12,    0.24676E-12,
   9500282,    0.18692E-11,    0.60629E-11,
   9500285,    0.80202E-12,    0.99708E-13,
   9500291,    0.22150E-11,    0.85033E-12,
   9500296,    0.47248E-12,    0.56119E-13,
   9500320,    0.75885E-19,    0.33043E-18,
   9500414,    0.89978E-13,    0.14014E-12,
   9500416,    0.38935E-12,    0.37165E-10,
   9500417,    0.10599E-11,    0.11466E-12,
   9500426,    0.11053E-12,    0.13941E-12,
   9500853,    0.35634E-11,    0.14212E-11,
   9502855,    0.16408E-10,    0.89920E-11,
   9502868,    0.16174E-10,    0.67581E-11,
   9502870,    0.21811E-12,    0.63209E-13,
   9502877,    0.30393E-12,    0.17779E-12,
   9502914,    0.22967E-12,    0.77157E-13,
   9502917,    0.17783E-11,    0.18737E-11,
   9502933,    0.23334E-11,    0.14705E-11,
   9502953,    0.20124E-08,    0.30663E-08,
   9502955,    0.89126E-11,    0.27601E-11,
   9502957,    0.53911E-11,    0.35520E-11,
   9502959,    0.14502E-12,    0.47043E-13,
   9502967,    0.42354E-12,    0.20399E-12,
   9502978,    0.78380E-09,    0.53569E-09,
   9503015,    0.14955E-12,    0.51538E-13,
   9503019,    0.21784E-11,    0.10423E-11,
   9503057,    0.28449E-12,    0.80870E-13,
   9503075,    0.98371E-10,    0.17040E-09,
   9503077,    0.17838E-12,    0.74006E-13,
   9503079,    0.51258E-11,    0.22140E-11,
   9503128,    0.73047E-11,    0.50217E-11,
   9503130,    0.35824E-11,    0.10058E-11,
   9503140,    0.25796E-12,    0.79897E-13,
   9503145,    0.48808E-12,    0.35159E-12,
   9503172,    0.90486E-12,    0.26396E-12,
   9503183,    0.37372E-11,    0.16345E-11,
   9503196,    0.29823E-11,    0.77617E-12,
   9503259,    0.16066E-10,    0.18588E-10,
   9503261,    0.37785E-11,    0.20267E-11,
   9503269,    0.15200E-12,    0.43753E-13,
   9503339,    0.54158E-12,    0.34540E-12,
   9503391,    0.13167E-11,    0.42085E-12,
   9503410,    0.90944E-11,    0.15407E-10,
   9503419,    0.24880E-11,    0.87272E-12,
   9503423,    0.92059E-12,    0.19537E-12,
   9503432,    0.17390E-12,    0.57292E-13,
   9503433,    0.94224E-12,    0.77091E-12,
   9503435,    0.34362E-11,    0.30696E-10,
   9503515,    0.12215E-11,    0.74272E-12,
   9503560,    0.61826E-12,    0.15263E-12,
   9503713,    0.98197E-12,    0.17959E-12,
   9503733,    0.84894E-11,    0.89377E-11,
   9503756,    0.37108E-11,    0.14775E-11,
   9503807,    0.36368E-11,    0.20552E-11,
   9503839,    0.61661E-10,    0.15819E-09,
   9503971,    0.87634E-14,    0.43880E-14,
   9504120,    0.75733E-18,    0.96995E-18,
   9504157,    0.89611E-11,    0.29779E-11,
   9504158,    0.18442E-10,    0.34826E-11,
   9504193,    0.31236E-11,    0.18589E-11,
   9504221,    0.38556E-11,    0.17616E-11,
   9504289,    0.89478E-13,    0.68643E-13,
   9504332,    0.24673E-11,    0.50248E-11,
   9504367,    0.11779E-11,    0.97471E-12,
   9504375,    0.61024E-12,    0.50869E-12,
   9504406,    0.56876E-11,    0.10042E-11,
   9504414,    0.17581E-11,    0.38596E-11,
   9504466,    0.28754E-11,    0.13437E-11,
   9504496,    0.29363E-11,    0.78729E-12,
   9504525,    0.19403E-08,    0.17404E-08,
   9504549,    0.38114E-12,    0.26067E-12,
   9504559,    0.30886E-11,    0.73804E-12,
   9504570,    0.11908E-09,    0.12546E-09,
   9504633,    0.25199E-11,    0.77861E-12,
   9504663,    0.30850E-11,    0.26112E-11,
   9504683,    0.52868E-12,    0.39443E-12,
   9504703,    0.43083E-11,    0.17369E-11,
   9507390,    0.81398E-10,    0.12155E-09,
   9508545,    0.20773E-10,    0.17085E-10,
   9508684,    0.85713E-11,    0.41439E-11,
   9516947,    0.70109E-12,    0.42471E-12,
   9516981,    0.33944E-12,    0.11480E-12,
   9517001,    0.69319E-12,    0.23349E-12,
   9517019,    0.14281E-12,    0.51957E-13,
   9517023,    0.45554E-12,    0.18532E-12,
   9517037,    0.36605E-12,    0.23834E-12,
   9517056,    0.17540E-11,    0.41095E-12,
   9517064,    0.12553E-11,    0.64710E-13,
   9517071,    0.42018E-12,    0.43412E-13,
   9517106,    0.98516E-10,    0.27000E-09,
   9517115,    0.47793E-12,    0.11782E-12,
   9517146,    0.14583E-11,    0.19035E-11,
   9517150,    0.30656E-10,    0.60802E-10,
   9517159,    0.47668E-12,    0.29120E-12,
   9517169,    0.29543E-13,    0.11815E-13,
   9517171,    0.29274E-12,    0.10481E-12,
   9517176,    0.10879E-12,    0.17103E-13,
   9517190,    0.11038E-10,    0.19015E-10,
   9517216,    0.86605E-12,    0.22762E-12,
   9517224,    0.42875E-12,    0.83872E-13,
   9517231,    0.85289E-13,    0.10744E-13,
   9517232,    0.11315E-12,    0.39485E-13,
   9517236,    0.89791E-12,    0.65576E-13,
   9517249,    0.15844E-11,    0.21051E-12,
   9517251,    0.13417E-11,    0.71115E-12,
   9517269,    0.24455E-12,    0.34218E-13,
   9517303,    0.45542E-12,    0.41900E-12,
   9517306,    0.21171E-11,    0.64850E-11,
   9517335,    0.27195E-09,    0.41643E-09,
   9517353,    0.44314E-12,    0.12358E-12,
   9517376,    0.45963E-12,    0.11132E-12,
   9517377,    0.16490E-10,    0.69406E-10,
   9517380,    0.80318E-12,    0.20858E-12,
   9517383,    0.88228E-12,    0.81010E-13,
   9517388,    0.45380E-12,    0.14145E-12,
   9517411,    0.38389E-12,    0.93117E-13,
   9517415,    0.39422E-12,    0.17375E-12,
   9517422,    0.29405E-11,    0.19536E-12,
   9517432,    0.11041E-12,    0.46441E-13,
   9517435,    0.10944E-11,    0.29024E-12,
   9517446,    0.41811E-11,    0.14965E-11,
   9517457,    0.23685E-12,    0.92076E-13,
   9517459,    0.12932E-10,    0.22217E-08,
   9517460,    0.76772E-12,    0.44286E-13,
   9517471,    0.46201E-12,    0.68038E-13,
   9517477,    0.30667E-12,    0.12679E-12,
   9517481,    0.71394E-12,    0.63840E-13,
   9517496,    0.63315E-12,    0.37814E-12,
   9517498,    0.25590E-12,    0.53279E-13,
   9517510,    0.18713E-12,    0.24982E-13,
   9517518,    0.74227E-10,    0.11862E-09,
   9517522,    0.71573E-13,    0.15148E-13,
   9517525,    0.15580E-11,    0.17215E-12,
   9517526,    0.21161E-12,    0.38430E-13,
   9517543,    0.48628E-12,    0.75054E-13,
   9517548,    0.11482E-11,    0.16643E-12,
   9517551,    0.18540E-12,    0.40701E-13,
   9517556,    0.63117E-11,    0.77133E-11,
   9517587,    0.14316E-11,    0.62177E-12,
   9517601,    0.56847E-11,    0.19293E-10,
   9517610,    0.16527E-11,    0.18557E-12,
   9517614,    0.46028E-12,    0.30812E-12,
   9517616,    0.30830E-12,    0.11624E-12,
   9517624,    0.30348E-09,    0.54156E-09,
   9517627,    0.54017E-08,    0.62855E-08,
   9517661,    0.78382E-13,    0.17241E-13,
   9517673,    0.10794E-12,    0.81953E-14,
   9517677,    0.89614E-13,    0.24617E-13,
   9517681,    0.10949E-09,    0.26710E-09,
   9517682,    0.32111E-12,    0.49678E-13,
   9517683,    0.24278E-12,    0.34092E-13,
   9517710,    0.19310E-12,    0.66330E-14,
   9517712,    0.11657E-11,    0.14781E-12,
   9517715,    0.30624E-11,    0.23312E-10,
   9517724,    0.21841E-11,    0.25253E-12,
   9517726,    0.88076E-12,    0.41474E-12,
   9517730,    0.26536E-12,    0.38338E-13,
   9517737,    0.18045E-09,    0.12954E-08,
   9517744,    0.58803E-12,    0.31285E-12,
   9517746,    0.81964E-13,    0.27280E-13,
   9517764,    0.48018E-12,    0.12705E-12,
   9517775,    0.28161E-11,    0.18132E-08,
   9517776,    0.11868E-11,    0.37071E-12,
   9517782,    0.25530E-12,    0.78225E-13,
   9517787,    0.85024E-12,    0.85508E-13,
   9517788,    0.92422E-12,    0.19608E-12,
   9517790,    0.10151E-11,    0.11559E-09,
   9517793,    0.10068E-11,    0.17785E-07,
   9517803,    0.55509E-12,    0.14462E-12,
   9517810,    0.80064E-13,    0.16928E-13,
   9517822,    0.50610E-09,    0.18180E-08,
   9517848,    0.48158E-12,    0.10226E-12,
   9517850,    0.85210E-12,    0.52205E-12,
   9517857,    0.58453E-12,    0.19711E-12,
   9517860,    0.31606E-14,    0.67632E-16,
   9517876,    0.46166E-12,    0.14520E-12,
   9517883,    0.28920E-12,    0.98600E-13,
   9517895,    0.78211E-12,    0.19005E-13,
   9517898,    0.50365E-08,    0.27451E-08,
   9517899,    0.92542E-12,    0.16819E-12,
   9517909,    0.52357E-11,    0.43458E-11,
   9517915,    0.54604E-12,    0.10964E-11,
   9517929,    0.54400E-12,    0.13920E-12,
   9517942,    0.17578E-13,    0.11220E-14,
   9517956,    0.11197E-10,    0.40809E-11,
   9517961,    0.12365E-11,    0.41155E-12,
   9517963,    0.32082E-11,    0.14877E-11,
   9517965,    0.74536E-12,    0.99502E-13,
   9517985,    0.99488E-12,    0.37589E-12,
   9518010,    0.23718E-11,    0.20202E-11,
   9518025,    0.14318E-11,    0.27880E-12,
   9518030,    0.13835E-11,    0.31050E-12,
   9518036,    0.19539E-12,    0.18980E-13,
   9518052,    0.10788E-10,    0.14086E-10,
   9518054,    0.11970E-08,    0.14069E-08,
   9518062,    0.11120E-10,    0.59904E-11,
   9518073,    0.74163E-11,    0.64999E-11,
   9518082,    0.10871E-11,    0.24611E-12,
   9518086,    0.35862E-11,    0.10433E-11,
   9518092,    0.24098E-11,    0.44235E-12,
   9518101,    0.10332E-11,    0.58140E-12,
   9518116,    0.20651E-12,    0.67803E-13,
   9518119,    0.13189E-11,    0.31644E-12,
   9518120,    0.34781E-11,    0.63667E-11,
   9518122,    0.29778E-11,    0.62677E-12,
   9518128,    0.11048E-10,    0.59344E-12,
   9518130,    0.48192E-12,    0.73745E-12,
   9518136,    0.10031E-11,    0.19746E-12,
   9518142,    0.83406E-13,    0.90336E-13,
   9518166,    0.25278E-11,    0.14005E-11,
   9518174,    0.21186E-11,    0.13059E-11,
   9518192,    0.35829E-11,    0.20538E-11,
   9518205,    0.72428E-11,    0.52083E-11,
   9518210,    0.37104E-11,    0.21387E-11,
   9518212,    0.51339E-12,    0.99866E-13,
   9518218,    0.75845E-11,    0.96606E-12,
   9518219,    0.15493E-10,    0.33024E-11,
   9518244,    0.13900E-10,    0.15487E-10,
   9518249,    0.90289E-12,    0.13179E-12,
   9518255,    0.79891E-13,    0.20504E-13,
   9518267,    0.35077E-10,    0.17154E-10,
   9518272,    0.28606E-12,    0.28953E-13,
   9518281,    0.78579E-11,    0.95208E-12,
   9518296,    0.69113E-11,    0.25335E-11,
   9518328,    0.66973E-12,    0.28809E-12,
   9518365,    0.52286E-12,    0.78184E-13,
   9518400,    0.19340E-13,    0.44398E-14,
   9518403,    0.19289E-20,    0.16734E-17,
   9518406,    0.74223E-13,    0.31034E-13,
   9518414,    0.74856E-19,    0.47917E-18,
   9518438,    0.62251E-19,    0.90335E-18,
   9518450,    0.92395E-13,    0.29163E-13,
   9518457,    0.19579E-10,    0.64965E-11,
   9518461,    0.69118E-16,    0.54364E-16,
   9518480,    0.13848E-12,    0.10504E-12,
   9518495,    0.13737E-11,    0.12486E-12,
   9518542,    0.17790E-20,    0.24189E-18,
   9518587,    0.38323E-19,    0.35369E-18,
   9518591,    0.19313E-12,    0.23989E-12,
   9518646,    0.19430E-10,    0.66665E-11,
   9518667,    0.13878E-16,    0.13077E-16,
   9518688,    0.15193E-12,    0.63019E-14,
   9518701,    0.19352E-20,    0.29567E-18,
   9518738,    0.47806E-18,    0.29563E-18,
   9518739,    0.13600E-11,    0.38278E-12,
   9518758,    0.74621E-19,    0.22460E-18,
   9518778,    0.32818E-12,    0.20722E-12,
   9518824,    0.49648E-19,    0.90113E-18,
   9590917,    0.58203E-13,    0.15470E-12,
   9590926,    0.10676E-12,    0.19050E-13,
   9591036,    0.80600E-13,    0.26105E-12,
   9591060,    0.12598E-13,    0.38552E-13,
   9591063,    0.75464E-12,    0.87820E-13,
   9591075,    0.58296E-13,    0.93849E-14,
   9591095,    0.11472E-11,    0.21000E-12,
   9591125,    0.12421E-12,    0.18738E-13,
   9591204,    0.18627E-12,    0.20239E-13,
   9591230,    0.20785E-12,    0.26777E-13,
   9591754,    0.32108E-20,    0.26109E-18,
   9591993,    0.16952E-19,    0.33926E-18,
   9592117,    0.14120E-19,    0.17569E-17,
   9592146,    0.10529E-12,    0.31985E-12,
   9592149,    0.27390E-14,    0.23978E-14,
   9592778,    0.69207E-11,    0.43099E-13,
   9592782,    0.80249E-12,    0.75110E-13,
   9592785,    0.20481E-11,    0.13405E-12,
   9592789,    0.10922E-11,    0.53736E-13,
   9592805,    0.91271E-12,    0.73829E-13,
   9592810,    0.15024E-11,    0.17556E-12,
   9592815,    0.15017E-11,    0.29233E-12,
   9592819,    0.10980E-11,    0.77251E-13,
   9592867,    0.45395E-12,    0.36387E-13,
   9592881,    0.12919E-11,    0.94018E-13,
   9592882,    0.40732E-11,    0.45549E-13,
   9592889,    0.80776E-12,    0.72327E-13,
   9592894,    0.11488E-10,    0.11415E-12,
   9592907,    0.10490E-10,    0.62443E-13,
   9592911,    0.63990E-10,    0.35645E-09,
   9592923,    0.12393E-11,    0.70462E-13,
   9592930,    0.51228E-13,    0.11174E-13,
   9592953,    0.18795E-11,    0.28523E-11,
   9592959,    0.97482E-12,    0.19068E-13,
   9592981,    0.60698E-12,    0.52860E-13,
   9593006,    0.99609E-12,    0.78718E-13,
   9593007,    0.33733E-12,    0.36810E-13,
   9593010,    0.70591E-12,    0.57885E-14,
   9593032,    0.78554E-12,    0.66293E-13,
   9593044,    0.62929E-12,    0.58316E-13,
   9593048,    0.61171E-12,    0.73664E-13,
   9593056,    0.11555E-11,    0.80820E-13,
   9593062,    0.80663E-13,    0.19634E-13,
   9593065,    0.85661E-12,    0.67882E-13,
   9593068,    0.93204E-12,    0.12574E-12,
   9593073,    0.10422E-11,    0.92231E-13,
   9593082,    0.14825E-09,    0.64730E-09,
   9593086,    0.19633E-11,    0.11954E-11,
   9593103,    0.26958E-11,    0.28673E-09,
   9593120,    0.80105E-12,    0.62936E-13,
   9593135,    0.27947E-11,    0.49900E-13,
   9593141,    0.53696E-12,    0.55240E-13,
   9593152,    0.13696E-11,    0.31579E-13,
   9593158,    0.76128E-12,    0.18222E-13,
   9593164,    0.38054E-12,    0.32620E-13,
   9593191,    0.37658E-11,    0.33490E-13,
   9593199,    0.89740E-11,    0.14325E-12,
   9593210,    0.75010E-12,    0.53659E-13,
   9593218,    0.12448E-10,    0.14648E-12,
   9593227,    0.16143E-10,    0.35011E-11,
   9593229,    0.15247E-11,    0.29073E-13,
   9593239,    0.11259E-11,    0.16215E-12,
   9593248,    0.84880E-10,    0.32271E-09,
   9593249,    0.95007E-12,    0.22865E-13,
   9705969,    0.18054E-10,    0.79700E-11,
   9518318,    0.17421E-09,    0.56710E-09,
   9517173,    0.11633E-11,    0.74274E-12,
   9000979,    0.35643E-19,    0.27311E-17,
   9592035,    0.88538E-20,    0.75859E-18,
   9518458,    0.19071E-20,    0.25166E-17,
   9503911,    0.68043E-11,    0.41113E-11,
   9592791,    0.53968E-12,    0.12034E-13,
   9517923,    0.15079E-12,    0.10632E-12,
   9518425,    0.49321E-13,    0.10120E-14,
   9518550,    0.17213E-12,    0.11676E-12,
   9591822,    0.33819E-16,    0.32024E-16,
   9500295,    0.68408E-12,    0.94721E-13,
   9500603,    0.21753E-12,    0.30694E-12,
   9517926,    0.71055E-12,    0.47396E-12,
   9500238,    0.43633E-12,    0.45825E-12,
   9503136,    0.20459E-11,    0.63308E-12,
   9000809,    0.22017E-08,    0.11488E-08,
   9593089,    0.75402E-13,    0.17611E-13,
   9500499,    0.34019E-11,    0.40044E-11,
   9500287,    0.26351E-11,    0.91949E-11,
   9592998,    0.50040E-11,    0.13433E-10,
   9517971,    0.69777E-09,    0.93239E-09,
   9500409,    0.18765E-12,    0.26686E-12,
   9500262,    0.31988E-11,    0.20069E-11,
   9517004,    0.43218E-11,    0.67691E-11,
   9517689,    0.23251E-11,    0.32457E-09,
   9000813,    0.12867E-10,    0.62664E-11,
   9500258,    0.28553E-12,    0.29492E-13,
   9517080,    0.20651E-12,    0.13489E-12,
   9517951,    0.16823E-11,    0.26386E-12,
   9518112,    0.23196E-12,    0.19996E-13,
   9500283,    0.13579E-11,    0.32674E-12,
   9592903,    0.62441E-12,    0.56657E-13,
   9000850,    0.62063E-12,    0.49801E-12,
   9500276,    0.14119E-11,    0.35739E-12,
   9592840,    0.21256E-10,    0.13239E-09,
   9000980,    0.49849E-19,    0.12729E-16,
   9500277,    0.40950E-11,    0.11790E-10,
   9503678,    0.21658E-12,    0.68657E-13,
   9001234,    0.15692E-10,    0.57092E-11,
   9518292,    0.39959E-11,    0.10709E-10,
   9517825,    0.44264E-12,    0.94948E-13,
   9593225,    0.98893E-11,    0.93361E-13,
   9504555,    0.51402E-10,    0.46681E-10,
   9500410,    0.18881E-11,    0.10901E-11,
   9504039,    0.37680E-11,    0.20672E-11,
   9500284,    0.37551E-12,    0.26178E-10,
   9518452,    0.20447E-11,    0.18214E-11,
   9518124,    0.18847E-10,    0.16942E-10,
   9500255,    0.30588E-12,    0.58718E-13,
   9500213,    0.16524E-08,    0.22814E-08,
   9517479,    0.56190E-12,    0.31157E-12,
   9517816,    0.29295E-12,    0.10367E-12,
   9592784,    0.55775E-11,    0.48166E-13,
   9517785,    0.35160E-11,    0.11124E-11,
   9500294,    0.95444E-12,    0.67626E-13,
   9517493,    0.15174E-11,    0.24217E-12,
   9000978,    0.11852E-10,    0.31065E-10,
   9518072,    0.12792E-11,    0.20577E-12,
   9517402,    0.17731E-12,    0.55544E-13,
   9518590,    0.18647E-12,    0.10545E-12,
   9592868,    0.20596E-11,    0.13078E-12,
   9517855,    0.28938E-11,    0.10563E-10,
   9517777,    0.36353E-11,    0.10251E-10,
   9500264,    0.49719E-11,    0.10692E-10,
   9517049,    0.50440E-12,    0.12976E-12,
   9504560,    0.26444E-11,    0.10880E-11,
   9518570,    0.53218E-11,    0.11191E-10,
   9503062,    0.45266E-12,    0.68189E-12,
   9593223,    0.35654E-12,    0.26276E-13,
   9593052,    0.55719E-11,    0.33027E-13,
   9517948,    0.17587E-11,    0.27280E-12,
   9517534,    0.38646E-12,    0.18786E-10,
   9518497,    0.58424E-12,    0.51070E-14,
   9517447,    0.22034E-12,    0.36338E-14,
   9503380,    0.11436E-11,    0.74462E-12,
   9517881,    0.18277E-12,    0.19355E-13,
   9500254,    0.21718E-10,    0.38165E-10,
   9503244,    0.73842E-12,    0.22247E-12,
   9518640,    0.77748E-13,    0.51533E-13,
   9517606,    0.27239E-12,    0.48544E-13,
   9517729,    0.32400E-11,    0.12275E-10,
   9591828,    0.13557E-13,    0.67847E-14,
   9517705,    0.28234E-09,    0.45011E-09,
   9517697,    0.59385E-12,    0.13176E-09,
   9518577,    0.17462E-20,    0.95545E-17,
   9518332,    0.11039E-10,    0.36870E-10,
   9503061,    0.47408E-12,    0.51078E-12,
   9518179,    0.63278E-12,    0.40025E-12,
   9504337,    0.18098E-11,    0.37023E-11,
   9517812,    0.74042E-11,    0.56781E-10,
   9518105,    0.16567E-11,    0.28777E-12,
   9518732,    0.50831E-19,    0.17925E-17,
   9503800,    0.44522E-10,    0.97891E-10,
   9518358,    0.18818E-12,    0.26923E-12,
   9517602,    0.41238E-12,    0.24962E-12,
   9517798,    0.31344E-12,    0.49724E-13,
   9517585,    0.10482E-11,    0.16052E-12,
   9500261,    0.56769E-11,    0.13204E-10,
   9518535,    0.63237E-19,    0.36352E-16,
   9593033,    0.69936E-12,    0.57331E-13,
   9591133,    0.66364E-12,    0.69851E-13,
   9500246,    0.37262E-11,    0.21098E-11,
   9504353,    0.66203E-09,    0.61121E-09,
   9503199,    0.40080E-11,    0.98194E-12,
   9000917,    0.17502E-12,    0.29487E-13,
   9504667,    0.51761E-10,    0.62817E-10,
   9517680,    0.54142E-11,    0.79233E-09,
   9518044,    0.11641E-08,    0.79157E-09,
   9517636,    0.86842E-10,    0.60170E-09,
   9517289,    0.51491E-11,    0.83187E-11,
   9500439,    0.32084E-10,    0.31274E-10,
   9518043,    0.90296E-09,    0.14073E-08,
