,2012/12/31_Cdis,2013/12/31_Cdis,
   9517232,    0.74872E-14,    0.32988E-14,
   9517236,    0.59400E-13,    0.69382E-14,
   9517249,    0.79843E-13,    0.14774E-13,
   9517251,    0.51937E-13,    0.62164E-13,
   9517269,    0.15857E-13,    0.23708E-14,
   9517303,    0.30793E-13,    0.39671E-13,
   9517306,    0.20322E-12,    0.79828E-12,
   9517335,    0.25050E-10,    0.53231E-10,
   9517353,    0.42466E-13,    0.14910E-13,
   9517376,    0.36919E-13,    0.13436E-13,
   9517377,    0.70278E-12,    0.42785E-11,
   9517380,    0.60139E-13,    0.23331E-13,
   9517383,    0.76159E-13,    0.96480E-14,
   9517388,    0.24421E-13,    0.99405E-14,
   9517411,    0.31616E-13,    0.97141E-14,
   9517415,    0.24078E-13,    0.13522E-13,
   9517422,    0.32604E-12,    0.20392E-13,
   9517432,    0.75800E-14,    0.39233E-14,
   9517435,    0.88583E-13,    0.29933E-13,
   9517446,    0.33122E-12,    0.16490E-12,
   9517457,    0.12305E-13,    0.74673E-14,
   9517459,    0.81912E-12,    0.33551E-09,
   9517460,    0.64153E-13,    0.51028E-14,
   9517471,    0.40303E-13,    0.75623E-14,
   9517477,    0.15073E-13,    0.84237E-14,
   9517481,    0.52997E-13,    0.73478E-14,
   9517496,    0.53385E-13,    0.35987E-13,
   9517498,    0.25396E-13,    0.59255E-14,
   9517510,    0.18239E-13,    0.28749E-14,
   9517518,    0.57406E-11,    0.95753E-11,
   9517522,    0.74037E-14,    0.17379E-14,
   9517525,    0.12816E-12,    0.17491E-13,
   9517526,    0.14771E-13,    0.51530E-14,
   9517543,    0.30412E-13,    0.91519E-14,
   9517548,    0.96675E-13,    0.14762E-13,
   9517551,    0.14188E-13,    0.44232E-14,
   9517556,    0.33250E-12,    0.56850E-12,
   9517587,    0.11639E-12,    0.71464E-13,
   9517601,    0.61451E-12,    0.27600E-11,
   9517610,    0.12044E-12,    0.14088E-13,
   9517614,    0.26759E-13,    0.22636E-13,
   9517616,    0.19336E-13,    0.10196E-13,
   9517624,    0.20017E-10,    0.39793E-10,
   9517627,    0.56584E-09,    0.11865E-08,
   9517661,    0.72548E-14,    0.19873E-14,
   9517673,    0.69678E-14,    0.77800E-15,
   9517677,    0.72761E-14,    0.28373E-14,
   9517681,    0.54754E-11,    0.18095E-10,
   9517682,    0.33559E-13,    0.56951E-14,
   9517683,    0.15551E-13,    0.31397E-14,
   9517710,    0.13990E-13,    0.76289E-15,
   9517712,    0.79302E-13,    0.13592E-13,
   9517715,    0.25121E-12,    0.19942E-11,
   9517724,    0.19156E-12,    0.25736E-13,
   9517726,    0.74574E-13,    0.42419E-13,
   9517730,    0.16317E-13,    0.35476E-14,
   9517737,    0.15059E-10,    0.14839E-09,
   9517744,    0.19073E-13,    0.20709E-13,
   9517746,    0.68049E-14,    0.30340E-14,
   9517764,    0.29447E-13,    0.96702E-14,
   9517775,    0.17729E-12,    0.16744E-09,
   9517776,    0.86255E-13,    0.39654E-13,
   9517782,    0.17583E-13,    0.88911E-14,
   9517787,    0.47985E-13,    0.62847E-14,
   9517788,    0.83213E-13,    0.21443E-13,
   9517790,    0.92890E-13,    0.13325E-10,
   9517793,    0.88736E-13,    0.20200E-08,
   9517803,    0.25470E-13,    0.10064E-13,
   9517810,    0.60771E-14,    0.19926E-14,
   9517822,    0.35405E-10,    0.20918E-09,
   9517848,    0.25555E-13,    0.72790E-14,
   9517850,    0.70215E-13,    0.49269E-13,
   9517857,    0.19349E-13,    0.14422E-13,
   9517860,    0.35763E-15,    0.10036E-16,
   9517876,    0.36667E-13,    0.12581E-13,
   9517883,    0.16456E-13,    0.67369E-14,
   9517895,    0.40662E-13,    0.21383E-14,
   9517898,    0.49817E-09,    0.30051E-09,
   9517899,    0.83942E-13,    0.14882E-13,
   9517909,    0.46739E-12,    0.48320E-12,
   9517915,    0.56691E-13,    0.12313E-12,
   9517929,    0.53474E-13,    0.14033E-13,
   9517942,    0.15302E-14,    0.11369E-15,
   9517956,    0.11251E-11,    0.50816E-12,
   9517961,    0.11713E-12,    0.43650E-13,
   9517963,    0.49871E-12,    0.29594E-12,
   9517965,    0.48981E-13,    0.10929E-13,
   9517985,    0.14043E-12,    0.43760E-13,
   9518010,    0.21766E-12,    0.28554E-12,
   9518025,    0.11777E-12,    0.26855E-13,
   9518030,    0.12905E-12,    0.27125E-13,
   9518036,    0.25881E-13,    0.24664E-14,
   9518052,    0.80360E-12,    0.14785E-11,
   9518054,    0.81351E-10,    0.16214E-09,
   9518062,    0.93737E-12,    0.62335E-12,
   9518073,    0.64200E-12,    0.69558E-12,
   9518082,    0.97598E-13,    0.20116E-13,
   9518086,    0.49874E-12,    0.18485E-12,
   9518092,    0.25078E-12,    0.82505E-13,
   9518101,    0.95803E-13,    0.90686E-13,
   9518116,    0.31495E-13,    0.91106E-14,
   9518119,    0.11166E-12,    0.25013E-13,
   9518120,    0.23785E-12,    0.54392E-12,
   9518122,    0.40601E-12,    0.12482E-12,
   9518128,    0.13635E-11,    0.10448E-12,
   9518130,    0.26140E-13,    0.72624E-13,
   9518136,    0.84701E-13,    0.23994E-13,
   9518142,    0.80417E-14,    0.10883E-13,
   9518166,    0.21051E-12,    0.12030E-12,
   9518174,    0.17923E-12,    0.10950E-12,
   9518192,    0.29464E-12,    0.23485E-12,
   9518205,    0.64096E-12,    0.56350E-12,
   9518210,    0.37573E-12,    0.27002E-12,
   9518212,    0.62740E-13,    0.88924E-14,
   9518218,    0.62268E-12,    0.80224E-13,
   9518219,    0.17596E-11,    0.36897E-12,
   9518244,    0.91768E-12,    0.14624E-11,
   9518249,    0.55672E-13,    0.85587E-14,
   9518255,    0.85817E-14,    0.17386E-14,
   9518267,    0.24681E-11,    0.18170E-11,
   9518272,    0.39708E-13,    0.28118E-14,
   9518281,    0.63352E-12,    0.10973E-12,
   9518296,    0.10604E-11,    0.48309E-12,
